https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1705017600000,2024-01-12 00:00:00,SHIB/USD,1.0161e-05,1.0315e-05,9.5e-06,9.65e-06,5797739279.370385,55948.18404592422
1704931200000,2024-01-11 00:00:00,SHIB/USD,1.001e-05,1.0569e-05,9.914e-06,1.0161e-05,16661493290.76279,169297.43332744073
1704844800000,2024-01-10 00:00:00,SHIB/USD,9.655e-06,1.0174e-05,9.296e-06,1.001e-05,5604925020.77917,56105.2994579995
1704758400000,2024-01-09 00:00:00,SHIB/USD,9.601e-06,1e-05,9.179e-06,9.655e-06,5541190096.617172,53500.190382838795
1704672000000,2024-01-08 00:00:00,SHIB/USD,9.295e-06,1.0029e-05,8.71e-06,9.601e-06,6077145664.480454,58346.675524676844
1704585600000,2024-01-07 00:00:00,SHIB/USD,9.876e-06,1.041e-05,9e-06,9.295e-06,3741064707.600054,34773.1964571425
1704499200000,2024-01-06 00:00:00,SHIB/USD,9.875e-06,1.0243e-05,9.437e-06,9.876e-06,3438438091.944245,33958.014596041365
1704412800000,2024-01-05 00:00:00,SHIB/USD,1.0035e-05,1.0117e-05,9.501e-06,9.875e-06,4327883100.691904,42737.84561933255
1704326400000,2024-01-04 00:00:00,SHIB/USD,9.602e-06,1.0148e-05,9.496e-06,1.0035e-05,5127000208.901735,51449.44709632891
1704240000000,2024-01-03 00:00:00,SHIB/USD,1.0574e-05,1.0665e-05,9e-06,9.602e-06,11792124051.138966,113227.97513903635
1704153600000,2024-01-02 00:00:00,SHIB/USD,1.0687e-05,1.0916e-05,1.0479e-05,1.0574e-05,7081299632.93357,74877.66231863957
1704067200000,2024-01-01 00:00:00,SHIB/USD,1.0347e-05,1.0699e-05,1.0216e-05,1.0687e-05,2797315002.149073,29894.905427967144
1703980800000,2023-12-31 00:00:00,SHIB/USD,1.0442e-05,1.0588e-05,1.0257e-05,1.0347e-05,3800040362.050376,39319.01762613524
1703894400000,2023-12-30 00:00:00,SHIB/USD,1.0423e-05,1.0578e-05,1.0396e-05,1.0442e-05,2562971888.254612,26762.552457154656
1703808000000,2023-12-29 00:00:00,SHIB/USD,1.0607e-05,1.07e-05,1.0265e-05,1.0423e-05,8635603702.344252,90008.89738953413
1703721600000,2023-12-28 00:00:00,SHIB/USD,1.0895e-05,1.103e-05,1.0345e-05,1.0607e-05,12575157328.100891,133384.69377916615
1703635200000,2023-12-27 00:00:00,SHIB/USD,1.0533e-05,1.0919e-05,1.0291e-05,1.0895e-05,6102597021.155427,66487.79454548837
1703548800000,2023-12-26 00:00:00,SHIB/USD,1.1024e-05,1.1025e-05,1.0096e-05,1.0533e-05,7286663101.787456,76750.42245112728
1703462400000,2023-12-25 00:00:00,SHIB/USD,1.0655e-05,1.1056e-05,1.0581e-05,1.1024e-05,4548026379.035162,50137.44280248362
1703376000000,2023-12-24 00:00:00,SHIB/USD,1.107e-05,1.107e-05,1.0521e-05,1.0655e-05,4923821407.612759,52463.31709811395
1703289600000,2023-12-23 00:00:00,SHIB/USD,1.0899e-05,1.1249e-05,1.0521e-05,1.107e-05,10310294457.696781,114134.95964670337
1703203200000,2023-12-22 00:00:00,SHIB/USD,1.041e-05,1.0961e-05,1.0336e-05,1.0899e-05,12450933274.826593,135702.72176233504
1703116800000,2023-12-21 00:00:00,SHIB/USD,1.0243e-05,1.051e-05,1.0142e-05,1.041e-05,10709579868.083433,111486.72642674854
1703030400000,2023-12-20 00:00:00,SHIB/USD,1.0136e-05,1.0495e-05,9.949e-06,1.0243e-05,6177293722.417436,63274.019598721796
1702944000000,2023-12-19 00:00:00,SHIB/USD,1.0429e-05,1.0581e-05,1e-05,1.0136e-05,7069756763.252104,71659.05455232332
1702857600000,2023-12-18 00:00:00,SHIB/USD,1.0306e-05,1.0499e-05,9.568e-06,1.0429e-05,13677285388.759579,142640.40931937363
1702771200000,2023-12-17 00:00:00,SHIB/USD,1.1595e-05,1.1899e-05,1.0251e-05,1.0306e-05,15088515103.8491,155502.23666026883
1702684800000,2023-12-16 00:00:00,SHIB/USD,9.631e-06,1.166e-05,9.521e-06,1.1595e-05,49054847416.64568,568790.9557960067
1702598400000,2023-12-15 00:00:00,SHIB/USD,1.0073e-05,1.0137e-05,9.613e-06,9.631e-06,5232385710.058087,50393.10677356944
1702512000000,2023-12-14 00:00:00,SHIB/USD,9.802e-06,1.0182e-05,9.5e-06,1.0073e-05,10567000836.44548,106441.39942551532
1702425600000,2023-12-13 00:00:00,SHIB/USD,9.605e-06,9.862e-06,9.2e-06,9.802e-06,15578057309.682508,152696.11774950795
1702339200000,2023-12-12 00:00:00,SHIB/USD,9.526e-06,1e-05,9.315e-06,9.605e-06,6431113317.992501,61770.84341931798
1702252800000,2023-12-11 00:00:00,SHIB/USD,1.0335e-05,1.0595e-05,9.236e-06,9.526e-06,15942327762.07239,151866.61426150159
1702166400000,2023-12-10 00:00:00,SHIB/USD,1.0043e-05,1.0418e-05,9.963e-06,1.0335e-05,8561239988.472616,88480.41528086449
1702080000000,2023-12-09 00:00:00,SHIB/USD,1.0235e-05,1.047e-05,9.941e-06,1.0043e-05,11269293021.746927,113177.5098174044
1701993600000,2023-12-08 00:00:00,SHIB/USD,9.845e-06,1.0454e-05,9.788e-06,1.0235e-05,12569817269.025824,128652.0797484793
1701907200000,2023-12-07 00:00:00,SHIB/USD,9.725e-06,9.891e-06,9.463e-06,9.845e-06,7762660345.130139,76423.39109780622
1701820800000,2023-12-06 00:00:00,SHIB/USD,9.641e-06,1.0677e-05,9.354e-06,9.725e-06,22434988418.100136,218180.26236602382
1701734400000,2023-12-05 00:00:00,SHIB/USD,9.228e-06,9.828e-06,8.98e-06,9.641e-06,16590753220.25859,159951.45179651308
1701648000000,2023-12-04 00:00:00,SHIB/USD,9.044e-06,9.642e-06,8.8e-06,9.228e-06,12484247163.93582,115204.63282879975
1701561600000,2023-12-03 00:00:00,SHIB/USD,8.544e-06,9.471e-06,8.383e-06,9.044e-06,12520837092.707537,113238.45066644697
1701475200000,2023-12-02 00:00:00,SHIB/USD,8.361e-06,8.591e-06,8.361e-06,8.544e-06,4092219627.031516,34963.92449335727
1701388800000,2023-12-01 00:00:00,SHIB/USD,8.289e-06,8.4e-06,8.274e-06,8.361e-06,4693620217.186826,39243.35863589905
1701302400000,2023-11-30 00:00:00,SHIB/USD,8.224e-06,8.303e-06,8.131e-06,8.289e-06,4149484074.324853,34395.07349207871
1701216000000,2023-11-29 00:00:00,SHIB/USD,8.287e-06,8.385e-06,8.163e-06,8.224e-06,3697540749.984405,30408.575127871747
1701129600000,2023-11-28 00:00:00,SHIB/USD,8.184e-06,8.339e-06,8.039e-06,8.287e-06,2303077160.357308,19085.60042788101
1701043200000,2023-11-27 00:00:00,SHIB/USD,8.288e-06,8.649e-06,8.022e-06,8.184e-06,5552395641.303692,45440.805928429414
1700956800000,2023-11-26 00:00:00,SHIB/USD,8.459e-06,8.476e-06,8.064e-06,8.288e-06,3081378345.436648,25538.463726978935
1700870400000,2023-11-25 00:00:00,SHIB/USD,8.179e-06,8.573e-06,8.179e-06,8.459e-06,4815491843.203924,40734.24550166199
1700784000000,2023-11-24 00:00:00,SHIB/USD,8.124e-06,8.309e-06,8.092e-06,8.179e-06,3042051353.470625,24880.938020036243
1700697600000,2023-11-23 00:00:00,SHIB/USD,8.093e-06,8.181e-06,8.024e-06,8.124e-06,2703284771.360797,21961.485482535114
1700611200000,2023-11-22 00:00:00,SHIB/USD,7.75e-06,8.184e-06,7.724e-06,8.093e-06,7544552746.449804,61058.06537701827
1700524800000,2023-11-21 00:00:00,SHIB/USD,8.427e-06,8.52e-06,7.619e-06,7.75e-06,7178683522.44145,55634.79729892124
1700438400000,2023-11-20 00:00:00,SHIB/USD,8.693e-06,8.71e-06,8.361e-06,8.427e-06,3562060767.851847,30017.48609068752
1700352000000,2023-11-19 00:00:00,SHIB/USD,8.56e-06,8.693e-06,8.373e-06,8.693e-06,8953868481.49446,77835.97870963132
1700265600000,2023-11-18 00:00:00,SHIB/USD,8.801e-06,8.894e-06,8.415e-06,8.56e-06,3229710503.329724,27646.321908502436
1700179200000,2023-11-17 00:00:00,SHIB/USD,8.491e-06,9.15e-06,8.418e-06,8.801e-06,10854292278.401163,95528.62634220863
1700092800000,2023-11-16 00:00:00,SHIB/USD,8.805e-06,9.176e-06,8.3e-06,8.491e-06,12436986727.94953,105602.45430701946
1700006400000,2023-11-15 00:00:00,SHIB/USD,8.329e-06,8.84e-06,8.329e-06,8.805e-06,13687695736.787363,120520.16096241273
1699920000000,2023-11-14 00:00:00,SHIB/USD,8.541e-06,8.672e-06,7.98e-06,8.329e-06,5530085745.687637,46060.08417583233
1699833600000,2023-11-13 00:00:00,SHIB/USD,8.92e-06,9.169e-06,8.443e-06,8.541e-06,5522813550.55045,47170.3505352514
1699747200000,2023-11-12 00:00:00,SHIB/USD,9.091e-06,9.14e-06,8.668e-06,8.92e-06,4157835006.633951,37087.88825917484
1699660800000,2023-11-11 00:00:00,SHIB/USD,8.521e-06,9.638e-06,8.521e-06,9.091e-06,104641885471.94461,951299.3808254484
1699574400000,2023-11-10 00:00:00,SHIB/USD,8.234e-06,9e-06,8.133e-06,8.521e-06,7730955969.359303,65875.47581491062
1699488000000,2023-11-09 00:00:00,SHIB/USD,8.309e-06,9.06e-06,7.992e-06,8.234e-06,10062382377.799871,82853.65649880414
1699401600000,2023-11-08 00:00:00,SHIB/USD,8.223e-06,8.37e-06,8.098e-06,8.309e-06,5820168150.038146,48359.777158666955
1699315200000,2023-11-07 00:00:00,SHIB/USD,8.464e-06,8.464e-06,7.972e-06,8.223e-06,4906680495.14503,40347.63371157758
1699228800000,2023-11-06 00:00:00,SHIB/USD,8.121e-06,8.512e-06,8.02e-06,8.464e-06,10166623762.405096,86050.30352499674
1699142400000,2023-11-05 00:00:00,SHIB/USD,7.983e-06,8.307e-06,7.921e-06,8.121e-06,7309979822.400684,59364.34613771596
1699056000000,2023-11-04 00:00:00,SHIB/USD,7.85e-06,7.999e-06,7.785e-06,7.983e-06,3252589713.473726,25965.423682660752
1698969600000,2023-11-03 00:00:00,SHIB/USD,7.853e-06,7.86e-06,7.634e-06,7.85e-06,4321310583.756718,33922.28808249023
1698883200000,2023-11-02 00:00:00,SHIB/USD,7.954e-06,8.109e-06,7.693e-06,7.853e-06,8120567529.746631,63770.81681110028
1698796800000,2023-11-01 00:00:00,SHIB/USD,7.768e-06,7.982e-06,7.572e-06,7.954e-06,4697518288.50543,37364.06046677219
1698710400000,2023-10-31 00:00:00,SHIB/USD,8.008e-06,8.051e-06,7.553e-06,7.768e-06,8637524581.998375,67096.29095296339
1698624000000,2023-10-30 00:00:00,SHIB/USD,8.038e-06,8.111e-06,7.84e-06,8.008e-06,4027735665.439414,32254.10720883883
1698537600000,2023-10-29 00:00:00,SHIB/USD,7.984e-06,8.126e-06,7.773e-06,8.038e-06,3430584990.351047,27575.042152441714
1698451200000,2023-10-28 00:00:00,SHIB/USD,7.708e-06,8.1e-06,7.672e-06,7.984e-06,3271513977.463448,26119.76759606817
1698364800000,2023-10-27 00:00:00,SHIB/USD,7.906e-06,7.94e-06,7.6e-06,7.708e-06,5168034025.23836,39835.20626653728
