https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1705017600000,2024-01-12 00:00:00,SOL/USD,99.887,100.409,86.709,92.017,40706.398893,3745680.706937181
1704931200000,2024-01-11 00:00:00,SOL/USD,102.026,107.439,97.404,99.887,36966.690282,3692491.792198134
1704844800000,2024-01-10 00:00:00,SOL/USD,99.35,105.497,92.195,102.026,64827.521912,6614092.750593712
1704758400000,2024-01-09 00:00:00,SOL/USD,97.941,105.0,95.453,99.35,26164.17902,2599411.185637
1704672000000,2024-01-08 00:00:00,SOL/USD,89.358,99.889,85.316,97.941,33553.188313,3286232.816563533
1704585600000,2024-01-07 00:00:00,SOL/USD,93.759,96.691,87.91,89.358,20313.411157,1815165.794167206
1704499200000,2024-01-06 00:00:00,SOL/USD,100.028,100.19,91.726,93.759,17630.459399,1653014.242790841
1704412800000,2024-01-05 00:00:00,SOL/USD,105.043,105.45,95.34,100.028,18924.519647,1892981.8512501162
1704326400000,2024-01-04 00:00:00,SOL/USD,98.552,108.354,96.802,105.043,30160.180972,3168115.889841796
1704240000000,2024-01-03 00:00:00,SOL/USD,106.633,109.909,90.0,98.552,63903.546857,6297822.349851064
1704153600000,2024-01-02 00:00:00,SOL/USD,109.961,116.963,106.08,106.633,37299.56741,3977364.7716305302
1704067200000,2024-01-01 00:00:00,SOL/USD,101.72,109.961,101.524,109.961,28354.849671,3117927.624672831
1703980800000,2023-12-31 00:00:00,SOL/USD,101.727,105.068,99.614,101.72,35327.517111,3593515.04053092
1703894400000,2023-12-30 00:00:00,SOL/USD,106.291,107.424,100.763,101.727,20827.646148,2118733.9596975963
1703808000000,2023-12-29 00:00:00,SOL/USD,101.912,109.956,99.68,106.291,38960.25638,4141124.61088658
1703721600000,2023-12-28 00:00:00,SOL/USD,106.829,109.601,97.274,101.912,66650.499658,6792485.7211460965
1703635200000,2023-12-27 00:00:00,SOL/USD,112.7,115.251,104.921,106.829,76989.988503,8224763.481786987
1703548800000,2023-12-26 00:00:00,SOL/USD,121.0,121.298,102.538,112.7,93637.380163,10552932.7443701
1703462400000,2023-12-25 00:00:00,SOL/USD,112.482,126.0,108.2,121.0,38094.930693,4609486.613853
1703376000000,2023-12-24 00:00:00,SOL/USD,107.958,118.0,107.463,112.482,90218.185416,10147921.93196251
1703289600000,2023-12-23 00:00:00,SOL/USD,97.858,109.964,92.952,107.958,63695.726322,6876463.222270476
1703203200000,2023-12-22 00:00:00,SOL/USD,93.845,100.0,90.218,97.858,109735.374193,10738484.247778594
1703116800000,2023-12-21 00:00:00,SOL/USD,82.088,96.073,81.086,93.845,119918.380896,11253740.45518512
1703030400000,2023-12-20 00:00:00,SOL/USD,73.001,84.27,73.001,82.088,78464.347876,6440981.388445088
1702944000000,2023-12-19 00:00:00,SOL/USD,74.442,76.305,71.8,73.001,45495.641196,3321227.302949196
1702857600000,2023-12-18 00:00:00,SOL/USD,70.808,75.4,66.999,74.442,46172.31105,3437159.1791840997
1702771200000,2023-12-17 00:00:00,SOL/USD,73.663,74.858,70.496,70.808,33806.961079,2393803.3000818323
1702684800000,2023-12-16 00:00:00,SOL/USD,72.561,77.135,71.194,73.663,23861.161153,1757684.714013439
1702598400000,2023-12-15 00:00:00,SOL/USD,75.663,79.25,72.127,72.561,35139.806727,2549779.5159178474
1702512000000,2023-12-14 00:00:00,SOL/USD,70.758,76.215,68.329,75.663,43664.903982,3303817.629990066
1702425600000,2023-12-13 00:00:00,SOL/USD,68.493,72.555,64.0,70.758,53770.867016,3804719.0083181276
1702339200000,2023-12-12 00:00:00,SOL/USD,70.332,72.589,65.71,68.493,37795.339839,2588716.2115926268
1702252800000,2023-12-11 00:00:00,SOL/USD,74.82,74.942,65.976,70.332,62163.212323,4372063.049101235
1702166400000,2023-12-10 00:00:00,SOL/USD,72.378,74.848,70.763,74.82,30895.634399,2311611.3657331797
1702080000000,2023-12-09 00:00:00,SOL/USD,74.926,77.9,71.872,72.378,48868.479814,3537002.831977692
1701993600000,2023-12-08 00:00:00,SOL/USD,67.773,75.25,67.773,74.926,76806.766268,5754823.769396169
1701907200000,2023-12-07 00:00:00,SOL/USD,61.956,69.371,61.741,67.773,58072.631358,3935756.4450257337
1701820800000,2023-12-06 00:00:00,SOL/USD,60.955,66.578,60.955,61.956,44062.533598,2729938.331597688
1701734400000,2023-12-05 00:00:00,SOL/USD,61.514,62.708,59.144,60.955,38422.482614,2342042.42773637
1701648000000,2023-12-04 00:00:00,SOL/USD,63.12,65.224,60.036,61.514,44175.950898,2717439.4435395724
1701561600000,2023-12-03 00:00:00,SOL/USD,63.525,65.514,62.27,63.12,33394.480472,2107859.6073926403
1701475200000,2023-12-02 00:00:00,SOL/USD,59.807,63.91,59.722,63.525,36561.174096,2322548.5844484
1701388800000,2023-12-01 00:00:00,SOL/USD,59.267,61.782,58.644,59.807,40517.943944,2423256.673458808
1701302400000,2023-11-30 00:00:00,SOL/USD,59.265,61.678,58.809,59.267,29884.025323,1771136.528818241
1701216000000,2023-11-29 00:00:00,SOL/USD,58.205,61.851,57.756,59.265,35090.89799,2079662.06937735
1701129600000,2023-11-28 00:00:00,SOL/USD,55.079,58.674,53.955,58.205,31937.364362,1858914.29269021
1701043200000,2023-11-27 00:00:00,SOL/USD,57.598,58.054,53.514,55.079,12345.900795,679999.869887805
1700956800000,2023-11-26 00:00:00,SOL/USD,58.89,59.049,56.261,57.598,9904.764928,570494.650322944
1700870400000,2023-11-25 00:00:00,SOL/USD,56.88,60.0,55.915,58.89,20526.927916,1208830.78497324
