https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1705017600000,2024-01-12 00:00:00,UNI/USD,6.8198,6.96,6.3,6.609,12875.549675,85094.50780207501
1704931200000,2024-01-11 00:00:00,UNI/USD,6.6336,6.9623,6.6,6.8198,9811.787895,66914.431086321
1704844800000,2024-01-10 00:00:00,UNI/USD,6.0584,6.77,5.9861,6.6336,7991.141798,53010.0382312128
1704758400000,2024-01-09 00:00:00,UNI/USD,6.3,6.4096,5.7469,6.0584,3986.976827,24154.700408696797
1704672000000,2024-01-08 00:00:00,UNI/USD,6.1337,6.4497,5.73,6.3,11018.866153,69418.85676390001
1704585600000,2024-01-07 00:00:00,UNI/USD,6.304,6.4974,5.9384,6.1337,5771.162127,35398.5771383799
1704499200000,2024-01-06 00:00:00,UNI/USD,6.421,6.6531,6.1499,6.304,1305.117714,8227.462069056
1704412800000,2024-01-05 00:00:00,UNI/USD,6.6296,6.8124,6.2753,6.421,2512.726956,16134.219784476001
1704326400000,2024-01-04 00:00:00,UNI/USD,6.5434,6.7943,6.4097,6.6296,6488.884513,43018.7087673848
1704240000000,2024-01-03 00:00:00,UNI/USD,7.1875,7.5695,6.4,6.5434,11966.163069,78299.3914256946
1704153600000,2024-01-02 00:00:00,UNI/USD,7.6021,7.7268,7.1616,7.1875,16989.266246,122110.351143125
1704067200000,2024-01-01 00:00:00,UNI/USD,7.227,7.6188,7.1505,7.6021,2231.068103,16960.8028258163
1703980800000,2023-12-31 00:00:00,UNI/USD,7.3623,7.7015,7.1582,7.227,7504.67332,54236.274083640004
1703894400000,2023-12-30 00:00:00,UNI/USD,7.5365,7.7983,7.3229,7.3623,8277.781643,60943.511790258905
1703808000000,2023-12-29 00:00:00,UNI/USD,7.8225,7.867,7.3693,7.5365,25756.833905,194116.3787250325
1703721600000,2023-12-28 00:00:00,UNI/USD,7.2573,8.4288,7.2573,7.8225,20713.150279,162028.6180574775
1703635200000,2023-12-27 00:00:00,UNI/USD,7.3633,7.4862,7.009,7.2573,9092.778425,65989.0208637525
1703548800000,2023-12-26 00:00:00,UNI/USD,6.944,7.7853,6.6409,7.3633,19024.51051,140083.178238283
1703462400000,2023-12-25 00:00:00,UNI/USD,6.8747,7.1435,6.6715,6.944,4592.055693,31887.234732192002
1703376000000,2023-12-24 00:00:00,UNI/USD,6.3477,7.3,6.3382,6.8747,14974.262093,102943.55961074709
1703289600000,2023-12-23 00:00:00,UNI/USD,6.4001,6.4212,5.9272,6.3477,8795.68672,55832.380592543996
1703203200000,2023-12-22 00:00:00,UNI/USD,6.2145,6.5576,6.1506,6.4001,10422.17584,66702.967593584
1703116800000,2023-12-21 00:00:00,UNI/USD,5.9075,6.35,5.8819,6.2145,6205.076465,38561.4476917425
1703030400000,2023-12-20 00:00:00,UNI/USD,5.8757,6.1597,5.8,5.9075,7679.073657,45364.127628727496
1702944000000,2023-12-19 00:00:00,UNI/USD,5.9794,6.26,5.8,5.8757,5604.849779,32932.4158464703
1702857600000,2023-12-18 00:00:00,UNI/USD,6.0825,6.35,5.7,5.9794,6375.539501,38121.9008922794
1702771200000,2023-12-17 00:00:00,UNI/USD,6.1521,6.3039,6.0825,6.0825,1362.885563,8289.7514369475
1702684800000,2023-12-16 00:00:00,UNI/USD,6.0825,6.3195,6.0002,6.1521,4831.159213,29721.774594297298
1702598400000,2023-12-15 00:00:00,UNI/USD,6.4135,6.4135,6.0207,6.0825,2589.712594,15751.926853005
1702512000000,2023-12-14 00:00:00,UNI/USD,6.2886,6.5,6.1473,6.4135,2298.835535,14743.5817037225
1702425600000,2023-12-13 00:00:00,UNI/USD,6.2346,6.3729,5.99,6.2886,6204.293215,39016.318311849
1702339200000,2023-12-12 00:00:00,UNI/USD,6.1054,6.3565,5.95,6.2346,13573.699906,84626.5894339476
1702252800000,2023-12-11 00:00:00,UNI/USD,6.601,6.6167,5.921,6.1054,13927.935596,85035.6179878184
1702166400000,2023-12-10 00:00:00,UNI/USD,6.851,6.8717,6.4113,6.601,7268.918187,47982.128952387
1702080000000,2023-12-09 00:00:00,UNI/USD,6.5495,7.2,6.5495,6.851,11948.038427,81856.01126337699
1701993600000,2023-12-08 00:00:00,UNI/USD,6.2873,6.5495,6.2695,6.5495,10488.614299,68695.17935130051
1701907200000,2023-12-07 00:00:00,UNI/USD,6.0144,6.3729,6.0002,6.2873,4544.081501,28570.003621237298
1701820800000,2023-12-06 00:00:00,UNI/USD,6.2672,6.2848,5.973,6.0144,9089.707418,54669.1362948192
1701734400000,2023-12-05 00:00:00,UNI/USD,6.1292,6.3421,5.9801,6.2672,11097.575353,69550.7242523216
1701648000000,2023-12-04 00:00:00,UNI/USD,6.0275,6.2968,5.9007,6.1292,8130.295858,49832.209372853606
1701561600000,2023-12-03 00:00:00,UNI/USD,6.1846,6.2545,5.946,6.0275,9639.855683,58104.2301292825
1701475200000,2023-12-02 00:00:00,UNI/USD,6.0158,6.4308,6.0107,6.1846,3742.657125,23146.837255275
1701388800000,2023-12-01 00:00:00,UNI/USD,5.9787,6.0886,5.9514,6.0158,4326.47089,26027.183580061996
1701302400000,2023-11-30 00:00:00,UNI/USD,6.0134,6.024,5.8685,5.9787,8170.728082,48850.33198385339
1701216000000,2023-11-29 00:00:00,UNI/USD,6.3075,7.5448,5.9911,6.0134,10113.980854,60819.412467443595
1701129600000,2023-11-28 00:00:00,UNI/USD,6.279,6.835,6.0867,6.3075,13036.712778,82229.06584723499
1701043200000,2023-11-27 00:00:00,UNI/USD,6.182,6.3614,5.928,6.279,6433.663126,40396.970768154
1700956800000,2023-11-26 00:00:00,UNI/USD,6.1873,6.2124,5.85,6.182,5439.783972,33628.74451490401
1700870400000,2023-11-25 00:00:00,UNI/USD,6.1916,6.3038,6.0776,6.1873,2336.040615,14453.784097189498
1700784000000,2023-11-24 00:00:00,UNI/USD,6.3287,6.6,6.0867,6.1916,12616.868967,78118.6058960772
1700697600000,2023-11-23 00:00:00,UNI/USD,6.1297,6.427,6.0867,6.3287,10278.149685,65047.325911459506
1700611200000,2023-11-22 00:00:00,UNI/USD,4.8611,6.2864,4.8611,6.1297,15711.426734,96306.3324513998
1700524800000,2023-11-21 00:00:00,UNI/USD,5.1865,5.2585,4.852,4.8611,4159.701552,20220.725214427202
1700438400000,2023-11-20 00:00:00,UNI/USD,5.243,5.3524,5.1306,5.1865,3310.686853,17170.8773630845
1700352000000,2023-11-19 00:00:00,UNI/USD,5.0718,5.2453,4.98,5.243,3693.917866,19367.211371438
1700265600000,2023-11-18 00:00:00,UNI/USD,5.1015,5.1384,4.8337,5.0718,1612.0102,8175.793332359999
1700179200000,2023-11-17 00:00:00,UNI/USD,5.196,5.3676,4.8611,5.1015,4070.459129,20765.4472465935
1700092800000,2023-11-16 00:00:00,UNI/USD,5.3832,5.58,5.1318,5.196,10917.157936,56725.55263545599
1700006400000,2023-11-15 00:00:00,UNI/USD,5.0732,5.3852,5.0732,5.3832,6526.264173,35132.1852960936
1699920000000,2023-11-14 00:00:00,UNI/USD,5.2569,5.2978,4.8201,5.0732,8633.231321,43798.109137697196
1699833600000,2023-11-13 00:00:00,UNI/USD,5.4182,5.6221,5.2118,5.2569,11162.937216,58682.4446507904
1699747200000,2023-11-12 00:00:00,UNI/USD,5.4018,5.5176,5.2235,5.4182,2816.213336,15258.807097115197
1699660800000,2023-11-11 00:00:00,UNI/USD,5.3009,5.5309,5.211,5.4018,8884.685898,47993.296283816395
1699574400000,2023-11-10 00:00:00,UNI/USD,5.1619,5.3683,5.0817,5.3009,14272.502094,75657.1063500846
1699488000000,2023-11-09 00:00:00,UNI/USD,5.2011,5.4219,4.6414,5.1619,16017.049792,82678.4093213248
1699401600000,2023-11-08 00:00:00,UNI/USD,4.9367,5.2645,4.8981,5.2011,7948.448288,41340.6743907168
1699315200000,2023-11-07 00:00:00,UNI/USD,5.1307,5.1307,4.7811,4.9367,3923.819973,19370.7220607091
1699228800000,2023-11-06 00:00:00,UNI/USD,4.7879,5.2811,4.6911,5.1307,11012.734187,56503.0352932409
1699142400000,2023-11-05 00:00:00,UNI/USD,4.7124,4.8981,4.6345,4.7879,6939.503162,33225.6471893398
1699056000000,2023-11-04 00:00:00,UNI/USD,4.6698,4.7734,4.6309,4.7124,15531.87899,73192.426552476
1698969600000,2023-11-03 00:00:00,UNI/USD,4.6853,4.7706,4.4826,4.6698,7273.102401,33963.9335921898
1698883200000,2023-11-02 00:00:00,UNI/USD,4.7952,4.8909,4.479,4.6853,27955.458304,130979.70879173119
1698796800000,2023-11-01 00:00:00,UNI/USD,4.1576,4.8433,4.0236,4.7952,10307.130003,49424.749790385606
1698710400000,2023-10-31 00:00:00,UNI/USD,4.1781,4.2586,4.0018,4.1576,6426.696418,26719.633027476804
1698624000000,2023-10-30 00:00:00,UNI/USD,4.2,4.3472,4.1536,4.1781,3039.5635,12699.60025935
1698537600000,2023-10-29 00:00:00,UNI/USD,4.1002,4.2206,4.0872,4.2,6497.888422,27291.131372400003
1698451200000,2023-10-28 00:00:00,UNI/USD,4.0384,4.1725,4.0384,4.1002,1383.520718,5672.7116479436
1698364800000,2023-10-27 00:00:00,UNI/USD,4.1074,4.2635,3.977,4.0384,6028.769568,24346.5830234112
1698278400000,2023-10-26 00:00:00,UNI/USD,4.1763,4.3759,4.0121,4.1074,9054.296638,37189.6180109212
1698192000000,2023-10-25 00:00:00,UNI/USD,4.2206,4.33,4.1349,4.1763,6286.106747,26252.6676074961
1698105600000,2023-10-24 00:00:00,UNI/USD,4.3653,4.509,4.1287,4.2206,9455.958545,39909.818635027
1698019200000,2023-10-23 00:00:00,UNI/USD,4.208,4.4485,4.204,4.3653,12961.5844,56581.20438132001
1697932800000,2023-10-22 00:00:00,UNI/USD,4.1514,4.2523,4.0916,4.208,4807.501159,20229.964877072
1697846400000,2023-10-21 00:00:00,UNI/USD,4.0011,4.1514,3.9589,4.1514,5043.5829,20937.93005106
1697760000000,2023-10-20 00:00:00,UNI/USD,3.9244,4.1078,3.9244,4.0011,2351.539058,9408.742924963799
1697673600000,2023-10-19 00:00:00,UNI/USD,3.9383,3.9383,3.8724,3.9244,3020.135325,11852.21906943
1697587200000,2023-10-18 00:00:00,UNI/USD,3.8731,3.9676,3.8495,3.9383,3260.813357,12842.0612438731
1697500800000,2023-10-17 00:00:00,UNI/USD,4.1246,4.1264,3.8336,3.8731,5590.221158,21651.4855670498
1697414400000,2023-10-16 00:00:00,UNI/USD,4.0977,4.2783,4.0977,4.1246,2001.129392,8253.8582902432
1697328000000,2023-10-15 00:00:00,UNI/USD,4.0863,4.1451,4.0731,4.0977,608.112012,2491.8605915724
1697241600000,2023-10-14 00:00:00,UNI/USD,4.0167,4.0955,4.0167,4.0863,521.993128,2133.0205189463995
1697155200000,2023-10-13 00:00:00,UNI/USD,3.9946,4.0893,3.9793,4.0167,7660.567039,30770.1996255513
1697068800000,2023-10-12 00:00:00,UNI/USD,4.1109,4.141,3.9702,3.9946,2284.257563,9124.6952611598
1696982400000,2023-10-11 00:00:00,UNI/USD,4.1255,4.1442,4.0572,4.1109,1878.45944,7722.158911896
1696896000000,2023-10-10 00:00:00,UNI/USD,4.1442,4.164,4.0706,4.1255,2068.420801,8533.2700145255
