Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1605830400.0,2020-11-20,LTCUSD,81.6,83.85,80.44,80.76,12497.77,1019290.74
1605744000.0,2020-11-19,LTCUSD,73.55,83.32,71.56,81.6,7035.08,553077.6
1605657600.0,2020-11-18,LTCUSD,76.33,77.16,68.31,73.55,6883.64,499689.81
1605571200.0,2020-11-17,LTCUSD,73.83,76.9,71.43,76.33,10407.46,769088.71
1605484800.0,2020-11-16,LTCUSD,62.33,74.55,62.16,73.83,6739.08,463595.38
1605398400.0,2020-11-15,LTCUSD,63.9,64.43,61.16,62.33,773.43,48431.82
1605312000.0,2020-11-14,LTCUSD,65.79,66.23,61.75,63.9,1619.05,102854.67
1605225600.0,2020-11-13,LTCUSD,60.82,66.62,60.15,65.79,20340.52,1271360.76
1605139200.0,2020-11-12,LTCUSD,59.26,60.82,57.58,60.82,19404.22,1139790.73
1605052800.0,2020-11-11,LTCUSD,58.02,60.58,57.93,59.26,4486.63,267438.08
1604966400.0,2020-11-10,LTCUSD,59.24,59.59,57.15,58.02,5375.45,312732.27
1604880000.0,2020-11-09,LTCUSD,61.32,61.81,57.52,59.24,2798.12,167947.64
1604793600.0,2020-11-08,LTCUSD,59.01,61.86,58.71,61.32,17572.0,1058703.69
1604707200.0,2020-11-07,LTCUSD,63.23,64.8,57.15,59.01,15953.35,969663.76
1604620800.0,2020-11-06,LTCUSD,58.95,63.77,58.9,63.23,4684.67,287993.51
1604534400.0,2020-11-05,LTCUSD,54.71,59.7,54.71,58.95,5105.07,295211.07
1604448000.0,2020-11-04,LTCUSD,53.95,55.28,51.67,54.71,6204.47,334212.25
1604361600.0,2020-11-03,LTCUSD,53.91,54.35,51.07,53.95,3244.0,172469.78
1604275200.0,2020-11-02,LTCUSD,55.53,56.77,53.4,53.91,2890.39,156398.03
1604188800.0,2020-11-01,LTCUSD,55.8,56.09,54.18,55.53,2767.02,153022.85
1604102400.0,2020-10-31,LTCUSD,54.03,56.39,53.66,55.8,4037.09,223198.28
1604016000.0,2020-10-30,LTCUSD,54.82,55.65,52.32,54.03,5127.22,276025.99
1603929600.0,2020-10-29,LTCUSD,55.92,56.59,53.5,54.82,9549.91,528986.08
1603843200.0,2020-10-28,LTCUSD,57.96,60.45,54.93,55.92,4023.47,232097.75
1603756800.0,2020-10-27,LTCUSD,56.85,59.08,56.66,57.96,10669.73,615413.35
1603670400.0,2020-10-26,LTCUSD,58.82,59.21,55.06,56.85,13514.98,775853.37
1603584000.0,2020-10-25,LTCUSD,59.26,59.96,56.68,58.82,13130.56,766568.38
1603497600.0,2020-10-24,LTCUSD,55.48,59.61,55.23,59.26,12867.23,740484.13
1603411200.0,2020-10-23,LTCUSD,54.46,57,53.37,55.48,14220.73,787011.2
1603324800.0,2020-10-22,LTCUSD,53.21,56.26,53.19,54.46,17668.48,972580.05
1603238400.0,2020-10-21,LTCUSD,46.88,55,46.88,53.21,16789.96,864410.48
1603152000.0,2020-10-20,LTCUSD,48.04,48.4,46.51,46.88,4278.54,201397.77
1603065600.0,2020-10-19,LTCUSD,47.49,48.47,46.98,48.04,1617.77,77843.65
1602979200.0,2020-10-18,LTCUSD,46.92,47.81,46.81,47.49,1513.93,71594.96
1602892800.0,2020-10-17,LTCUSD,47.61,47.62,46.33,46.92,4163.13,195760.09
1602806400.0,2020-10-16,LTCUSD,49.53,49.87,45.79,47.61,9546.3,451755.09
1602720000.0,2020-10-15,LTCUSD,49.73,50.24,49.08,49.53,6563.82,326206.37
1602633600.0,2020-10-14,LTCUSD,49.97,50.96,49.4,49.73,3382.34,169335.76
1602547200.0,2020-10-13,LTCUSD,50.68,50.68,49.2,49.97,12795.5,641447.61
1602460800.0,2020-10-12,LTCUSD,50.53,51.5,49.37,50.68,4642.58,234679.27
1602374400.0,2020-10-11,LTCUSD,48.91,51.22,48.69,50.53,3325.9,167257.55
1602288000.0,2020-10-10,LTCUSD,47.84,50.43,47.84,48.91,5490.72,271578.24
1602201600.0,2020-10-09,LTCUSD,47.18,48.08,46.69,47.84,2301.58,109159.01
1602115200.0,2020-10-08,LTCUSD,46.61,47.44,45.58,47.18,3961.54,184154.13
1602028800.0,2020-10-07,LTCUSD,45.76,46.86,45.19,46.61,3419.45,157203.52
1601942400.0,2020-10-06,LTCUSD,46.38,48.21,45.61,45.76,6975.32,325531.56
1601856000.0,2020-10-05,LTCUSD,46.7,47.05,45.63,46.38,2967.75,137129.19
1601769600.0,2020-10-04,LTCUSD,45.7,46.93,45.39,46.7,1864.25,86437.11
1601683200.0,2020-10-03,LTCUSD,44.88,46.01,44.86,45.7,3605.68,163940.03
1601596800.0,2020-10-02,LTCUSD,46.27,46.89,43.23,44.88,6779.43,304289.33
1601510400.0,2020-10-01,LTCUSD,46.23,48.45,45.38,46.27,8656.4,403366.7
1601424000.0,2020-09-30,LTCUSD,45.67,46.56,45.48,46.23,2882.11,132536.55
1601337600.0,2020-09-29,LTCUSD,45.24,45.77,44.95,45.67,1933.29,87696.59
1601251200.0,2020-09-28,LTCUSD,45.7,47.05,45.07,45.24,5430.25,252030.74
1601164800.0,2020-09-27,LTCUSD,46.09,46.62,44.65,45.7,1809.61,83183.43
1601078400.0,2020-09-26,LTCUSD,45.97,46.52,45.44,46.09,2153.5,98841.45
1600992000.0,2020-09-25,LTCUSD,44.94,46.47,44.1,45.97,6492.47,295688.39
1600905600.0,2020-09-24,LTCUSD,42.98,45.16,42.67,44.94,5052.22,222934.65
1600819200.0,2020-09-23,LTCUSD,44.48,45.1,42.32,42.98,3979.66,174706.02
1600732800.0,2020-09-22,LTCUSD,43.2,44.75,42.83,44.48,4993.34,218973.46
1600646400.0,2020-09-21,LTCUSD,47.12,47.55,41.75,43.2,8116.97,361791.7
1600560000.0,2020-09-20,LTCUSD,48.5,48.5,46.22,47.12,3533.84,167265.89
1600473600.0,2020-09-19,LTCUSD,48.5,48.87,48.04,48.5,6178.09,299306.32
