https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,AAVE/USDT,109.37,112.86,99.65,102.69,8531034.12,79002.510429,4525997.02,41900.71618,121101,108.06
1704931200000,2024-01-11 00:00:00,AAVE/USDT,106.95,116.32,106.3,109.43,11078283.96,100621.083718,5987150.02,54359.652258,157673,110.15
1704844800000,2024-01-10 00:00:00,AAVE/USDT,96.39,109.57,96.07,106.92,8860877.08,87744.285755,4734174.16,46861.80622,127596,101.08
1704758400000,2024-01-09 00:00:00,AAVE/USDT,98.91,99.01,92.42,96.41,9528715.04,99719.776964,5117200.03,53550.561244,135982,95.58
1704672000000,2024-01-08 00:00:00,AAVE/USDT,96.12,99.76,89.03,98.88,8438368.57,88477.473303,4531963.69,47516.47263,122524,95.43
1704585600000,2024-01-07 00:00:00,AAVE/USDT,100.08,102.31,95.02,96.64,7531416.78,75494.282729,4003782.23,40131.309458,108465,99.77
1704499200000,2024-01-06 00:00:00,AAVE/USDT,103.39,123.7,98.21,100.08,8257999.1,81552.962471,4409326.58,43536.836916,119605,101.27
1704412800000,2024-01-05 00:00:00,AAVE/USDT,105.13,107.85,100.74,103.42,9059147.55,87238.888278,4938243.9,47549.050363,130098,103.86
1704326400000,2024-01-04 00:00:00,AAVE/USDT,103.08,108.4,102.43,105.17,8006585.12,76572.472453,4367602.92,41768.413582,113353,104.57
1704240000000,2024-01-03 00:00:00,AAVE/USDT,110.42,113.18,98.13,103.09,7325149.97,68679.841016,3986071.96,37359.083179,104269,106.9
1704153600000,2024-01-02 00:00:00,AAVE/USDT,115.74,119.79,109.38,110.41,6890566.02,59988.146372,3693441.06,32154.158001,98478,114.93
1704067200000,2024-01-01 00:00:00,AAVE/USDT,108.57,116.03,107.63,115.76,9097953.04,81831.363354,4943707.63,44459.227165,128654,111.21
1703980800000,2023-12-31 00:00:00,AAVE/USDT,111.08,117.57,107.27,108.72,7776350.08,68336.708319,4221404.97,37099.302773,110911,113.82
1703894400000,2023-12-30 00:00:00,AAVE/USDT,112.32,117.33,110.74,111.06,8609860.55,76098.120835,4688096.08,41438.065193,122901,113.16
1703808000000,2023-12-29 00:00:00,AAVE/USDT,118.39,121.11,109.08,112.32,8140520.85,72143.502944,4407989.67,39064.212619,116805,112.85
1703721600000,2023-12-28 00:00:00,AAVE/USDT,111.69,128.48,111.66,118.36,8429863.8,70626.467525,4559027.54,38196.723159,120845,119.45
1703635200000,2023-12-27 00:00:00,AAVE/USDT,103.06,112.59,100.96,111.68,7550772.66,70392.660679,4147984.73,38674.108881,108775,107.37
1703548800000,2023-12-26 00:00:00,AAVE/USDT,102.93,109.41,99.47,103.07,8620613.88,83391.888352,4639599.25,44877.174335,123887,103.4
1703462400000,2023-12-25 00:00:00,AAVE/USDT,100.01,105.18,98.87,102.97,8354699.21,81573.288341,4474356.78,43687.914741,120910,102.43
1703376000000,2023-12-24 00:00:00,AAVE/USDT,99.4,103.16,98.33,99.97,8743510.63,86327.966442,4666835.65,46080.954115,124404,101.29
1703289600000,2023-12-23 00:00:00,AAVE/USDT,99.48,100.59,95.52,99.38,8836724.64,90395.989693,4675158.9,47824.665826,125600,97.76
1703203200000,2023-12-22 00:00:00,AAVE/USDT,100.87,101.6,98.02,99.53,8480733.4,85193.440891,4434961.91,44550.979618,121278,99.55
1703116800000,2023-12-21 00:00:00,AAVE/USDT,99.43,101.34,98.09,100.86,8394498.68,84499.480289,4472290.08,45018.019422,119843,99.34
1703030400000,2023-12-20 00:00:00,AAVE/USDT,100.34,104.79,98.74,99.38,8136735.73,80209.754262,4315146.93,42538.259182,115630,101.46
1702944000000,2023-12-19 00:00:00,AAVE/USDT,91.56,105.57,90.57,100.44,7387143.62,75574.913643,3947564.48,40388.886065,105497,97.96
1702857600000,2023-12-18 00:00:00,AAVE/USDT,93.75,94.44,82.49,91.54,8594350.14,93970.955685,4573246.38,50004.896546,123347,91.46
1702771200000,2023-12-17 00:00:00,AAVE/USDT,95.03,96.1,93.6,93.78,8711208.06,92118.859107,4630478.59,48967.749503,124535,94.56
1702684800000,2023-12-16 00:00:00,AAVE/USDT,93.04,96.49,92.56,95,8052782.8,84856.3411,4299397.51,45307.837208,114717,94.9
1702598400000,2023-12-15 00:00:00,AAVE/USDT,86.72,95,86.2,93.06,8143263.58,89538.159255,4401274.14,48396.494025,117146,91
1702512000000,2023-12-14 00:00:00,AAVE/USDT,84.56,87.24,81.81,86.78,7808705.35,92541.39639,4252567.47,50394.770786,111556,84.39
1702425600000,2023-12-13 00:00:00,AAVE/USDT,84.51,85.02,81.81,84.57,7754095.36,93137.492233,4187815.32,50303.631115,110891,83.26
1702339200000,2023-12-12 00:00:00,AAVE/USDT,86.84,87.22,83.87,84.54,7367357.61,86216.164463,4024347.37,47100.309903,104554,85.45
1702252800000,2023-12-11 00:00:00,AAVE/USDT,92.88,93.4,79.78,86.88,7646058.63,86864.914111,4088377.66,46438.952257,110151,88.05
