https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,ADA/USDT,0.58053,0.5861,0.53042,0.54688,19370357.7664,34060382.3144,10116409.934,17788991.6384,477557,0.56898
1704931200000,2024-01-11 00:00:00,ADA/USDT,0.56529,0.61171,0.56011,0.58027,22781855.6549,39341237.4143,11838736.9297,20445363.0559,561853,0.57925
1704844800000,2024-01-10 00:00:00,ADA/USDT,0.51217,0.58531,0.492,0.56504,20246550.5897,39062746.1916,10484870.0856,20226478.6784,510849,0.51916
1704758400000,2024-01-09 00:00:00,ADA/USDT,0.54077,0.54186,0.49833,0.51223,22065687.5339,42505554.9365,11385299.3028,21931883.5502,554532,0.51933
1704672000000,2024-01-08 00:00:00,ADA/USDT,0.49397,0.54435,0.4678,0.54091,20076363.1985,39794956.3118,10156004.4985,20116962.8624,503568,0.50535
1704585600000,2024-01-07 00:00:00,ADA/USDT,0.52243,0.52985,0.4879,0.49369,18442450.5154,35612670.7767,9458622.4751,18261689.7658,440850,0.518
1704499200000,2024-01-06 00:00:00,ADA/USDT,0.53526,0.53753,0.50686,0.52253,20415186.6388,39013329.1172,10237779.0518,19563355.7318,491810,0.52334
1704412800000,2024-01-05 00:00:00,ADA/USDT,0.56308,0.5663,0.51901,0.53525,21645795.8578,40268592.5061,11006456.6079,20475484.2592,527560,0.53779
1704326400000,2024-01-04 00:00:00,ADA/USDT,0.55044,0.57,0.54151,0.56373,19297482.7096,34620242.3561,9899768.2922,17761916.4747,470744,0.55747
1704240000000,2024-01-03 00:00:00,ADA/USDT,0.59698,0.60757,0.51,0.55024,18576859.128,32379250.1469,9403284.6751,16387696.4491,455874,0.57498
1704153600000,2024-01-02 00:00:00,ADA/USDT,0.61232,0.62087,0.58403,0.59689,15064700.3541,24786008.5915,7736419.3849,12730491.6072,382430,0.60785
1704067200000,2024-01-01 00:00:00,ADA/USDT,0.58585,0.61482,0.58189,0.61226,17667909.2804,29693197.9716,8976649.5962,15086725.3829,423912,0.59511
1703980800000,2023-12-31 00:00:00,ADA/USDT,0.58372,0.5962,0.57364,0.58635,18146741.1728,30850689.4672,9271854.7047,15761894.9332,438272,0.58822
1703894400000,2023-12-30 00:00:00,ADA/USDT,0.5877,0.59291,0.5796,0.58371,14468199.3645,24696941.4455,7435086.8795,12691471.0951,352948,0.58584
