https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,APT/USDT,9.463,9.985,8.671,9.042,8212625.01,863608.60877,4043293.512,425159.2499,117178,9.514
1704931200000,2024-01-11 00:00:00,APT/USDT,8.899,9.658,8.778,9.47,11308373.072,1224420.28293,5499528.536,595392.31096,162612,9.239
1704844800000,2024-01-10 00:00:00,APT/USDT,8.289,9.093,7.988,8.998,8978109.035,1067425.26028,4389085.232,521997.60658,129175,8.417
1704758400000,2024-01-09 00:00:00,APT/USDT,8.806,8.845,7.946,8.289,9400513.044,1124731.46257,4571920.814,546964.11079,134314,8.364
1704672000000,2024-01-08 00:00:00,APT/USDT,8.483,8.878,7.943,8.806,8149987.315,964292.98519,4045459.87,478696.28192,116133,8.458
1704585600000,2024-01-07 00:00:00,APT/USDT,9.062,9.45,8.455,8.485,6448922.329,716868.40164,3164943.499,351890.0041,92185,8.999
1704499200000,2024-01-06 00:00:00,APT/USDT,9.636,9.693,8.858,9.061,7172581.25,780283.09379,3522594.425,383262.98537,101592,9.194
1704412800000,2024-01-05 00:00:00,APT/USDT,10.3,10.876,9.396,9.636,8863434.151,872473.99867,4362651.592,429382.77285,126361,10.178
1704326400000,2024-01-04 00:00:00,APT/USDT,9.214,10.999,9.077,10.304,6611442.385,650484.59896,3247805.82,319511.0676,94407,10.196
1704240000000,2024-01-03 00:00:00,APT/USDT,10.254,10.403,8.6,9.215,6751815.755,699927.82308,3303876.32,342534.97569,96393,9.679
1704153600000,2024-01-02 00:00:00,APT/USDT,9.921,10.336,9.826,10.251,6941240.608,685464.93674,3421153.045,337840.81445,99630,10.127
1704067200000,2024-01-01 00:00:00,APT/USDT,9.411,10.025,9.312,9.92,7316866.166,762908.53043,3574776.303,372692.14793,103189,9.595
1703980800000,2023-12-31 00:00:00,APT/USDT,9.448,9.769,9.38,9.411,6419068.363,670308.7727,3129271.342,326768.89912,90973,9.576
1703894400000,2023-12-30 00:00:00,APT/USDT,9.694,9.835,9.44,9.448,5984209.484,623278.86627,2920788.003,304231.82538,84003,9.602
1703808000000,2023-12-29 00:00:00,APT/USDT,9.618,10.108,9.434,9.695,8579787.005,874883.15897,4198202.725,428072.96281,122209,9.809
1703721600000,2023-12-28 00:00:00,APT/USDT,10.132,10.374,9.535,9.619,8825491.267,892012.3034,4280988.223,432719.92652,125841,9.898
1703635200000,2023-12-27 00:00:00,APT/USDT,10.738,10.943,9.999,10.129,7820382.101,763517.5089,3765123.842,367551.81495,111157,10.245
1703548800000,2023-12-26 00:00:00,APT/USDT,10.425,10.759,9.41,10.732,8214080.609,806376.77649,4037467.99,396374.1902,117848,10.192
1703462400000,2023-12-25 00:00:00,APT/USDT,9.321,10.734,9.153,10.419,8781108.776,896923.93218,4284694.359,437652.38866,126212,9.818
1703376000000,2023-12-24 00:00:00,APT/USDT,9.318,9.85,9.134,9.326,8092856.383,858915.77067,3945436.323,418742.50738,115431,9.423
1703289600000,2023-12-23 00:00:00,APT/USDT,9.272,10.114,9.011,9.32,8196366.051,877621.35886,3986933.613,426972.12403,117311,9.342
1703203200000,2023-12-22 00:00:00,APT/USDT,8.703,9.446,8.592,9.271,2054953.672,229203.83576,993448.979,110781.52334,28879,8.973
1703116800000,2023-12-21 00:00:00,APT/USDT,8.226,8.738,8.226,8.703,3768080.25,447440.4617,1849312.543,219570.56082,52458,8.424
