https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,ATOM/USDT,10.649,10.939,9.653,9.957,8509227.87,812284.314126,4415773.88,421636.615874,121233,10.482
1704931200000,2024-01-11 00:00:00,ATOM/USDT,10.391,10.884,10.239,10.65,11078401.77,1048708.566989,5737890.32,543166.446307,159343,10.566
1704844800000,2024-01-10 00:00:00,ATOM/USDT,9.675,10.609,9.401,10.389,8923385.12,906495.278053,4640702.52,471312.075966,128442,9.85
1704758400000,2024-01-09 00:00:00,ATOM/USDT,9.962,10.048,9.4,9.676,9250586.98,945685.649702,4732577.9,483917.150065,132907,9.784
1704672000000,2024-01-08 00:00:00,ATOM/USDT,9.417,9.996,9.116,9.966,7668071.62,804298.448038,3874615.62,406391.410177,110040,9.539
1704585600000,2024-01-07 00:00:00,ATOM/USDT,9.83,9.914,9.341,9.418,7339653.81,751131.855995,3696690.45,378290.904418,106581,9.772
1704499200000,2024-01-06 00:00:00,ATOM/USDT,10.336,10.396,9.529,9.827,8071534.21,812749.25846,4110915.65,413953.02904,116462,9.933
1704412800000,2024-01-05 00:00:00,ATOM/USDT,10.268,10.749,9.779,10.327,8863036.87,870410.381129,4531319.63,445047.566899,127914,10.186
1704326400000,2024-01-04 00:00:00,ATOM/USDT,9.921,10.354,9.762,10.275,7964284.61,790349.972264,3994007.89,396306.037339,114749,10.078
1704240000000,2024-01-03 00:00:00,ATOM/USDT,10.964,11.377,9.316,9.928,7814564.27,740618.368069,3912001.64,370654.647109,113313,10.582
1704153600000,2024-01-02 00:00:00,ATOM/USDT,11.172,11.425,10.925,10.965,6761677.02,603459.807929,3422306.46,305424.271602,98869,11.206
1704067200000,2024-01-01 00:00:00,ATOM/USDT,10.602,11.188,10.461,11.173,8352286.41,770045.594798,4201302.69,387351.563772,119902,10.85
1703980800000,2023-12-31 00:00:00,ATOM/USDT,10.75,10.98,10.363,10.602,7356171.46,678964.422465,3765435.2,347560.963645,105858,10.835
1703894400000,2023-12-30 00:00:00,ATOM/USDT,10.978,11.028,10.572,10.743,8164916.91,754279.616761,4161206.01,384443.607578,115628,10.825
1703808000000,2023-12-29 00:00:00,ATOM/USDT,10.867,11.521,10.631,10.986,6688925.32,610118.97269,3367911.37,307171.523319,95653,10.965
1703721600000,2023-12-28 00:00:00,ATOM/USDT,10.95,11.01,10.826,10.868,2161490.95,197529.995382,1103416.71,100837.519121,30873,10.942
1703635200000,2023-12-27 00:00:00,ATOM/USDT,10.376,10.95,10.366,10.95,264458.69,24917.064507,139634.77,13155.218838,4223,10.617
1703548800000,2023-12-26 00:00:00,ATOM/USDT,10.341,10.745,9.6,10.375,2626538.74,253705.85928,1335507.72,128955.150635,39598,10.354
1703462400000,2023-12-25 00:00:00,ATOM/USDT,9.963,10.432,9.477,10.341,3520459.13,347757.063807,1785488.77,176376.09585,50952,10.125
1703376000000,2023-12-24 00:00:00,ATOM/USDT,10.103,10.333,9.941,9.963,3227299.11,316538.741794,1638763.65,160733.412328,46159,10.196
1703289600000,2023-12-23 00:00:00,ATOM/USDT,9.935,10.237,9.899,10.103,3506545.2,346011.939772,1768402.06,174511.112731,49800,10.134
1703203200000,2023-12-22 00:00:00,ATOM/USDT,10.028,10.181,9.3,9.934,3224137.38,325456.434487,1622139.47,163744.000652,46959,9.907
1703116800000,2023-12-21 00:00:00,ATOM/USDT,10.029,10.038,9.3,10.028,6567020.6,661720.828051,3273318.52,329840.217791,96877,9.924
1703030400000,2023-12-20 00:00:00,ATOM/USDT,9.806,10.072,9.41,10.025,4912193.64,501176.834331,2446139.12,249572.185457,71707,9.803
1702944000000,2023-12-19 00:00:00,ATOM/USDT,9.953,10.072,9.3,9.806,4664686,477747.49404,2336903.02,239295.016118,68217,9.764
1702857600000,2023-12-18 00:00:00,ATOM/USDT,10.069,10.096,9.32,9.952,5772520.56,587638.838096,2885909.8,293760.586316,83479,9.825
1702771200000,2023-12-17 00:00:00,ATOM/USDT,10.252,10.333,10.031,10.07,5106782.98,502526.985993,2587266.74,254592.010436,73201,10.162
1702684800000,2023-12-16 00:00:00,ATOM/USDT,9.28,10.399,9.274,10.302,4304096.61,442556.022824,2172897.35,223328.125761,62498,9.736
