https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,AVAX/USDT,38.832,39.088,34.365,35.531,8160497.9,217713.422602,4102257.78,109438.303279,116982,37.517
1704931200000,2024-01-11 00:00:00,AVAX/USDT,37.85,39.8,36.897,38.831,7136855.74,185853.993626,3585914.2,93377.058533,101743,38.408
1704844800000,2024-01-10 00:00:00,AVAX/USDT,34.311,38.796,32.694,37.85,7451119.72,214733.446801,3737077.86,107692.672921,106762,34.746
1704758400000,2024-01-09 00:00:00,AVAX/USDT,35.72,36.391,33.239,34.294,7427201.42,211309.172836,3711413.79,105584.865082,106064,35.162
1704672000000,2024-01-08 00:00:00,AVAX/USDT,33.625,35.731,31.253,35.713,5132816.07,153647.499536,2561618.58,76678.923105,73395,33.452
1704585600000,2024-01-07 00:00:00,AVAX/USDT,34.676,35.829,33.059,33.633,7415925.51,213214.299834,3703376.71,106476.501912,106089,34.787
1704499200000,2024-01-06 00:00:00,AVAX/USDT,36.379,36.386,33.443,34.685,8209024.29,235196.128039,4125494.5,118205.065525,117368,34.912
1704412800000,2024-01-05 00:00:00,AVAX/USDT,38.614,38.785,35.002,36.37,8236144.35,225317.173754,4139432.3,113251.445873,118518,36.569
1704326400000,2024-01-04 00:00:00,AVAX/USDT,36.675,39.226,36.086,38.597,7850868.17,209625.174915,3966139.94,105921.500253,112469,37.471
1704240000000,2024-01-03 00:00:00,AVAX/USDT,40.418,40.795,33.777,36.69,7289515.2,190708.435783,3645577.72,95427.808151,105343,38.331
1704153600000,2024-01-02 00:00:00,AVAX/USDT,41.2,41.834,40.092,40.414,3986387.47,97309.665669,2004084.76,48927.061615,57032,40.971
1704067200000,2024-01-01 00:00:00,AVAX/USDT,38.361,41.2,37.828,41.2,6310706.7,161541.500676,3164766.61,81010.300544,89772,39.085
1703980800000,2023-12-31 00:00:00,AVAX/USDT,39.089,40.131,37.514,38.3,7322240.34,186432.449147,3676972.48,93618.846847,105358,39.28
1703894400000,2023-12-30 00:00:00,AVAX/USDT,39.953,40.051,38.011,39.095,8247428.98,210032.411635,4153200.73,105762.058563,118062,39.272
1703808000000,2023-12-29 00:00:00,AVAX/USDT,39.262,41.742,38.017,39.956,7092422.48,177553.132486,3558367.6,89083.103055,100209,39.955
1703721600000,2023-12-28 00:00:00,AVAX/USDT,41.856,42.332,38.529,39.27,6556948.58,163309.798283,3282078.76,81727.620502,93882,40.174
