https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,BNB/USDT,308.39,313.17,289.8,296.51,8753310.99,28579.92269,4483191.1,14636.067843,124358,306.36
1704931200000,2024-01-11 00:00:00,BNB/USDT,305.96,316.68,301.78,308.37,11137583.48,36098.835174,5747463.7,18630.904814,159082,308.57
1704844800000,2024-01-10 00:00:00,BNB/USDT,300.18,308.96,289.58,305.79,9053049.73,30270.50812,4621099.63,15449.474037,128624,299.12
1704758400000,2024-01-09 00:00:00,BNB/USDT,303.98,306.79,296.26,301.3,9358136.55,31037.274127,4706814.11,15610.760648,132948,301.52
1704672000000,2024-01-08 00:00:00,BNB/USDT,302.62,307.99,290.29,304.03,8683795.7,28901.181094,4389558.66,14609.150527,120319,300.52
1704585600000,2024-01-07 00:00:00,BNB/USDT,307.81,310,300.03,302.6,7647495.89,24959.300542,3724829.55,12157.030104,103464,306.4
1704499200000,2024-01-06 00:00:00,BNB/USDT,317.41,317.46,300.58,307.65,8245963.73,26903.08172,4115802.04,13427.908103,114299,306.52
1704412800000,2024-01-05 00:00:00,BNB/USDT,323.66,326.8,308.8,317.42,9004725.74,28352.530602,4596916.07,14476.492224,124039,317.64
1704326400000,2024-01-04 00:00:00,BNB/USDT,315.57,324.62,311.08,323.72,8172999.56,25628.854633,4099222.49,12855.77959,111697,318.91
1704240000000,2024-01-03 00:00:00,BNB/USDT,312.05,335.2,290.01,315.96,8091245.1,25563.227565,4217727.25,13324.910599,112199,316.6
1704153600000,2024-01-02 00:00:00,BNB/USDT,313.56,321.34,306.74,312.04,7434791.72,23584.071825,3686912.62,11693.995389,99451,315.29
1704067200000,2024-01-01 00:00:00,BNB/USDT,311.85,316.01,309,313.51,8021996.53,25714.889785,4030840.82,12920.396845,109850,311.96
1703980800000,2023-12-31 00:00:00,BNB/USDT,317.47,325.38,310.2,311.85,7572290.24,23800.666275,3722223.33,11699.324141,102138,318.18
1703894400000,2023-12-30 00:00:00,BNB/USDT,314.94,321.05,313.24,317.45,8323008.01,26245.646224,4259681.47,13432.75622,118691,317.12
1703808000000,2023-12-29 00:00:00,BNB/USDT,323.8,325.87,308.62,314.92,7811782.04,24672.602225,3999975.85,12633.475429,109507,316.65
1703721600000,2023-12-28 00:00:00,BNB/USDT,322.04,338.37,319.28,323.81,8901171.35,27179.888961,4617167.9,14104.251953,120648,327.53
1703635200000,2023-12-27 00:00:00,BNB/USDT,298.68,324.14,285.16,323.51,8790859.73,29056.305781,4726781.29,15610.83074,120309,302.85
1703548800000,2023-12-26 00:00:00,BNB/USDT,265.35,302.95,262.71,298.02,8705061.82,30791.416711,4470945.94,15792.930652,118498,283.4
1703462400000,2023-12-25 00:00:00,BNB/USDT,262.83,267.28,260.41,265.36,8949358.61,33829.292372,4713666.73,17817.707793,112600,264.55
1703376000000,2023-12-24 00:00:00,BNB/USDT,269.36,270.49,261,262.98,8495851.48,31804.144185,4299117.76,16091.576094,112869,267.14
1703289600000,2023-12-23 00:00:00,BNB/USDT,270.26,271.23,265.05,269.32,8969115.21,33477.244487,4520740.16,16876.240855,116916,267.92
1703203200000,2023-12-22 00:00:00,BNB/USDT,269.5,274.11,262.82,270.3,8987544.16,33352.960749,4751283.71,17631.016091,117235,269.48
1703116800000,2023-12-21 00:00:00,BNB/USDT,241.36,271.83,232.93,269.38,8013048.67,31263.89155,4170902.01,16273.963453,107402,256.98
1703030400000,2023-12-20 00:00:00,BNB/USDT,246.52,250,232,241.31,8744181.59,35611.344909,4504511.65,18345.594887,105310,245.57
1702944000000,2023-12-19 00:00:00,BNB/USDT,235.21,247.8,213.99,246.65,6289256.81,25898.267251,3268910.65,13460.798694,73938,242.88
1702857600000,2023-12-18 00:00:00,BNB/USDT,237.01,237.07,212.67,235.21,8433768.49,36892.298161,4364989.71,19092.705683,105710,228.62
1702771200000,2023-12-17 00:00:00,BNB/USDT,241.77,241.91,236.73,237.06,9248429.87,38568.633524,4834795.55,20163.121593,121630,239.79
1702684800000,2023-12-16 00:00:00,BNB/USDT,241.5,245,240.54,241.84,8971938.96,36878.075309,4681763.42,19243.513851,120167,243.28
1702598400000,2023-12-15 00:00:00,BNB/USDT,250.98,250.98,240.43,241.45,9123434.41,37036.208138,4703211.4,19093.711663,120357,246.36
1702512000000,2023-12-14 00:00:00,BNB/USDT,249.3,250.99,245.86,250.98,6733988.45,27067.091902,3497623.91,14059.055242,95942,248.79
1702425600000,2023-12-13 00:00:00,BNB/USDT,239.35,250.45,238.32,249.33,7321394.88,30002.948196,3796848.33,15563.255966,87880,244.09
1702339200000,2023-12-12 00:00:00,BNB/USDT,224.73,249,222.61,239.33,4466059.11,19212.976012,2326236.01,10012.126545,57578,232.68
1702252800000,2023-12-11 00:00:00,BNB/USDT,236.56,237.71,210,224.75,7329573.25,32521.489088,3853752.27,17098.236102,95206,225.47
1702166400000,2023-12-10 00:00:00,BNB/USDT,235.46,239.05,233.98,236.58,7618320.67,32140.94505,3929129.27,16575.733683,97391,237.03
1702080000000,2023-12-09 00:00:00,BNB/USDT,236.08,241.81,215.85,235.36,5944322.17,25109.304572,3078099.84,13002.345119,76413,236.75
1701993600000,2023-12-08 00:00:00,BNB/USDT,230.29,236.3,228.24,236.1,6576529.06,28466.066433,3390619.52,14676.382847,83641,231.04
1701907200000,2023-12-07 00:00:00,BNB/USDT,222.3,233.22,222.05,230.21,6746866.56,29621.040994,3512289.5,15420.22015,88226,227.8
1701820800000,2023-12-06 00:00:00,BNB/USDT,222.85,231.33,220.47,222.31,8076349.51,36128.793635,4173691.06,18668.933912,105800,223.56
