https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,BTC/USDT,46356.73,46493.71,41683.27,42795.58,167193889.19,3715.468165,82717146.11,1837.774403,138366,45034.65
1704931200000,2024-01-11 00:00:00,BTC/USDT,46628.84,48608,45663.58,46356.73,197821116.37,4247.962289,97500685.1,2093.552945,159071,46573.59
1704844800000,2024-01-10 00:00:00,BTC/USDT,46177.75,47537.24,44838.88,46655.56,155181047.91,3379.955761,76559965.18,1667.468183,128130,45917.7
1704758400000,2024-01-09 00:00:00,BTC/USDT,46885.92,47450,45354.8,46179.72,171272252.56,3674.928895,85467633.46,1833.744026,133558,46607.19
1704672000000,2024-01-08 00:00:00,BTC/USDT,43908.44,47000,43209.34,46885.91,157110916.8,3505.834983,78446384.75,1749.923718,125781,44847.91
1704585600000,2024-01-07 00:00:00,BTC/USDT,43962.07,44465.46,43623.56,43911.02,133674026.14,3034.052219,65651540.21,1490.08371,102583,44058.3
1704499200000,2024-01-06 00:00:00,BTC/USDT,44161.82,44216.17,43424.3,43959.09,144641613.48,3301.401959,71166530.09,1624.372661,111142,43812.67
1704412800000,2024-01-05 00:00:00,BTC/USDT,44132.21,44293.72,42761.15,44149.3,168203400.3,3844.506722,82440771.74,1884.329341,127834,43752.87
1704326400000,2024-01-04 00:00:00,BTC/USDT,42840.46,44685,42628.8,44154.91,147419989.05,3392.926969,72081103.9,1658.703272,112518,43456.22
1704240000000,2024-01-03 00:00:00,BTC/USDT,44937.32,45471.12,41838.58,42854.01,144745823.14,3303.059299,69309231.14,1581.229533,114965,43858.05
1704153600000,2024-01-02 00:00:00,BTC/USDT,44000.64,45640.62,44000.63,44958.52,131493157.18,2912.305144,65138060.15,1442.776027,104330,45153.12
1704067200000,2024-01-01 00:00:00,BTC/USDT,42273.26,44000.64,42198.56,43999.21,153383127.65,3584.338851,75690636,1768.428445,116885,42797.29
1703980800000,2023-12-31 00:00:00,BTC/USDT,42140.32,42866.66,41901,42267.35,141768153.15,3340.327464,69109224.16,1628.274573,107251,42442.18
1703894400000,2023-12-30 00:00:00,BTC/USDT,42079.17,42589.95,41528.47,42141.5,153538409.42,3647.149505,73698317.39,1750.68719,115690,42099.4
1703808000000,2023-12-29 00:00:00,BTC/USDT,42567.79,43084.45,41388.82,42082.75,157673854.43,3717.870425,77022106.31,1816.092893,123989,42412.55
1703721600000,2023-12-28 00:00:00,BTC/USDT,43406.22,43753.71,42170.3,42552.48,156499596.79,3647.458497,76392217.67,1780.528804,122207,42909.69
1703635200000,2023-12-27 00:00:00,BTC/USDT,42513.18,43645.84,42135.15,43411.36,158571727.79,3703.486567,78877279.9,1842.251072,121895,42820.18
1703548800000,2023-12-26 00:00:00,BTC/USDT,43575.29,43595.81,41798.55,42515.87,159418231.94,3731.608375,79411114.57,1858.733228,122192,42726.08
1703462400000,2023-12-25 00:00:00,BTC/USDT,43003.41,43765.28,42749.99,43575.29,157251398.52,3629.501361,78073849.39,1802.044514,119677,43327.21
1703376000000,2023-12-24 00:00:00,BTC/USDT,43708.76,43930.09,42709.92,42984.57,160223786.96,3674.01108,80175980.5,1838.471774,120512,43610.95
1703289600000,2023-12-23 00:00:00,BTC/USDT,43967.35,43990.68,43311.99,43716.38,156708059.61,3588.454,78374802.63,1794.706289,117505,43670.36
1703203200000,2023-12-22 00:00:00,BTC/USDT,43848.47,44350,43428.57,43977.24,159325232.61,3637.425303,79927502.56,1824.713589,121355,43802.36
1703116800000,2023-12-21 00:00:00,BTC/USDT,43655.03,44205.33,43324.86,43856.85,165372283.89,3782.446113,82694108.43,1891.41537,125547,43721.82
1703030400000,2023-12-20 00:00:00,BTC/USDT,42282.36,44232.33,42194.23,43656.73,156504934.71,3624.45351,78885090.29,1826.933942,121207,43188.35
1702944000000,2023-12-19 00:00:00,BTC/USDT,42647.6,43413.12,41786.6,42273.56,156083390.92,3654.718185,77894485.42,1824.023976,123123,42710.46
1702857600000,2023-12-18 00:00:00,BTC/USDT,41362.42,42724.58,40700,42646.42,157705282.41,3808.473085,78205546.71,1888.684586,125243,41414.49
1702771200000,2023-12-17 00:00:00,BTC/USDT,42285.04,42418.51,41300,41362.46,151514971.71,3611.578637,76676144.02,1827.666753,117733,41953.29
1702684800000,2023-12-16 00:00:00,BTC/USDT,41928.87,42705.73,41720.6,42277.93,149727253.64,3540.471617,74807147.33,1768.893904,117652,42290.73
1702598400000,2023-12-15 00:00:00,BTC/USDT,43012.85,43082.31,41711.33,41929.8,152498693.31,3592.406433,76201120.74,1795.075689,120638,42453.66
1702512000000,2023-12-14 00:00:00,BTC/USDT,42865.98,43336.8,41549.99,43016.83,143584483.17,3351.509095,71186681.62,1661.583833,115043,42842.77
1702425600000,2023-12-13 00:00:00,BTC/USDT,41490.57,43390,40600,42870.07,151027080.96,3630.830848,74951539.34,1801.834646,124467,41607.62
1702339200000,2023-12-12 00:00:00,BTC/USDT,41258.13,42092.81,40702.4,41489.12,152086325.35,3660.956536,75199103.52,1810.13069,129384,41544.77
1702252800000,2023-12-11 00:00:00,BTC/USDT,43789.42,43811.62,40345.6,41266.41,148997575.88,3551.649624,74545928.14,1777.07113,132458,41963.18
1702166400000,2023-12-10 00:00:00,BTC/USDT,43704.87,44020,43576.51,43789.42,136518238.16,3115.786492,68169644.98,1555.851159,121260,43815.15
1702080000000,2023-12-09 00:00:00,BTC/USDT,44187.7,44359.87,43564.87,43697.68,137523278.93,3124.316641,69901536.39,1588.015634,131835,44017.6
1701993600000,2023-12-08 00:00:00,BTC/USDT,43271.19,44600,42889.55,44187.7,140628503.15,3233.966059,71304845.77,1639.679284,132130,43489.13
1701907200000,2023-12-07 00:00:00,BTC/USDT,42454.69,43737.03,42296.55,43279.4,146426528.53,3391.744419,73829729.22,1710.151072,137050,43173.9
1701820800000,2023-12-06 00:00:00,BTC/USDT,41742.63,42585.08,41400,42458.64,144603727.7,3437.037036,73020801.4,1735.706501,130336,42074.89
1701734400000,2023-12-05 00:00:00,BTC/USDT,40775.53,41942.21,39956.17,41750,148759757.47,3649.443279,73864061.63,1811.97748,133038,40771.07
1701648000000,2023-12-04 00:00:00,BTC/USDT,39404.01,41000,39400,40776.69,136676185.13,3394.113225,68419702.94,1699.249845,130089,40272.43
1701561600000,2023-12-03 00:00:00,BTC/USDT,38827.82,39432.1,38713.27,39408.79,135666403.71,3481.95339,68243293.47,1751.484983,117474,38963.12
1701475200000,2023-12-02 00:00:00,BTC/USDT,38352.57,39000,38150,38824.41,111613725.25,2901.076019,56251603.15,1462.045533,116865,38474
1701388800000,2023-12-01 00:00:00,BTC/USDT,37662.38,38500,37566.3,38338.52,128772454.48,3378.495904,64808566.56,1700.342803,114614,38116.64
1701302400000,2023-11-30 00:00:00,BTC/USDT,37609.04,37692.3,37245.97,37659.4,128623290.05,3430.191459,64741804.45,1726.553697,122362,37497.61
1701216000000,2023-11-29 00:00:00,BTC/USDT,37648.01,38000,37300,37609.08,148971588.56,3951.822343,74423140.17,1974.253621,132564,37697.39
1701129600000,2023-11-28 00:00:00,BTC/USDT,37290.24,37963,36912.63,37648.52,148108039.39,3965.232226,74437632.48,1992.81741,126170,37353.79
1701043200000,2023-11-27 00:00:00,BTC/USDT,37207.51,37450,36862,37287.11,141625441.71,3812.499351,70395582.47,1895.044612,123085,37148.17
1700956800000,2023-11-26 00:00:00,BTC/USDT,37447.49,37500,37044.9,37216.77,100487088.84,2691.670732,50467419.96,1351.805768,88209,37332.86
1700870400000,2023-11-25 00:00:00,BTC/USDT,37424.86,37526.7,37088.1,37447.45,133092008.15,3564.541564,66581962.33,1783.235822,114032,37337.94
1700784000000,2023-11-24 00:00:00,BTC/USDT,37284.08,37734.7,37250.01,37416.05,122686883.67,3277.833815,60899091.16,1627.026947,112207,37429.47
1700697600000,2023-11-23 00:00:00,BTC/USDT,37305.18,37530,36907.6,37276.78,145504604.34,3902.961444,72351272.54,1940.702065,122749,37280.8
1700611200000,2023-11-22 00:00:00,BTC/USDT,35900,37621.59,35774.41,37305.18,152990956.56,4173.523311,76456460.68,2085.705,132072,36661.56
1700524800000,2023-11-21 00:00:00,BTC/USDT,37435.81,37615.97,35900,35900,148735117.5,4007.554405,74296330.7,2001.781494,137729,37117.01
1700438400000,2023-11-20 00:00:00,BTC/USDT,37315.45,37644.98,36631.18,37434.56,123946786.98,3325.037053,61898800.75,1660.514735,118574,37277.44
1700352000000,2023-11-19 00:00:00,BTC/USDT,36557.18,37430.03,36400,37315.46,101434229.36,2770.634008,51085258.1,1395.276668,90333,36611.58
1700265600000,2023-11-18 00:00:00,BTC/USDT,36610.69,36828.05,36205.97,36557.17,141763959.8,3885.70568,70732606.25,1938.730428,127974,36483.81
1700179200000,2023-11-17 00:00:00,BTC/USDT,36166.19,36681.1,35897.26,36610.56,152239324.96,4187.138676,76467175.79,2103.136166,141971,36359.31
1700092800000,2023-11-16 00:00:00,BTC/USDT,37825.3,37875,35627.85,36173.01,144074135.87,3898.979937,72004577.21,1948.480344,129323,36961.5
1700006400000,2023-11-15 00:00:00,BTC/USDT,35565.88,37874.17,35399.32,37834.8,156251739.94,4310.863318,78762707.5,2172.800164,132504,36261.71
1699920000000,2023-11-14 00:00:00,BTC/USDT,36416.25,36741.4,35100,35566.2,168900433.89,4656.108464,84465319.03,2328.325324,143689,36280.49
1699833600000,2023-11-13 00:00:00,BTC/USDT,37041.45,37330,36300.74,36417.99,93968420.73,2543.594214,46976888.44,1271.55818,82282,36943.69
1699747200000,2023-11-12 00:00:00,BTC/USDT,37104.63,37500,36790,37054.26,150024250.52,4047.146902,75557352.94,2038.245393,120159,37069.32
1699660800000,2023-11-11 00:00:00,BTC/USDT,36600,37276.57,36450,37120,88956423.63,2401.38407,44536033.92,1202.236852,71263,37044.04
1699574400000,2023-11-10 00:00:00,BTC/USDT,36697.4,36891,36333.42,36583.1,61001321.24,1664.743606,30765422.35,839.615536,47339,36643.4
1699488000000,2023-11-09 00:00:00,BTC/USDT,35616.56,37946.03,35500,36694.77,127368309.26,3478.054595,63949355.7,1746.027608,102785,36625.09
1699401600000,2023-11-08 00:00:00,BTC/USDT,35392.45,36091.74,35139.77,35619.5,92045752.65,2600.597262,45772036.74,1293.177444,74744,35394.84
1699315200000,2023-11-07 00:00:00,BTC/USDT,35039.94,35919,34533.65,35391.66,92832089.7,2653.520352,47855674.33,1367.769444,74256,34987.12
1699228800000,2023-11-06 00:00:00,BTC/USDT,35028.33,35272.3,34731.26,35039.94,36276287.8,1039.171039,19209203.85,550.24483,31559,34909.07
1699142400000,2023-11-05 00:00:00,BTC/USDT,35053.81,35347.36,34485.58,35028.33,78945183.55,2253.569509,41878168.25,1195.46192,62662,35031.58
1699056000000,2023-11-04 00:00:00,BTC/USDT,34712.96,35241.07,34600,35053.02,79567169,2289.312593,41187210.83,1184.983487,62275,34756.18
1698969600000,2023-11-03 00:00:00,BTC/USDT,34937.32,34946.95,34143.28,34716.43,76274409.5,2211.356026,39947993.91,1158.076288,80885,34492.97
1698883200000,2023-11-02 00:00:00,BTC/USDT,35414.84,35915.21,34331.58,34914.82,79162094.34,2246.150435,41575632.83,1179.472977,64071,35245.94
1698796800000,2023-11-01 00:00:00,BTC/USDT,34632.76,35556.85,34133.33,35415.26,101843279.58,2945.517848,51155721.86,1479.338957,81890,34577.94
1698710400000,2023-10-31 00:00:00,BTC/USDT,34476.11,34713.36,34038.44,34641.9,140713744.91,4088.251502,70200174.48,2039.546565,112428,34419.54
1698624000000,2023-10-30 00:00:00,BTC/USDT,34519.08,34819.52,34100,34474.26,19974574.43,579.692604,9931651.99,288.253961,21810,34457.67
1698537600000,2023-10-29 00:00:00,BTC/USDT,34080.66,34742.33,33924.6,34523.83,19939714.61,581.229029,10011323.51,291.764553,19297,34307.8
1698451200000,2023-10-28 00:00:00,BTC/USDT,33880.43,34454.54,33850.32,34080.67,26329513.93,772.573458,13149415.75,385.844288,23910,34080.5
1698364800000,2023-10-27 00:00:00,BTC/USDT,34133.89,34235.71,33409.82,33880.49,36624752.23,1078.116455,18410268.53,541.964657,31383,33971.88
1698278400000,2023-10-26 00:00:00,BTC/USDT,34494.19,34817.77,33750.38,34146.56,42435515.93,1236.153476,21109353.9,614.989913,37028,34330.97
1698192000000,2023-10-25 00:00:00,BTC/USDT,33906.43,35055.67,33660.25,34495.73,43769907.5,1274.904025,22294772.29,649.337484,39408,34334.5
1698105600000,2023-10-24 00:00:00,BTC/USDT,32977.35,35100,32830.55,33909.76,48286606.49,1417.426732,24548415.63,720.663182,45267,34070.48
1698019200000,2023-10-23 00:00:00,BTC/USDT,29973.13,34600,29871.92,32967.26,39833782.07,1283.817404,20667301.75,665.347425,41383,31046.2
1697932800000,2023-10-22 00:00:00,BTC/USDT,29906.09,30212.16,29649.75,29967.34,23994599.76,802.207919,11887419.54,397.417975,22420,29910.88
1697846400000,2023-10-21 00:00:00,BTC/USDT,29661.73,30337.49,29461.83,29907.88,24302547.28,816.459308,12094672.28,406.313265,23610,29766.95
1697760000000,2023-10-20 00:00:00,BTC/USDT,28709.24,30169.15,28579.73,29664.2,32966040.9,1118.832459,16506465.04,560.200436,30779,29468.14
1697673600000,2023-10-19 00:00:00,BTC/USDT,28315.81,28890,28150.58,28714.63,23714230.02,832.511201,12271356.52,430.721774,20899,28486.28
1697587200000,2023-10-18 00:00:00,BTC/USDT,28390.18,28950,28147.97,28317.76,22850424.38,804.431677,11306833.56,398.0315,21138,28406.33
1697500800000,2023-10-17 00:00:00,BTC/USDT,28496.7,28600,28085.19,28402.85,34113658.13,1202.395391,17077455.12,601.897826,30549,28371.86
