https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,DAI/USDT,0.99611,0.99645,0.9951,0.99585,263431.6439,264558.112,130290.5694,130870.4054,1346,0.99574
1704931200000,2024-01-11 00:00:00,DAI/USDT,0.99589,0.99659,0.99557,0.99589,350645.9592,352066.7404,167883.6497,168582.0342,1498,0.99596
1704844800000,2024-01-10 00:00:00,DAI/USDT,0.99633,0.99671,0.9955,0.99588,389254.2776,390762.04,243559.8027,244511.7364,1702,0.99614
1704758400000,2024-01-09 00:00:00,DAI/USDT,0.99588,0.99697,0.99559,0.99616,311091.4172,312254.5968,159907.5582,160523.6007,1522,0.99627
1704672000000,2024-01-08 00:00:00,DAI/USDT,0.99618,0.99648,0.99254,0.99591,413727.7614,415508.6062,181349.0514,182142.6242,1599,0.99571
1704585600000,2024-01-07 00:00:00,DAI/USDT,0.99819,0.99868,0.99546,0.99618,887459.3765,890263.2538,558972.778,560821.3022,3234,0.99685
1704499200000,2024-01-06 00:00:00,DAI/USDT,0.99958,0.9999,0.99805,0.9982,931690.0182,932458.1764,447811.3906,448204.3018,3370,0.99917
1704412800000,2024-01-05 00:00:00,DAI/USDT,0.99904,0.9997,0.99897,0.99959,847657.8903,848188.704,434278.6331,434599.9684,3067,0.99937
1704326400000,2024-01-04 00:00:00,DAI/USDT,0.99858,0.99947,0.99,0.99904,844456.8405,845361.7663,406534.0347,406967.1359,2996,0.99892
1704240000000,2024-01-03 00:00:00,DAI/USDT,0.99823,0.99869,0.99797,0.99857,851197.1973,852628.3118,403219.8643,403954.423,2928,0.99832
1704153600000,2024-01-02 00:00:00,DAI/USDT,0.99796,0.99834,0.9978,0.99821,564336.6085,565427.251,210868.7507,211304.9731,2008,0.99807
1704067200000,2024-01-01 00:00:00,DAI/USDT,0.99741,0.99832,0.99703,0.99794,520702.603,521896.8611,329879.7421,330659.5644,1810,0.99771
1703980800000,2023-12-31 00:00:00,DAI/USDT,0.9966,0.99784,0.9965,0.99762,465614.8237,466997.2305,239472.4165,240256.438,1981,0.99704
1703894400000,2023-12-30 00:00:00,DAI/USDT,0.99654,0.99664,0.99641,0.99662,59704.4198,59910.6022,38497.101,38630.1947,907,0.99655
1703808000000,2023-12-29 00:00:00,DAI/USDT,0.99561,0.99664,0.9955,0.99655,220009.8801,220854.2364,81006.3838,81318.94,1466,0.99617
1703721600000,2023-12-28 00:00:00,DAI/USDT,0.96252,0.99664,0.94414,0.99562,160499.9069,164187.2539,71263.6706,72779.7575,1478,0.97767
1703635200000,2023-12-27 00:00:00,DAI/USDT,0.99652,0.99664,0.94505,0.96728,89779.4389,92146.5095,39767.6793,40644.4896,907,0.97446
1703548800000,2023-12-26 00:00:00,DAI/USDT,0.99617,0.99672,0.99613,0.99663,40290.1506,40430.2045,13745.3733,13793.8811,495,0.99653
1703462400000,2023-12-25 00:00:00,DAI/USDT,0.99587,0.99646,0.99572,0.99616,41036.3354,41198.2759,25366.2769,25467.875,425,0.99606
1703376000000,2023-12-24 00:00:00,DAI/USDT,0.99538,0.99618,0.99488,0.99573,41046.8316,41233.27,24755.2567,24867.5084,539,0.99547
1703289600000,2023-12-23 00:00:00,DAI/USDT,0.99517,0.99565,0.97788,0.99537,53860.792,54141.692,31762.1223,31927.829,604,0.99481
1703203200000,2023-12-22 00:00:00,DAI/USDT,0.96172,0.9956,0.94538,0.99535,81384.9245,83448.9378,44473.398,45403.2682,835,0.97549
1703116800000,2023-12-21 00:00:00,DAI/USDT,0.96195,0.98678,0.95317,0.96169,145262.8364,151369.844,66443.4409,69262.8498,1451,0.95969
1703030400000,2023-12-20 00:00:00,DAI/USDT,0.99566,0.99572,0.94,0.96196,141351.0117,143029.8443,71375.1458,72202.9065,1561,0.98831
1702944000000,2023-12-19 00:00:00,DAI/USDT,0.99571,0.99604,0.99545,0.99566,120572.5746,121086.4433,57253.9174,57497.7594,1254,0.99575
1702857600000,2023-12-18 00:00:00,DAI/USDT,0.99889,0.99919,0.99556,0.99572,123390.7778,123771.1618,62857.5175,63052.8647,1352,0.99692
1702771200000,2023-12-17 00:00:00,DAI/USDT,0.93642,1.00016,0.93565,0.99891,184131.6754,191451.2372,87069.7731,90584.4665,1686,0.96233
1702684800000,2023-12-16 00:00:00,DAI/USDT,0.9449,0.95536,0.91105,0.93639,175995.9625,187808.472,90214.3965,96269.0033,1694,0.93712
1702598400000,2023-12-15 00:00:00,DAI/USDT,0.93097,0.95393,0.91224,0.94491,171298.1208,185128.1093,86571.3541,93586.9785,1672,0.92533
1702512000000,2023-12-14 00:00:00,DAI/USDT,0.93097,0.93511,0.92694,0.92898,165153.9708,177626.1417,82770.8534,89022.22,1649,0.92978
1702425600000,2023-12-13 00:00:00,DAI/USDT,0.9707,0.97816,0.92693,0.92959,187997.9028,200194.8298,94651.914,100757.1788,1634,0.93913
1702339200000,2023-12-12 00:00:00,DAI/USDT,0.93707,0.99975,0.92694,0.97069,161493.7187,171363.2933,82438.6262,87462.9628,1773,0.9425
1702252800000,2023-12-11 00:00:00,DAI/USDT,0.938,0.96499,0.92694,0.93712,181823.0793,194219.2107,88456.8753,94499.0444,1630,0.9362
1702166400000,2023-12-10 00:00:00,DAI/USDT,0.93798,0.94076,0.92694,0.93802,165478.3652,176924.9562,79237.3518,84704.1664,1633,0.9353
1702080000000,2023-12-09 00:00:00,DAI/USDT,0.95205,0.96005,0.93792,0.93799,166152.0333,175545.52,80506.3962,85023.2718,1571,0.94656
1701993600000,2023-12-08 00:00:00,DAI/USDT,0.97125,0.98777,0.88,0.95203,208551.2248,214807.0565,107462.4529,110873.6072,1801,0.97122
1701907200000,2023-12-07 00:00:00,DAI/USDT,0.96504,0.99281,0.96461,0.97126,167810.1519,172199.3091,85159.4666,87368.3511,1792,0.97452
1701820800000,2023-12-06 00:00:00,DAI/USDT,0.96584,0.967,0.9646,0.96504,195833.3959,202856.0205,97874.4424,101381.488,1719,0.96538
1701734400000,2023-12-05 00:00:00,DAI/USDT,0.9647,0.96864,0.96206,0.96583,166753.8043,172735.777,81013.5726,83918.9172,1538,0.96537
1701648000000,2023-12-04 00:00:00,DAI/USDT,0.97062,0.97644,0.96,0.96471,185410.0431,191955.408,88544.4374,91675.5292,1784,0.9659
1701561600000,2023-12-03 00:00:00,DAI/USDT,0.97592,0.9937,0.96504,0.97066,196270.6449,201071.6674,99684.1082,102117.515,1811,0.97613
1701475200000,2023-12-02 00:00:00,DAI/USDT,0.98286,0.98801,0.97001,0.9759,175024.2389,178228.601,89896.0335,91537.9609,1886,0.98203
1701388800000,2023-12-01 00:00:00,DAI/USDT,0.98636,0.99205,0.98,0.98282,186883.2239,189955.4056,93574.7761,95114.2502,1864,0.98382
1701302400000,2023-11-30 00:00:00,DAI/USDT,0.99199,0.99303,0.98,0.98637,197624.069,199972.9062,98835.1914,100009.9304,1944,0.98825
1701216000000,2023-11-29 00:00:00,DAI/USDT,0.99236,0.99504,0.98811,0.99198,205498.0454,207294.6329,105768.8001,106685.9572,1951,0.99133
1701129600000,2023-11-28 00:00:00,DAI/USDT,0.99642,0.99698,0.98711,0.99234,175507.2966,176430.5065,85575.3086,86017.3237,1752,0.99477
