https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,DOGE/USDT,0.083551,0.084793,0.07784,0.079989,19957748.63657,241474714.869,10226853.43461,123729320.227,494729,0.082681
1704931200000,2024-01-11 00:00:00,DOGE/USDT,0.081906,0.085907,0.079896,0.08355,20620150.77372,248773525.042,10698329.68696,129063345.667,522516,0.082921
1704844800000,2024-01-10 00:00:00,DOGE/USDT,0.077206,0.082634,0.074803,0.081956,19507016.12731,252795122.592,10040304.07041,130103562.702,521844,0.077198
1704758400000,2024-01-09 00:00:00,DOGE/USDT,0.080085,0.080085,0.075727,0.077226,19892713.5929,254283033.869,10205440.53587,130461468.394,490160,0.078247
1704672000000,2024-01-08 00:00:00,DOGE/USDT,0.077621,0.080334,0.073498,0.080084,11387969.37767,147157481.736,5851289.40478,75618883.501,272613,0.077411
1704585600000,2024-01-07 00:00:00,DOGE/USDT,0.079718,0.080786,0.076546,0.077621,17645512.66174,221835021.618,9078955.12104,114130047.637,444835,0.079551
1704499200000,2024-01-06 00:00:00,DOGE/USDT,0.081,0.081223,0.0768,0.079729,15400518.74097,194892403.62,7954364.97893,100663284.77,398817,0.079028
1704412800000,2024-01-05 00:00:00,DOGE/USDT,0.08182,0.082894,0.079902,0.080999,14497621.2875,177971394.542,7526628.16339,92392709.396,356388,0.081466
1704326400000,2024-01-04 00:00:00,DOGE/USDT,0.08097,0.081827,0.064614,0.081822,13518511.50364,169026155.384,6951189.36237,86906220.007,357253,0.080004
1704240000000,2024-01-03 00:00:00,DOGE/USDT,0.089232,0.089731,0.076314,0.080961,16714741.75409,196676730.855,8640635.19879,101629635.012,422449,0.08519
1704153600000,2024-01-02 00:00:00,DOGE/USDT,0.087193,0.089331,0.08675,0.089237,8590038.03332,97412151.112,4358258.04992,49424572.439,223314,0.088186
1704067200000,2024-01-01 00:00:00,DOGE/USDT,0.086608,0.087714,0.083838,0.0872,17739753.77688,204667113.561,9077877.94603,104735730.748,460365,0.086677
1703980800000,2023-12-31 00:00:00,DOGE/USDT,0.085589,0.087053,0.083932,0.086608,14331575.47056,167555084.977,7370722.73894,86174027.514,367665,0.085539
1703894400000,2023-12-30 00:00:00,DOGE/USDT,0.087482,0.088,0.0841,0.085564,15361059.41368,177306800.312,7962310.90411,91908243.155,387519,0.086642
1703808000000,2023-12-29 00:00:00,DOGE/USDT,0.08786,0.088,0.086694,0.087474,15776403.66953,180217601.396,8187563.43939,93528284.823,368488,0.087541
1703721600000,2023-12-28 00:00:00,DOGE/USDT,0.090957,0.090957,0.08603,0.08786,8288983.60606,93358657.251,4199721.83886,47306347.011,199278,0.088801
1703635200000,2023-12-27 00:00:00,DOGE/USDT,0.088695,0.090957,0.08627,0.090956,5306291.9086,60072051.18,2648383.95468,29982576.104,120221,0.088348
