https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,DOT/USDT,8.148,8.27,6.97,7.561,8893019.077,1117209.5646,4604880.93,578363.76162,127100,7.965
1704931200000,2024-01-11 00:00:00,DOT/USDT,7.991,8.579,7.861,8.148,11542229.937,1403971.0829,5968324.141,726023.90802,165193,8.223
1704844800000,2024-01-10 00:00:00,DOT/USDT,7.125,8.088,6.797,7.991,8882361.191,1225016.95515,4629414.832,638316.55103,126986,7.262
1704758400000,2024-01-09 00:00:00,DOT/USDT,7.467,7.519,6.906,7.125,9132080.951,1259393.24329,4693987.137,647601.92619,130031,7.254
1704672000000,2024-01-08 00:00:00,DOT/USDT,6.895,7.502,6.516,7.464,8205417.568,1159504.48769,4235453.295,598549.15569,114466,7.085
1704585600000,2024-01-07 00:00:00,DOT/USDT,7.131,7.325,6.812,6.892,7446754.358,1039473.63638,3764377.98,525405.4784,105396,7.165
1704499200000,2024-01-06 00:00:00,DOT/USDT,7.443,7.449,6.948,7.132,8328178.764,1155543.15567,4188631.557,581168.3926,117973,7.208
1704412800000,2024-01-05 00:00:00,DOT/USDT,7.875,7.946,7.191,7.444,8888670.489,1184949.54237,4462891.484,595019.40512,127259,7.505
1704326400000,2024-01-04 00:00:00,DOT/USDT,7.561,7.984,7.414,7.88,7665296.316,995211.0804,3846080.43,499287.49704,108757,7.704
1704240000000,2024-01-03 00:00:00,DOT/USDT,8.248,8.361,6.597,7.561,6783682.502,860886.48074,3383277.644,429269.27435,97230,7.897
1704153600000,2024-01-02 00:00:00,DOT/USDT,8.044,8.398,8.044,8.218,6264856.614,761519.03558,3106598.254,377631.92074,90987,8.227
1704067200000,2024-01-01 00:00:00,DOT/USDT,7.966,8.2,7.804,8.043,8183853.807,1019751.88787,4149698.818,517078.69776,117691,8.025
1703980800000,2023-12-31 00:00:00,DOT/USDT,7.947,8.184,7.777,7.967,6557020.649,813211.82844,3367137.169,417640.50743,93815,8.063
1703894400000,2023-12-30 00:00:00,DOT/USDT,8.012,8.16,7.751,7.962,6519023.942,813067.31744,3280593.575,409167.51918,93841,8.018
1703808000000,2023-12-29 00:00:00,DOT/USDT,7.909,8.334,7.85,8.012,6896196.923,855213.00075,3435498.412,426025.79048,99626,8.064
1703721600000,2023-12-28 00:00:00,DOT/USDT,8.218,8.6,7.9,7.914,6909829.988,840084.10749,3532531.84,429387.83824,99957,8.227
1703635200000,2023-12-27 00:00:00,DOT/USDT,8.527,8.589,8.004,8.218,6021430.737,724928.22079,3025106.902,364229.01476,86645,8.307
1703548800000,2023-12-26 00:00:00,DOT/USDT,8.405,8.691,8.1,8.526,5685084.382,671702.26995,2830127.634,334407.15323,83374,8.467
1703462400000,2023-12-25 00:00:00,DOT/USDT,8.498,8.919,7.751,8.394,5104185.051,598232.35097,2614976.425,306425.51372,73920,8.533
1703376000000,2023-12-24 00:00:00,DOT/USDT,7.676,8.815,7.663,8.494,4862579.805,595043.71985,2445445.141,299231.00712,69584,8.194
1703289600000,2023-12-23 00:00:00,DOT/USDT,7.484,7.759,7.11,7.688,7035671.648,924339.44435,3496938.601,459422.54941,101686,7.612
1703203200000,2023-12-22 00:00:00,DOT/USDT,7.778,7.848,6.9,7.507,5732502.562,753530.65352,2842089.772,373556.33712,82684,7.61
1703116800000,2023-12-21 00:00:00,DOT/USDT,6.401,7.8,6.299,7.799,5247127.882,782952.66176,2609261.68,389158.79348,73678,6.719
1703030400000,2023-12-20 00:00:00,DOT/USDT,6.415,6.636,6.269,6.4,7647536.19,1183766.84162,3787265.352,586207.60488,109788,6.461
1702944000000,2023-12-19 00:00:00,DOT/USDT,6.462,6.75,6.354,6.414,7334107.867,1120479.69489,3649232.082,557492.143,105727,6.546
1702857600000,2023-12-18 00:00:00,DOT/USDT,6.577,6.615,6.242,6.464,7364235.856,1138624.06235,3664662.067,566617.22121,105554,6.468
1702771200000,2023-12-17 00:00:00,DOT/USDT,6.92,7.055,6.446,6.575,6887344.366,1011023.34614,3421123.086,502190.9254,99565,6.815
1702684800000,2023-12-16 00:00:00,DOT/USDT,6.329,6.92,6.195,6.919,6141568.118,942062.57406,3079135.83,472231.63985,89066,6.52
1702598400000,2023-12-15 00:00:00,DOT/USDT,6.557,6.812,6.251,6.326,7279582.296,1096759.81471,3666821.508,552470.97512,105476,6.638
1702512000000,2023-12-14 00:00:00,DOT/USDT,6.854,7.004,6.16,6.557,5989609.325,864561.71061,2994131.66,432176.55542,85650,6.928
1702425600000,2023-12-13 00:00:00,DOT/USDT,6.423,7.05,6,6.854,5206887.374,798806.31961,2618233.308,401722.72733,75667,6.53
1702339200000,2023-12-12 00:00:00,DOT/USDT,6.069,7.052,6.029,6.425,5826336.948,870023.72665,2950032.719,440578.22887,84900,6.702
1702252800000,2023-12-11 00:00:00,DOT/USDT,6.729,6.761,5.7,6.074,6978598.965,1089486.3662,3456464.739,539484.61683,101716,6.409
1702166400000,2023-12-10 00:00:00,DOT/USDT,6.741,6.962,6.601,6.733,6548896.946,958760.02198,3266116.737,478130.78291,94830,6.831
1702080000000,2023-12-09 00:00:00,DOT/USDT,6.202,7.148,6.2,6.737,6614493.94,974207.06449,3305449.539,486881.98738,95228,6.797
1701993600000,2023-12-08 00:00:00,DOT/USDT,5.633,6.636,5.633,6.203,5114735.908,840688.8133,2536392.598,416978.22564,74082,6.091
1701907200000,2023-12-07 00:00:00,DOT/USDT,5.452,5.65,5.4,5.632,7656298.265,1378853.50938,3789987.837,682548.58048,110927,5.553
1701820800000,2023-12-06 00:00:00,DOT/USDT,5.521,5.614,5.21,5.452,7010517.598,1277755.41467,3516644.307,640918.37611,102096,5.486
1701734400000,2023-12-05 00:00:00,DOT/USDT,5.43,5.589,5.304,5.565,6957581.633,1283072.16641,3457940.799,637676.69918,100690,5.423
1701648000000,2023-12-04 00:00:00,DOT/USDT,5.4,5.538,5.286,5.433,7008699.556,1295509.30671,3485339.926,644222.64927,100744,5.41
1701561600000,2023-12-03 00:00:00,DOT/USDT,5.223,5.43,5.201,5.404,6795716.135,1277679.53054,3396344.954,638533.14333,98611,5.319
1701475200000,2023-12-02 00:00:00,DOT/USDT,5.338,5.349,4.942,5.223,5869594.174,1109460.65343,2937257.184,555179.37873,87756,5.29
1701388800000,2023-12-01 00:00:00,DOT/USDT,5.381,5.411,5.28,5.338,5910452.778,1107639.68172,2950265.558,552878.75891,85162,5.336
1701302400000,2023-11-30 00:00:00,DOT/USDT,5.076,5.48,4.552,5.381,6645762.694,1297375.40213,3302188.284,644470.31816,95759,5.127
1701216000000,2023-11-29 00:00:00,DOT/USDT,5.241,5.366,5.069,5.077,7419222.906,1431884.87778,3703798.202,714797.19834,107194,5.182
1701129600000,2023-11-28 00:00:00,DOT/USDT,5.123,5.254,5.091,5.239,6854147.552,1326043.4409,3425147.491,662613.39846,98035,5.169
1701043200000,2023-11-27 00:00:00,DOT/USDT,5.328,5.384,4.993,5.123,6370396.177,1222197.8378,3155739.543,605128.57522,89798,5.214
1700956800000,2023-11-26 00:00:00,DOT/USDT,5.292,5.38,5.18,5.33,5014155.233,944712.78167,2500205.699,471038.19389,71914,5.307
1700870400000,2023-11-25 00:00:00,DOT/USDT,5.2,5.308,5.176,5.294,6638939.954,1264554.15938,3334717.095,635214.70401,94844,5.25
1700784000000,2023-11-24 00:00:00,DOT/USDT,5.138,5.25,5.119,5.202,5867798.306,1132246.65612,2947453.24,568744.19782,84360,5.182
1700697600000,2023-11-23 00:00:00,DOT/USDT,5.16,5.21,5.087,5.136,6273349.404,1217220.54329,3130308.739,607357.31546,90080,5.153
1700611200000,2023-11-22 00:00:00,DOT/USDT,4.858,5.255,4.845,5.163,5943578.601,1167154.56447,2970320.03,583360.35009,83640,5.093
1700524800000,2023-11-21 00:00:00,DOT/USDT,5.302,5.4,4.817,4.863,6484160.414,1261887.82975,3350296.47,652661.7076,90329,5.141
1700438400000,2023-11-20 00:00:00,DOT/USDT,5.431,5.568,5.259,5.3,5304824.057,980804.28758,2643060.3,488683.04374,75920,5.409
1700352000000,2023-11-19 00:00:00,DOT/USDT,5.289,5.478,5.182,5.431,4354039.775,821141.54862,2183568.775,411862.26592,61605,5.303
1700265600000,2023-11-18 00:00:00,DOT/USDT,5.246,5.293,4.99,5.29,6611644.768,1278034.99672,3314082.619,640631.74678,94086,5.174
1700179200000,2023-11-17 00:00:00,DOT/USDT,5.336,5.446,5.049,5.243,8182336.233,1545307.78994,4053808.982,765574.02646,115284,5.296
1700092800000,2023-11-16 00:00:00,DOT/USDT,5.528,5.75,5.259,5.337,8655621.436,1567203.47847,4317694.195,781778.00023,98579,5.525
1700006400000,2023-11-15 00:00:00,DOT/USDT,5.195,5.6,5.182,5.527,6487382.12,1211159.02497,3255264.412,607573.75496,93280,5.358
1699920000000,2023-11-14 00:00:00,DOT/USDT,5.329,5.484,5,5.198,7412878.687,1392711.43895,3709106.896,696734.47789,107731,5.324
1699833600000,2023-11-13 00:00:00,DOT/USDT,5.702,5.82,5.33,5.331,4327176.476,768099.55837,2150467.219,381720.70089,63503,5.634
1699747200000,2023-11-12 00:00:00,DOT/USDT,5.555,6,5,5.702,7210533.914,1274851.31336,3606909.232,637707.41587,103456,5.657
1699660800000,2023-11-11 00:00:00,DOT/USDT,5.297,5.674,5.099,5.557,6849539.574,1275127.23748,3406443.814,634200.63521,98282,5.375
1699574400000,2023-11-10 00:00:00,DOT/USDT,5.089,5.311,4.991,5.298,6721458.058,1309647.61139,3361032.934,654969.33657,95201,5.133
1699488000000,2023-11-09 00:00:00,DOT/USDT,5.029,5.264,4.6,5.088,5804114.001,1152192.50608,2875150.985,570653.71744,82058,5.04
1699401600000,2023-11-08 00:00:00,DOT/USDT,4.926,5.083,4.86,5.029,3574031.586,718590.64753,1779980.789,357887.41566,50459,4.974
1699315200000,2023-11-07 00:00:00,DOT/USDT,4.966,5.006,4.718,4.927,3948625.202,805186.10889,1913494.101,390224.55933,56476,4.904
1699228800000,2023-11-06 00:00:00,DOT/USDT,4.764,4.988,4.679,4.967,3530422.127,729183.21621,1649052.605,340565.56058,50544,4.842
1699142400000,2023-11-05 00:00:00,DOT/USDT,4.682,4.907,4.656,4.762,2913242.352,609826.46061,1370181.297,286808.20407,41024,4.777
1699056000000,2023-11-04 00:00:00,DOT/USDT,4.611,4.776,4.584,4.683,2972813.414,639233.71791,1416491.111,304598.13881,41766,4.65
1698969600000,2023-11-03 00:00:00,DOT/USDT,4.631,4.644,4.459,4.611,4801234.426,1054675.32697,2221265.369,487913.54786,68952,4.552
1698883200000,2023-11-02 00:00:00,DOT/USDT,4.728,4.795,4.519,4.633,4987206.06,1069774.1936,2365087.112,507273.51218,72230,4.662
1698796800000,2023-11-01 00:00:00,DOT/USDT,4.448,4.798,4.324,4.731,3883900.221,869561.12098,1910470.6,427661.70167,55123,4.47
1698710400000,2023-10-31 00:00:00,DOT/USDT,4.523,4.599,4.28,4.448,6497898.109,1462862.41108,3163303.642,712195.46,93355,4.442
1698624000000,2023-10-30 00:00:00,DOT/USDT,4.316,4.531,4.266,4.523,1033642.493,236458.69813,510867.105,116833.59041,13472,4.372
1698537600000,2023-10-29 00:00:00,DOT/USDT,4.18,4.355,4.126,4.313,968395.773,229159.14981,474259.003,112218.23306,12999,4.226
1698451200000,2023-10-28 00:00:00,DOT/USDT,4.133,4.223,4.128,4.179,1311760.603,314059.56387,646975.732,154894.99467,18493,4.176
1698364800000,2023-10-27 00:00:00,DOT/USDT,4.232,4.234,4.042,4.134,1593700.619,384227.24338,794533.5,191548.7249,21926,4.148
1698278400000,2023-10-26 00:00:00,DOT/USDT,4.291,4.448,4.157,4.233,1694700.559,395620.21178,846181.911,197521.3624,23860,4.284
1698192000000,2023-10-25 00:00:00,DOT/USDT,4.186,4.353,4.143,4.289,1735547.597,408595.45775,853386.498,200903.60378,24442,4.248
1698105600000,2023-10-24 00:00:00,DOT/USDT,4.338,4.42,4.101,4.186,1941615.064,455519.78469,1041592.28,244220.52083,24858,4.263
1698019200000,2023-10-23 00:00:00,DOT/USDT,3.968,4.355,3.918,4.338,1661420.058,406933.66058,845437.668,206783.0221,22025,4.085
1697932800000,2023-10-22 00:00:00,DOT/USDT,3.908,3.969,3.812,3.968,1046609.507,270124.64684,508949.38,131354.48678,14677,3.874
1697846400000,2023-10-21 00:00:00,DOT/USDT,3.718,3.979,3.705,3.908,1095860.316,288802.64516,547721.045,144411.33886,15304,3.796
1697760000000,2023-10-20 00:00:00,DOT/USDT,3.645,3.801,3.636,3.718,1543297.915,414771.07439,769716.476,206886.46469,22429,3.721
1697673600000,2023-10-19 00:00:00,DOT/USDT,3.651,3.66,3.582,3.645,1275725.01,351622.90323,624197.156,172032.19891,19924,3.628
1697587200000,2023-10-18 00:00:00,DOT/USDT,3.668,3.722,3.634,3.652,1318736.725,359239.59584,669397.418,182359.87311,20553,3.67
1697500800000,2023-10-17 00:00:00,DOT/USDT,3.775,3.779,3.645,3.67,1820531.513,489198.2085,897546.71,241158.94058,27793,3.721
1697414400000,2023-10-16 00:00:00,DOT/USDT,3.752,3.892,3.736,3.777,1557067.092,411869.95639,764938.12,202356.97741,23263,3.78
1697328000000,2023-10-15 00:00:00,DOT/USDT,3.735,3.776,3.706,3.753,745186.096,199013.89619,374905.446,100122.92116,10785,3.744
1697241600000,2023-10-14 00:00:00,DOT/USDT,3.721,3.762,3.717,3.735,868631.372,232514.72792,435420.18,116551.28992,13667,3.735
1697155200000,2023-10-13 00:00:00,DOT/USDT,3.676,3.769,3.667,3.721,1048657.489,283810.18401,509300.162,137818.19318,16301,3.695
1697068800000,2023-10-12 00:00:00,DOT/USDT,3.739,3.74,3.631,3.677,1173281.969,318299.25652,592152.401,160632.9782,17956,3.686
1696982400000,2023-10-11 00:00:00,DOT/USDT,3.811,3.823,3.701,3.739,1327202.508,353696.71072,657674.558,175278.39079,20745,3.752
1696896000000,2023-10-10 00:00:00,DOT/USDT,3.88,3.896,3.774,3.81,1540363.497,402215.1998,770535.691,201211.50055,23437,3.829
1696809600000,2023-10-09 00:00:00,DOT/USDT,4.008,4.03,3.762,3.879,1962989.748,501636.98796,966105.398,246840.73678,29763,3.914
1696723200000,2023-10-08 00:00:00,DOT/USDT,4.05,4.071,4.001,4.009,2033408.171,504847.46506,1024509.579,254350.27412,30634,4.027
1696636800000,2023-10-07 00:00:00,DOT/USDT,4.069,4.111,4.043,4.05,2426875.476,595291.42822,1229163.518,301494.25819,35666,4.076
1696550400000,2023-10-06 00:00:00,DOT/USDT,4.021,4.094,3.997,4.068,3013823.901,743621.30224,1542085.423,380486.38367,44200,4.052
1696464000000,2023-10-05 00:00:00,DOT/USDT,4.04,4.082,3.994,4.021,2686778.297,665814.51328,1322584.442,327749.67921,39449,4.035
1696377600000,2023-10-04 00:00:00,DOT/USDT,4.075,4.075,3.968,4.04,3018289.678,749216.20091,1516568.8,376444.03758,44564,4.028
1696291200000,2023-10-03 00:00:00,DOT/USDT,4.115,4.146,4.051,4.075,3249616.427,791452.94155,1727808.776,420714.54677,44257,4.106
1696204800000,2023-10-02 00:00:00,DOT/USDT,4.252,4.294,4.071,4.115,1828312.68,434721.12954,1120816.9,266106.17385,20802,4.206
1696118400000,2023-10-01 00:00:00,DOT/USDT,4.088,4.275,4.084,4.252,1291532.498,310729.06095,972509.344,234039.36452,10642,4.157
1696032000000,2023-09-30 00:00:00,DOT/USDT,4.054,4.103,4.051,4.088,1270368.48,311988.30024,995973.898,244582.44132,10085,4.071
1695945600000,2023-09-29 00:00:00,DOT/USDT,4.054,4.112,4.038,4.056,1537894.286,378137.4336,1040487.423,255846.80644,15347,4.067
1695859200000,2023-09-28 00:00:00,DOT/USDT,3.988,4.094,3.977,4.054,1613216.076,400309.84364,1039051.214,257636.19063,17313,4.03
1695772800000,2023-09-27 00:00:00,DOT/USDT,4.008,4.064,3.966,3.99,1175933.483,293621.66373,651599.409,162585.54284,14467,4.005
1695686400000,2023-09-26 00:00:00,DOT/USDT,4.045,4.08,3.974,4.008,864609.973,214896.82672,486156.237,120743.77526,9615,4.023
1695600000000,2023-09-25 00:00:00,DOT/USDT,3.987,4.078,3.954,4.047,1007032.057,249771.34628,649170.923,160946.27027,9239,4.031
1695513600000,2023-09-24 00:00:00,DOT/USDT,4.034,4.056,3.976,3.99,594224.117,147600.58287,326399.482,81055.97979,4966,4.025
1695427200000,2023-09-23 00:00:00,DOT/USDT,4.019,4.037,3.997,4.034,639487.346,159210.91002,379825.588,94561.99048,6215,4.016
1695340800000,2023-09-22 00:00:00,DOT/USDT,4.012,4.036,3.977,4.017,763842.414,190118.85338,395838.789,98521.46008,9808,4.017
1695254400000,2023-09-21 00:00:00,DOT/USDT,4.14,4.166,4.001,4.012,995502.328,244502.50927,467849.329,114937.78511,13048,4.072
1695168000000,2023-09-20 00:00:00,DOT/USDT,4.153,4.168,4.077,4.139,981211.308,238114.77068,491155.652,119195.82253,12415,4.12
1695081600000,2023-09-19 00:00:00,DOT/USDT,4.106,4.166,4.078,4.152,1148689.918,278638.89522,589313.703,142944.02802,15103,4.122
1694995200000,2023-09-18 00:00:00,DOT/USDT,4.072,4.218,4.021,4.106,1263743.595,305667.68772,543456.798,131351.81725,13132,4.134
1694908800000,2023-09-17 00:00:00,DOT/USDT,4.185,4.186,4.047,4.071,949713.876,230732.01334,446386.859,108427.34256,9631,4.116
1694822400000,2023-09-16 00:00:00,DOT/USDT,4.138,4.225,4.136,4.184,890209.602,213192.34768,394957.425,94633.58328,11572,4.175
1694736000000,2023-09-15 00:00:00,DOT/USDT,4.057,4.17,4.047,4.139,1058568.204,258257.63573,464503.606,113420.39053,11315,4.099
1694649600000,2023-09-14 00:00:00,DOT/USDT,3.998,4.086,3.973,4.058,1042294.354,258483.43097,545936.459,135392.28377,13969,4.032
1694563200000,2023-09-13 00:00:00,DOT/USDT,3.986,4.095,3.951,3.998,1139414.11,284667.97373,577886.648,144378.52396,16569,4.002
1694476800000,2023-09-12 00:00:00,DOT/USDT,3.987,4.092,3.957,3.988,1581219.211,394605.52108,794007.536,198176.4113,22906,4.007
1694390400000,2023-09-11 00:00:00,DOT/USDT,4.148,4.154,3.909,3.988,1385848.502,343764.47018,648633.516,161006.44096,19400,4.032
1694304000000,2023-09-10 00:00:00,DOT/USDT,4.236,4.238,4.108,4.149,995792.863,239040.54713,478301.679,114852.20703,13288,4.165
1694217600000,2023-09-09 00:00:00,DOT/USDT,4.252,4.278,4.236,4.237,1133631.076,266312.85496,601925.345,141401.36465,16357,4.256
1694131200000,2023-09-08 00:00:00,DOT/USDT,4.293,4.332,4.207,4.253,1690128.079,396513.43179,841878.738,197503.30366,24738,4.262
1694044800000,2023-09-07 00:00:00,DOT/USDT,4.275,4.305,4.234,4.293,1468331.221,344346.98956,723696.854,169725.96259,21163,4.264
1693958400000,2023-09-06 00:00:00,DOT/USDT,4.258,4.285,4.183,4.273,1546179.51,364327.11087,754490.092,177770.63859,22315,4.243
1693872000000,2023-09-05 00:00:00,DOT/USDT,4.261,4.304,4.201,4.258,1965025.183,461699.38035,1021761.474,240048.02777,27976,4.256
1693785600000,2023-09-04 00:00:00,DOT/USDT,4.257,4.317,4.193,4.261,3056210.235,716862.39009,1546656.241,362795.59242,43569,4.263
1693699200000,2023-09-03 00:00:00,DOT/USDT,4.261,4.298,4.229,4.257,2609974.481,611243.16678,1319697.162,309074.11743,38775,4.269
1693612800000,2023-09-02 00:00:00,DOT/USDT,4.217,4.272,4.203,4.262,4351846.143,1027324.58674,2155332.608,508792.1261,62794,4.236
1693526400000,2023-09-01 00:00:00,DOT/USDT,4.269,4.293,4.139,4.217,6286525.571,1480409.34632,3147607.159,741199.25442,90414,4.246
1693440000000,2023-08-31 00:00:00,DOT/USDT,4.533,4.534,4.238,4.269,6969402.921,1579592.86467,3467406.142,786006.92813,101475,4.414
1693353600000,2023-08-30 00:00:00,DOT/USDT,4.678,4.681,4.521,4.534,7357589.996,1608592.46717,3668687.274,802102.23475,106145,4.574
1693267200000,2023-08-29 00:00:00,DOT/USDT,4.609,4.794,4.538,4.677,4072950.374,879592.17227,2032973.484,439072.38289,60638,4.631
1693180800000,2023-08-28 00:00:00,DOT/USDT,4.489,4.621,4.419,4.61,4874399.588,1081487.61005,2422431.772,537493.9049,72783,4.507
1693094400000,2023-08-27 00:00:00,DOT/USDT,4.506,4.538,4.462,4.489,7234963.064,1604946.56834,3651360.457,809999.06514,104370,4.507
1693008000000,2023-08-26 00:00:00,DOT/USDT,4.49,4.513,4.476,4.506,7780682.43,1730198.41885,3885210.721,863955.46784,110796,4.497
1692921600000,2023-08-25 00:00:00,DOT/USDT,4.424,4.496,4.357,4.493,7874288.706,1773622.87751,3867440.971,871116.53474,111719,4.439
1692835200000,2023-08-24 00:00:00,DOT/USDT,4.489,4.516,4.368,4.424,7959805.803,1786979.46134,3986851.451,895026.92191,112998,4.454
1692748800000,2023-08-23 00:00:00,DOT/USDT,4.423,4.537,4.377,4.49,7665683.183,1725957.38091,3837190.812,863919.34182,109454,4.441
1692662400000,2023-08-22 00:00:00,DOT/USDT,4.433,4.45,4.252,4.423,8179227.424,1862782.47634,4091836.521,931894.28625,115745,4.391
1692576000000,2023-08-21 00:00:00,DOT/USDT,4.52,4.539,4.36,4.432,8862499.997,1982649.4196,4432100.21,991492.14507,125443,4.47
1692489600000,2023-08-20 00:00:00,DOT/USDT,4.518,4.533,4.47,4.521,13733302.539,3051326.14813,6846384.79,1521159.83796,193086,4.5
1692403200000,2023-08-19 00:00:00,DOT/USDT,4.509,4.548,4.452,4.518,9313585.713,2067493.58095,4660410.848,1034554.24069,132372,4.504
1692316800000,2023-08-18 00:00:00,DOT/USDT,4.429,4.561,4.363,4.51,6478518.516,1442218.22503,3214354.44,715557.9427,116777,4.492
1692230400000,2023-08-17 00:00:00,DOT/USDT,4.672,4.824,4.313,4.43,3600886.175,768233.38701,1794626.144,382718.69551,98043,4.69
1692144000000,2023-08-16 00:00:00,DOT/USDT,4.818,4.841,4.541,4.672,2423807.022,510065.40647,1211894.821,254986.39925,64799,4.752
1692057600000,2023-08-15 00:00:00,DOT/USDT,4.989,5,4.674,4.817,3220234.647,652029.24272,1593416.216,322609.81205,65706,4.939
1691971200000,2023-08-14 00:00:00,DOT/USDT,4.987,5.049,4.954,4.99,7380107.003,1475726.14819,3670613.935,733975.41693,104314,5.001
1691884800000,2023-08-13 00:00:00,DOT/USDT,5.04,5.046,4.97,4.987,10102467.016,2009142.20564,5039879.515,1002307.59077,142912,5.028
1691798400000,2023-08-12 00:00:00,DOT/USDT,5.007,5.046,5,5.04,8638506.531,1720448.55488,4305106.174,857419.57521,122082,5.021
1691712000000,2023-08-11 00:00:00,DOT/USDT,5.004,5.021,4.958,5.01,8581911.696,1716864.76167,4245695.219,849379.81994,122420,4.998
1691625600000,2023-08-10 00:00:00,DOT/USDT,5.058,5.066,4.977,5.004,9516424.461,1894631.80046,4730285.804,941746.51251,136800,5.022
1691539200000,2023-08-09 00:00:00,DOT/USDT,5.06,5.108,5.003,5.059,6305098.969,1248602.28259,3118006.427,617449.99821,92585,5.049
1691452800000,2023-08-08 00:00:00,DOT/USDT,4.971,5.096,4.934,5.06,10133093.122,2026021.99562,5050437.431,1009830.31098,147121,5.001
1691366400000,2023-08-07 00:00:00,DOT/USDT,5.007,5.047,4.838,4.97,8523352.062,1710297.70606,4219888.369,846760.17363,114801,4.983
1691280000000,2023-08-06 00:00:00,DOT/USDT,4.972,5.043,4.959,5.005,7933456.845,1587285.94118,3964257.807,793150.7636,67546,4.998
1691193600000,2023-08-05 00:00:00,DOT/USDT,4.993,4.995,4.929,4.971,8712488.534,1756646.42136,4322430.082,871493.421,85574,4.959
1691107200000,2023-08-04 00:00:00,DOT/USDT,4.982,5.044,4.938,4.994,7723886.146,1546006.88451,3858846.611,772381.38192,95003,4.996
1691020800000,2023-08-03 00:00:00,DOT/USDT,5.058,5.078,4.939,4.983,17510083.003,3487978.51174,8719542.675,1736916.90704,131850,5.02
1690934400000,2023-08-02 00:00:00,DOT/USDT,5.199,5.218,5.023,5.059,5580243.42,1090124.46038,2788954.606,544846.40051,81554,5.119
1690848000000,2023-08-01 00:00:00,DOT/USDT,5.108,5.202,4.988,5.197,2474657.615,483892.65904,1259403.518,246316.22285,35439,5.114
1690761600000,2023-07-31 00:00:00,DOT/USDT,5.181,5.256,5.058,5.11,904754.703,176126.84584,479263.143,93292.86901,15754,5.137
1690675200000,2023-07-30 00:00:00,DOT/USDT,5.247,5.274,5.101,5.183,217605.469,41660.85204,106332.949,20355.30153,19470,5.223
1690588800000,2023-07-29 00:00:00,DOT/USDT,5.217,5.258,5.204,5.249,215618.789,41164.04398,107378.815,20499.79588,17365,5.238
1690502400000,2023-07-28 00:00:00,DOT/USDT,5.233,5.274,5.16,5.218,250036.83,47915.59071,123451.477,23657.52642,20000,5.218
1690416000000,2023-07-27 00:00:00,DOT/USDT,5.236,5.329,5.181,5.232,259567.89,49384.21516,130111.398,24753.27535,20445,5.256
1690329600000,2023-07-26 00:00:00,DOT/USDT,5.175,5.293,5.119,5.238,268902.92,51710.48188,135794.404,26112.1253,21313,5.2
1690243200000,2023-07-25 00:00:00,DOT/USDT,5.207,5.254,5.131,5.174,247422.067,47732.88745,124250.917,23969.93954,19048,5.183
1690156800000,2023-07-24 00:00:00,DOT/USDT,5.392,5.416,5.121,5.208,139842.354,26635.3843,70424.367,13415.06247,8333,5.251
