https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,FIL/USDT,5.9,6.158,5.352,5.67,6778038.395,1155139.3587,3658623.86,623518.04396,99206,5.871
1704931200000,2024-01-11 00:00:00,FIL/USDT,5.909,6.333,5.541,5.9,5435200.097,904108.60216,2939709.109,488881.62888,78425,6.014
1704844800000,2024-01-10 00:00:00,FIL/USDT,5.473,6.056,5.244,5.916,8195523.186,1477768.6603,4425803.236,797938.15068,117557,5.549
1704758400000,2024-01-09 00:00:00,FIL/USDT,5.82,5.859,5.206,5.442,9212162.941,1660221.60797,4921556.405,887161.87341,131269,5.555
1704672000000,2024-01-08 00:00:00,FIL/USDT,5.576,5.852,5.027,5.823,8163685.052,1487439.07057,4330314.466,789171.22464,116999,5.494
1704585600000,2024-01-07 00:00:00,FIL/USDT,5.851,6.066,5.437,5.507,6294212.417,1074265.90844,3376983.707,576219.55691,89722,5.861
1704499200000,2024-01-06 00:00:00,FIL/USDT,6.027,6.146,5.661,5.85,6706865.096,1137102.31117,3637459.071,616685.87331,94794,5.899
1704412800000,2024-01-05 00:00:00,FIL/USDT,6.43,6.451,5.74,5.994,8277577.677,1369997.25276,4494610.139,743806.8671,118225,6.046
1704326400000,2024-01-04 00:00:00,FIL/USDT,6.222,6.549,6.063,6.432,4452232.034,701387.41824,2372236.416,373762.28448,63083,6.349
1704240000000,2024-01-03 00:00:00,FIL/USDT,7.088,7.549,5.739,6.222,5049039.454,754285.70497,2694293.503,402437.00427,71511,6.737
1704153600000,2024-01-02 00:00:00,FIL/USDT,7.419,7.47,7.018,7.087,3004551.1,416669.18581,1585535.421,219902.33618,42659,7.212
1704067200000,2024-01-01 00:00:00,FIL/USDT,6.856,7.47,6.651,7.419,2134864.566,310957.24429,1140646.412,166154.6075,30438,6.869
1703980800000,2023-12-31 00:00:00,FIL/USDT,5.899,7.199,5.878,6.849,1602153.613,234102.12858,851526.939,124445.05661,22937,6.858
1703894400000,2023-12-30 00:00:00,FIL/USDT,5.782,5.953,5.711,5.899,6697494.716,1146265.06333,3601025.436,616275.69804,94791,5.843
1703808000000,2023-12-29 00:00:00,FIL/USDT,6.198,6.199,5.671,5.777,8077241.644,1359551.68133,4379759.408,737119.74285,115747,5.943
1703721600000,2023-12-28 00:00:00,FIL/USDT,5.835,6.2,5.731,6.2,3871730.816,653985.45547,2052034.226,346511.85907,54237,5.921
1703635200000,2023-12-27 00:00:00,FIL/USDT,5.544,5.847,5.444,5.836,792994.783,143821.06286,420742.503,76308.77101,11251,5.514
1703548800000,2023-12-26 00:00:00,FIL/USDT,5.715,5.715,5.274,5.545,5208887.004,937340.07356,2715722.613,488682.61679,74811,5.558
1703462400000,2023-12-25 00:00:00,FIL/USDT,5.503,5.741,5.503,5.714,4998642.541,885780.30366,2599873.926,460710.06956,71076,5.643
1703376000000,2023-12-24 00:00:00,FIL/USDT,5.577,5.629,5.366,5.503,4811504.947,871220.1798,2537579.595,459464.44663,68478,5.523
1703289600000,2023-12-23 00:00:00,FIL/USDT,5.388,5.579,5.245,5.579,2904979.285,544102.53965,1516102.978,283953.32447,42066,5.339
1703203200000,2023-12-22 00:00:00,FIL/USDT,5.387,5.525,5.387,5.388,711429.866,129803.36433,375910.737,68582.5793,10372,5.48
1703116800000,2023-12-21 00:00:00,FIL/USDT,5.232,5.423,5.228,5.385,6223255.121,1167070.36923,3240351.551,607668.46625,88833,5.332
1703030400000,2023-12-20 00:00:00,FIL/USDT,5.089,5.233,5.055,5.231,1674926.033,327387.53064,877584.003,171554.82999,23966,5.116
1702944000000,2023-12-19 00:00:00,FIL/USDT,5.262,5.42,5.04,5.088,8679873.871,1663190.14713,4567994.712,875405.45553,123807,5.221
1702857600000,2023-12-18 00:00:00,FIL/USDT,5.256,5.282,4.865,5.263,5014890.732,985873.14566,2645933.464,520178.41919,72121,5.087
1702771200000,2023-12-17 00:00:00,FIL/USDT,5.676,5.728,5.233,5.256,7567206.804,1356428.40617,3971292.324,711823.93122,107547,5.58
1702684800000,2023-12-16 00:00:00,FIL/USDT,4.781,6.095,4.7,5.671,7491524.33,1404092.52639,3930817.026,736621.35906,107545,5.357
1702598400000,2023-12-15 00:00:00,FIL/USDT,4.85,4.954,4.654,4.782,8944752.099,1869375.90678,4772336.983,997401.02075,115025,4.785
1702512000000,2023-12-14 00:00:00,FIL/USDT,4.728,4.868,4.59,4.851,16114899.284,3398877.45788,8873102.15,1871339.09105,111653,4.741
1702425600000,2023-12-13 00:00:00,FIL/USDT,4.648,4.769,4.448,4.727,19337527.413,4220223.049,10356366.016,2259903.89091,134877,4.583
1702339200000,2023-12-12 00:00:00,FIL/USDT,4.62,4.765,4.507,4.646,19055419.971,4082689.20989,10512775.918,2252125.03833,132816,4.668
1702252800000,2023-12-11 00:00:00,FIL/USDT,5.154,5.196,4.415,4.62,18235164.064,3862080.26254,10114935.044,2141728.40934,128162,4.726
1702166400000,2023-12-10 00:00:00,FIL/USDT,5.134,5.231,5.024,5.154,17704555.439,3459005.76641,9587513.101,1873325.31181,122912,5.119
1702080000000,2023-12-09 00:00:00,FIL/USDT,5.228,5.488,5.105,5.133,16944028.33,3172655.94002,8916887.572,1669580.66727,118191,5.341
1701993600000,2023-12-08 00:00:00,FIL/USDT,5.041,5.273,4.949,5.232,17575911.51,3452935.84,9184942.168,1804564.10958,122246,5.092
1701907200000,2023-12-07 00:00:00,FIL/USDT,4.682,5.069,4.681,5.043,17032675.897,3459846.6998,8960382.663,1820236.64964,118188,4.924
1701820800000,2023-12-06 00:00:00,FIL/USDT,4.647,4.788,4.628,4.682,17129537.79,3647540.21281,8942933.03,1904313.37909,120592,4.696
1701734400000,2023-12-05 00:00:00,FIL/USDT,4.713,4.763,4.486,4.652,19065362.145,4090322.38527,9951113.557,2134867.36642,133362,4.661
1701648000000,2023-12-04 00:00:00,FIL/USDT,4.547,4.79,4.5,4.714,18195106.761,3909434.9506,9517520.85,2045075.40634,128441,4.654
1701561600000,2023-12-03 00:00:00,FIL/USDT,4.6,4.686,4.367,4.553,17323415.233,3779744.95869,9477113.346,2067733.76094,122411,4.583
1701475200000,2023-12-02 00:00:00,FIL/USDT,4.467,4.7,4.426,4.605,14805041.927,3245954.24302,8020090.266,1758357.60189,105049,4.561
1701388800000,2023-12-01 00:00:00,FIL/USDT,4.373,4.533,4.307,4.472,15082165.135,3387299.16301,7955416.84,1786796.10163,108086,4.452
