https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,GALA/USDT,0.02645,0.02985,0.02301,0.02668,602.35486,23252.989,478.4204,18040.802,34,0.02597
1704931200000,2024-01-11 00:00:00,GALA/USDT,0.02714,0.0296,0.02536,0.02795,3179.32968,108521.967,2480.68462,84692.478,41,0.02931
1704844800000,2024-01-10 00:00:00,GALA/USDT,0.03065,0.032,0.0225,0.0275,678.2023,26367.347,215.57373,7703.854,81,0.02593
1704758400000,2024-01-09 00:00:00,GALA/USDT,0.03108,0.03798,0.03,0.03065,512.06195,17013.371,115.48204,3835.773,29,0.0301
1704672000000,2024-01-08 00:00:00,GALA/USDT,0.02716,0.038,0.02698,0.03799,969.0107,30166.727,707.34897,22029.816,46,0.03237
1704585600000,2024-01-07 00:00:00,GALA/USDT,0.02717,0.02717,0.02716,0.02716,20.78469,765.237,0,0,2,0.02716
1704499200000,2024-01-06 00:00:00,GALA/USDT,0.02717,0.02717,0.02717,0.02717,7.66962,282.283,0,0,1,0.02717
1704412800000,2024-01-05 00:00:00,GALA/USDT,0.02728,0.02728,0.02726,0.02726,95.08793,3486.343,49.22841,1804.624,9,0.02727
1704326400000,2024-01-04 00:00:00,GALA/USDT,0.02727,0.02898,0.02727,0.02898,74.58737,2645.704,48.69231,1696.258,9,0.02821
1704240000000,2024-01-03 00:00:00,GALA/USDT,0.03193,0.03194,0.02726,0.02727,257.85278,8679.426,208.3382,7097.017,35,0.02984
1704153600000,2024-01-02 00:00:00,GALA/USDT,0.02908,0.03222,0.02908,0.03193,78.99161,2637.373,64.45161,2137.373,7,0.02997
1704067200000,2024-01-01 00:00:00,GALA/USDT,0.02985,0.03029,0.02716,0.02967,667.30311,23921.296,38.13264,1285.588,22,0.02793
1703980800000,2023-12-31 00:00:00,GALA/USDT,0.03012,0.0337,0.03,0.03031,687.87758,21965.411,594.48533,18875.68,14,0.03136
1703894400000,2023-12-30 00:00:00,GALA/USDT,0.03031,0.03189,0.02866,0.02981,308.61837,10304.431,76.44477,2492.945,16,0.02996
1703808000000,2023-12-29 00:00:00,GALA/USDT,0.03008,0.03337,0.03008,0.03008,145.02092,4794.601,5.3176,166.57,10,0.03025
1703721600000,2023-12-28 00:00:00,GALA/USDT,0.03244,0.03499,0.03008,0.03008,952.80598,30549.964,336.66685,10286.974,57,0.03128
1703635200000,2023-12-27 00:00:00,GALA/USDT,0.0319,0.0337,0.03149,0.03243,332.63296,10276.142,226.28487,6970.137,15,0.03237
1703548800000,2023-12-26 00:00:00,GALA/USDT,0.03385,0.03484,0.03105,0.03166,938.25483,29100.628,533.75727,16613.194,75,0.03225
1703462400000,2023-12-25 00:00:00,GALA/USDT,0.03003,0.03383,0.03003,0.03383,937.96828,29189.68,471.76503,14355.559,48,0.03218
1703376000000,2023-12-24 00:00:00,GALA/USDT,0.03048,0.03234,0.03008,0.03008,147.58769,4711.757,104.25867,3291.829,14,0.03134
1703289600000,2023-12-23 00:00:00,GALA/USDT,0.02958,0.03099,0.02958,0.03048,228.54362,7534.179,227.47682,7499.179,8,0.03034
1703203200000,2023-12-22 00:00:00,GALA/USDT,0.03002,0.03002,0.02717,0.02913,258.04699,8852.512,68.09921,2270.387,12,0.02917
1703116800000,2023-12-21 00:00:00,GALA/USDT,0.02988,0.03002,0.02905,0.03002,297.44561,10028.637,140.95245,4709.673,16,0.02966
1703030400000,2023-12-20 00:00:00,GALA/USDT,0.02828,0.03031,0.02828,0.02947,104.47276,3519.052,60.79943,2031.122,10,0.0297
1702944000000,2023-12-19 00:00:00,GALA/USDT,0.02944,0.03031,0.02826,0.02846,484.29251,16487.023,381.87911,12905.759,24,0.02938
1702857600000,2023-12-18 00:00:00,GALA/USDT,0.0297,0.03031,0.02774,0.02878,1733.77056,60307.796,435.70071,14924.877,54,0.02875
1702771200000,2023-12-17 00:00:00,GALA/USDT,0.02962,0.03,0.02962,0.03,16.20792,541.66,12.94413,431.471,2,0.02992
1702684800000,2023-12-16 00:00:00,GALA/USDT,0.03001,0.03074,0.02869,0.02965,211.28837,7098.02,112.62798,3734.045,16,0.02978
1702598400000,2023-12-15 00:00:00,GALA/USDT,0.03098,0.03098,0.02973,0.03,1284.09077,42624.763,122.22494,4058.807,23,0.03012
1702512000000,2023-12-14 00:00:00,GALA/USDT,0.029,0.03318,0.029,0.03116,2605.30932,83297.674,2079.90228,65716.105,65,0.0313
1702425600000,2023-12-13 00:00:00,GALA/USDT,0.02907,0.03039,0.02896,0.03039,367.35871,12341.795,367.35871,12341.795,14,0.02977
1702339200000,2023-12-12 00:00:00,GALA/USDT,0.02932,0.02995,0.02856,0.02856,2001.46824,68745.324,278.82556,9386.691,40,0.02912
1702252800000,2023-12-11 00:00:00,GALA/USDT,0.02817,0.03,0.02817,0.02895,1432.46522,49684.969,881.52288,30348.597,34,0.02883
1702166400000,2023-12-10 00:00:00,GALA/USDT,0.02881,0.02894,0.028,0.02856,1077.20461,38018.037,513.6066,18009.941,37,0.02833
1702080000000,2023-12-09 00:00:00,GALA/USDT,0.027,0.02982,0.026,0.02852,1441.54543,52848.51,1015.02314,37306.553,78,0.0273
1701993600000,2023-12-08 00:00:00,GALA/USDT,0.02697,0.027,0.02507,0.027,1063.31147,39930.162,887.65198,33096.881,38,0.02664
1701907200000,2023-12-07 00:00:00,GALA/USDT,0.02506,0.027,0.02469,0.0252,1187.64167,44335.836,1078.19744,39990.65,23,0.02679
1701820800000,2023-12-06 00:00:00,GALA/USDT,0.02692,0.02699,0.02471,0.02699,139.12273,5185.53,39.90919,1479.293,12,0.02684
1701734400000,2023-12-05 00:00:00,GALA/USDT,0.0255,0.02699,0.02468,0.02699,2115.82742,84595.882,675.63782,26266.819,37,0.02502
1701648000000,2023-12-04 00:00:00,GALA/USDT,0.02468,0.02551,0.02466,0.02551,410.37643,16481.777,168.51587,6683.596,24,0.0249
1701561600000,2023-12-03 00:00:00,GALA/USDT,0.02551,0.02551,0.02401,0.02401,1816.20194,71903.883,1427.29533,56013.566,37,0.02526
1701475200000,2023-12-02 00:00:00,GALA/USDT,0.02559,0.02559,0.0255,0.0255,976.51418,38261.271,671.22785,26312.454,13,0.02552
1701388800000,2023-12-01 00:00:00,GALA/USDT,0.02522,0.0258,0.02522,0.02552,657.59672,25925.719,430.33368,17039.515,8,0.02536
1701302400000,2023-11-30 00:00:00,GALA/USDT,0.02522,0.02522,0.02469,0.02522,1560.27163,62071.867,1437.79211,57154.488,18,0.02513
1701216000000,2023-11-29 00:00:00,GALA/USDT,0.02613,0.02615,0.02557,0.02558,758.82436,29437.306,338.23424,13151.382,17,0.02577
1701129600000,2023-11-28 00:00:00,GALA/USDT,0.0258,0.02616,0.02518,0.02616,776.65571,30140.672,374.73471,14414.878,31,0.02577
1701043200000,2023-11-27 00:00:00,GALA/USDT,0.0266,0.0266,0.02563,0.02577,574.12715,22054.865,198.7504,7570.237,22,0.02603
1700956800000,2023-11-26 00:00:00,GALA/USDT,0.0266,0.0266,0.02621,0.02621,34.95066,1323.231,18.33226,689.183,2,0.02641
1700870400000,2023-11-25 00:00:00,GALA/USDT,0.02469,0.02469,0.02469,0.02469,0,0,0,0,0,0.02466
1700784000000,2023-11-24 00:00:00,GALA/USDT,0.02424,0.02508,0.02417,0.02469,36.74467,1489.928,21.74934,870.114,6,0.02466
1700697600000,2023-11-23 00:00:00,GALA/USDT,0.02531,0.02531,0.02454,0.02454,41.63623,1674.886,20.65065,837.443,5,0.02486
1700611200000,2023-11-22 00:00:00,GALA/USDT,0.02337,0.02614,0.02329,0.0248,617.58686,25228.227,465.99786,18732.368,25,0.0245
1700524800000,2023-11-21 00:00:00,GALA/USDT,0.02564,0.02631,0.02288,0.02288,566.57583,22915.165,276.53383,11253.788,62,0.02476
1700438400000,2023-11-20 00:00:00,GALA/USDT,0.02465,0.02669,0.02375,0.02585,1367.88706,54023.13,713.76119,27989.612,88,0.02533
1700352000000,2023-11-19 00:00:00,GALA/USDT,0.02316,0.02466,0.02288,0.02466,403.32596,17318.707,303.67281,13072.659,27,0.02329
1700265600000,2023-11-18 00:00:00,GALA/USDT,0.02575,0.02576,0.02326,0.02326,466.98398,19398.464,356.73694,14764.384,44,0.02408
1700179200000,2023-11-17 00:00:00,GALA/USDT,0.02341,0.02683,0.02323,0.02618,546.32358,22235.343,232.52367,9526.684,41,0.02459
1700092800000,2023-11-16 00:00:00,GALA/USDT,0.02422,0.02525,0.02289,0.0233,679.06743,28213.795,418.19841,17329.729,48,0.02408
1700006400000,2023-11-15 00:00:00,GALA/USDT,0.02288,0.0241,0.0228,0.02398,654.62117,27556.884,282.47648,11786.05,26,0.02375
1699920000000,2023-11-14 00:00:00,GALA/USDT,0.02205,0.02357,0.02112,0.02262,631.89214,28266.343,196.36203,8798.309,45,0.02236
1699833600000,2023-11-13 00:00:00,GALA/USDT,0.02419,0.02443,0.02217,0.02217,1227.28461,52761.84,832.61649,35673.253,78,0.02327
1699747200000,2023-11-12 00:00:00,GALA/USDT,0.0239,0.02531,0.02368,0.02423,1421.57511,58478.745,510.25839,20795.4,75,0.02431
1699660800000,2023-11-11 00:00:00,GALA/USDT,0.02396,0.02517,0.02336,0.02426,593.72713,24891.281,306.32262,12793.26,30,0.02385
1699574400000,2023-11-10 00:00:00,GALA/USDT,0.0243,0.02596,0.02207,0.02396,1562.90852,65869.667,661.10352,27327.064,48,0.02375
1699488000000,2023-11-09 00:00:00,GALA/USDT,0.023,0.02822,0.02077,0.02323,2919.22164,120171.232,1935.96378,79386.593,97,0.02434
1699401600000,2023-11-08 00:00:00,GALA/USDT,0.02086,0.02309,0.02086,0.02309,464.00658,20763.081,192.53098,8463.907,29,0.02235
1699315200000,2023-11-07 00:00:00,GALA/USDT,0.0214,0.02197,0.01868,0.02197,827.96476,39594.798,374.91534,18157.038,36,0.02094
1699228800000,2023-11-06 00:00:00,GALA/USDT,0.02033,0.02545,0.02005,0.02113,1412.46679,64396.392,1286.62799,58467.457,45,0.022
1699142400000,2023-11-05 00:00:00,GALA/USDT,0.01944,0.022,0.01941,0.0202,555.50558,27406.951,384.68322,18837.833,30,0.02029
1699056000000,2023-11-04 00:00:00,GALA/USDT,0.01924,0.01927,0.01911,0.01912,16.74019,870.399,13.08076,678.947,4,0.01923
1698969600000,2023-11-03 00:00:00,GALA/USDT,0.0182,0.01856,0.01766,0.01829,212.13397,11645.198,87.03934,4758.385,9,0.01822
1698883200000,2023-11-02 00:00:00,GALA/USDT,0.02004,0.02004,0.01781,0.01838,503.36885,26398.827,171.71634,9049.56,31,0.01907
1698796800000,2023-11-01 00:00:00,GALA/USDT,0.01907,0.02039,0.01793,0.01927,244.94155,12838.422,65.91018,3499,36,0.01908
1698710400000,2023-10-31 00:00:00,GALA/USDT,0.0201,0.02048,0.01866,0.019,915.87421,47154.014,83.67885,4271.606,32,0.01943
1698624000000,2023-10-30 00:00:00,GALA/USDT,0.02111,0.02225,0.01973,0.0201,1077.99891,52659.839,366.77651,17405.532,33,0.02048
1698537600000,2023-10-29 00:00:00,GALA/USDT,0.01898,0.022,0.01845,0.02117,2304.64731,118588.795,993.95106,49652.953,37,0.01946
1698451200000,2023-10-28 00:00:00,GALA/USDT,0.01836,0.01899,0.01765,0.01868,3492.962,190149.611,149.13918,7955.344,18,0.01837
1698364800000,2023-10-27 00:00:00,GALA/USDT,0.01877,0.019,0.01716,0.01767,1867.02023,103975.856,598.21562,32658.475,53,0.01796
1698278400000,2023-10-26 00:00:00,GALA/USDT,0.01602,0.02209,0.01602,0.01819,1198.63973,66001.774,671.0267,37563.043,56,0.01824
1698192000000,2023-10-25 00:00:00,GALA/USDT,0.01566,0.01749,0.01501,0.0163,211.57481,13092.37,144.32196,8848.027,31,0.0162
1698105600000,2023-10-24 00:00:00,GALA/USDT,0.01471,0.01566,0.01385,0.01385,2722.66172,179096.49,865.47261,57923.62,37,0.0152
1698019200000,2023-10-23 00:00:00,GALA/USDT,0.01333,0.0149,0.01333,0.0149,241.19533,16927.961,212.84287,14906.912,17,0.01425
1697932800000,2023-10-22 00:00:00,GALA/USDT,0.01379,0.01397,0.01354,0.01397,27.23483,1956.187,27.23483,1956.187,6,0.01392
1697846400000,2023-10-21 00:00:00,GALA/USDT,0.01397,0.01397,0.01348,0.01348,5.92783,437.122,5.92783,437.122,2,0.01356
1697760000000,2023-10-20 00:00:00,GALA/USDT,0.01433,0.01433,0.01271,0.01271,26.36781,2009.041,8.0738,576.008,5,0.01315
1697673600000,2023-10-19 00:00:00,GALA/USDT,0.01262,0.01286,0.0125,0.0125,21.63541,1708.201,19.64183,1550.67,5,0.01266
1697587200000,2023-10-18 00:00:00,GALA/USDT,0.01306,0.01306,0.01289,0.01301,69.96467,5385.824,27.87539,2149.927,9,0.01299
1697500800000,2023-10-17 00:00:00,GALA/USDT,0.01322,0.01322,0.01322,0.01322,1.33522,101,1.33522,101,1,0.01322
