https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,LINK/USDT,15.017,15.2713,13.5997,14.1275,27395095.41,1865844.94988,13639596.678,928838.80801,128948,14.691
1704931200000,2024-01-11 00:00:00,LINK/USDT,15.0609,15.6816,14.5567,15.016,36329712.662,2421735.92595,18460133.312,1230516.18685,169242,15.0048
1704844800000,2024-01-10 00:00:00,LINK/USDT,13.7187,15.2894,13.5519,15.0583,28238734.538,2000951.96327,14167784.781,1003734.44417,132481,14.1251
1704758400000,2024-01-09 00:00:00,LINK/USDT,14.1251,14.2295,13.2433,13.7176,29575598.677,2145608.92372,14652442.571,1062959.2337,138574,13.7871
1704672000000,2024-01-08 00:00:00,LINK/USDT,13.1055,14.3669,12.464,14.1209,26386287.147,1952036.55554,13156589.568,973305.04823,123433,13.5298
1704585600000,2024-01-07 00:00:00,LINK/USDT,13.4194,13.7205,12.9388,13.0927,23252256.503,1725480.25469,11657079.389,864972.76469,108880,13.4774
1704499200000,2024-01-06 00:00:00,LINK/USDT,14.0697,14.0892,13.1837,13.4271,25883902.944,1907363.08981,13130441.749,967502.37433,120772,13.5731
1704412800000,2024-01-05 00:00:00,LINK/USDT,14.5255,14.6495,13.7974,14.0678,27819672.645,1967445.24195,14184249.51,1003017.17617,130225,14.1432
1704326400000,2024-01-04 00:00:00,LINK/USDT,14.1458,14.7497,13.9709,14.5272,24986444.371,1736308.93522,12711439.56,883375.9519,116579,14.3923
1704240000000,2024-01-03 00:00:00,LINK/USDT,15.1509,15.5659,12.8052,14.1444,24947038.734,1704959.28059,12512753.708,855357.55448,116981,14.6649
1704153600000,2024-01-02 00:00:00,LINK/USDT,15.4745,16.0694,15.054,15.1483,22092208.271,1419094.26,11043709.437,709484.13435,104196,15.5733
1704067200000,2024-01-01 00:00:00,LINK/USDT,14.932,15.5314,14.8209,15.4725,27705340.327,1820429.10298,13963718.134,917496.79735,129160,15.2207
1703980800000,2023-12-31 00:00:00,LINK/USDT,15.1632,15.5304,14.9,14.9399,24090649.849,1583261.15665,12038303.559,791155.36862,111871,15.217
1703894400000,2023-12-30 00:00:00,LINK/USDT,15.536,15.6163,15.0135,15.1599,26902531.913,1759455.31718,13575904.749,887856.75623,124225,15.2912
1703808000000,2023-12-29 00:00:00,LINK/USDT,16.0064,16.2162,15.1819,15.5333,27663317.972,1752920.94509,13826068.142,876073.11289,128857,15.7855
1703721600000,2023-12-28 00:00:00,LINK/USDT,16.6402,17.5589,15.9824,16.0087,27514999.857,1643564.46232,13887672.118,829589.68539,128079,16.7533
1703635200000,2023-12-27 00:00:00,LINK/USDT,15.0854,16.6541,14.6542,16.6345,26512763.923,1712320.30228,13412524.965,866350.71799,124148,15.5081
1703548800000,2023-12-26 00:00:00,LINK/USDT,15.5599,15.8157,14.4827,15.0849,27338823.386,1794218.11779,13773296.112,903835.86552,127270,15.2419
1703462400000,2023-12-25 00:00:00,LINK/USDT,15.2397,15.6925,15.1129,15.5584,27473157.348,1786328.55016,13880102.594,902505.1374,128056,15.3805
1703376000000,2023-12-24 00:00:00,LINK/USDT,15.6614,15.9059,15.117,15.2345,27533079.462,1762960.38202,13865058.486,887798.46671,127808,15.6189
1703289600000,2023-12-23 00:00:00,LINK/USDT,15.461,15.81,14.8756,15.6571,26689428.489,1739136.5433,13509226.502,880192.24929,124536,15.3512
1703203200000,2023-12-22 00:00:00,LINK/USDT,15.2601,15.6849,14.9776,15.4614,26467054.959,1725788.28403,13291467.014,866672.87365,123845,15.3372
1703116800000,2023-12-21 00:00:00,LINK/USDT,14.2097,15.2683,14.1358,15.2609,26915130.814,1835739.86528,13640225.365,930335.40531,125460,14.6691
1703030400000,2023-12-20 00:00:00,LINK/USDT,14.0913,14.77,13.9654,14.2148,27347556.515,1906306.48736,14020889.14,977404.61398,127268,14.3486
1702944000000,2023-12-19 00:00:00,LINK/USDT,14.6374,14.7788,13.9325,14.0915,27684771.433,1923934.80962,14342418.373,996612.51479,128670,14.3933
1702857600000,2023-12-18 00:00:00,LINK/USDT,14.0042,14.6474,13.6887,14.637,27409480.165,1942433.97247,14178941.285,1004875.8601,127923,14.1144
1702771200000,2023-12-17 00:00:00,LINK/USDT,14.2766,14.3551,13.8947,13.9965,27488579.126,1939200.9635,14127323.83,996596.56334,127149,14.1756
1702684800000,2023-12-16 00:00:00,LINK/USDT,14.2488,14.7647,14.0675,14.2694,26545619.691,1836466.48738,13518463.72,935168.80369,123621,14.4554
1702598400000,2023-12-15 00:00:00,LINK/USDT,15.3465,15.368,14.2079,14.2594,26802537.085,1801722.78231,13828483.86,929538.57932,124683,14.8788
1702512000000,2023-12-14 00:00:00,LINK/USDT,14.7554,15.4884,14.4051,15.3386,24851816.24,1658437.304,12801762.554,854347.26809,115885,14.9885
1702425600000,2023-12-13 00:00:00,LINK/USDT,14.5244,14.81,13.8862,14.7539,24803305.746,1725355.86842,12685356.09,882389.45485,115815,14.3792
1702339200000,2023-12-12 00:00:00,LINK/USDT,14.7401,15.1432,14.1561,14.5194,25153127.227,1705546.59153,12860162.791,872053.9862,116895,14.7525
1702252800000,2023-12-11 00:00:00,LINK/USDT,16.3583,16.4499,13.735,14.7465,23965794.541,1608046.73453,12176630.694,816932.51685,112939,14.9153
1702166400000,2023-12-10 00:00:00,LINK/USDT,16.1136,16.4371,15.7577,16.3516,24532047.667,1518151.84918,12623225.075,781127.06267,114826,16.1605
1702080000000,2023-12-09 00:00:00,LINK/USDT,16.7031,17.1027,16.0343,16.1159,23968845.142,1444738.90721,12230626.921,737198.12524,113312,16.5931
1701993600000,2023-12-08 00:00:00,LINK/USDT,15.5266,16.7739,15.3304,16.7031,22364372.213,1395482.82496,11419561.026,712563.16876,105487,16.0383
1701907200000,2023-12-07 00:00:00,LINK/USDT,14.7226,15.5289,14.2711,15.5264,23239313.325,1546627.16008,11908359.448,792524.41609,109368,15.0304
1701820800000,2023-12-06 00:00:00,LINK/USDT,14.7739,15.3893,14.5346,14.7231,23996346.109,1599606.14611,12296410.064,819651.46681,113293,15.0027
1701734400000,2023-12-05 00:00:00,LINK/USDT,15.3476,15.5708,13.602,14.7784,24433657.408,1631567.4769,12232682.715,816844.25476,115150,14.9784
