https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,MATIC/USDT,0.91534,0.93,0.83847,0.86077,19309755.6148,21408141.1309,10507971.4464,11652670.1577,474665,0.90241
1704931200000,2024-01-11 00:00:00,MATIC/USDT,0.89789,0.93767,0.88063,0.91534,21253496.0876,23375030.5128,11516727.7834,12665580.0673,496692,0.90941
1704844800000,2024-01-10 00:00:00,MATIC/USDT,0.80701,0.89986,0.8023,0.8975,17578199.4764,21009501.6978,9540018.326,11395741.4013,455828,0.83739
1704758400000,2024-01-09 00:00:00,MATIC/USDT,0.84129,0.84476,0.78121,0.807,22068809.8434,27286981.9398,12021729.1058,14868222.1669,554376,0.80899
1704672000000,2024-01-08 00:00:00,MATIC/USDT,0.80079,0.8436,0.74117,0.84128,19776517.0975,24865154.509,10616882.0762,13351314.4152,512496,0.79614
1704585600000,2024-01-07 00:00:00,MATIC/USDT,0.82814,0.84457,0.792,0.80118,18068839.2154,21762812.5922,9602054.529,11567566.8636,450023,0.83038
1704499200000,2024-01-06 00:00:00,MATIC/USDT,0.84941,0.85017,0.79386,0.82764,19982539.8989,24190744.692,10597504.4233,12831307.9236,501774,0.82618
1704412800000,2024-01-05 00:00:00,MATIC/USDT,0.88137,0.88315,0.82056,0.84943,20975152.9104,24771867.9875,11234026.4712,13267761.6436,534220,0.84691
1704326400000,2024-01-04 00:00:00,MATIC/USDT,0.8528,0.88775,0.83448,0.88202,17595548.6919,20339404.8735,9383288.645,10846435.8131,447255,0.86524
1704240000000,2024-01-03 00:00:00,MATIC/USDT,0.9612,0.97833,0.80317,0.85252,17040072.0404,18761369.265,9259723.5448,10210786.8304,429118,0.91191
1704153600000,2024-01-02 00:00:00,MATIC/USDT,0.99481,1.01296,0.95514,0.9611,14250245.8549,14484198.1464,7631946.4291,7757487.8564,348884,0.98411
1704067200000,2024-01-01 00:00:00,MATIC/USDT,0.96032,0.99483,0.94584,0.99481,15850868.3492,16327093.1743,8392455.0557,8645027.8998,394329,0.97099
1703980800000,2023-12-31 00:00:00,MATIC/USDT,0.94148,0.99687,0.9327,0.96039,14537930.239,15013187.0258,7604846.1131,7853951.8121,345912,0.96868
1703894400000,2023-12-30 00:00:00,MATIC/USDT,0.96337,0.96678,0.93241,0.94118,18869169.5508,19785115.6747,9954445.9394,10437599.9147,459577,0.95376
1703808000000,2023-12-29 00:00:00,MATIC/USDT,0.98958,1.00605,0.9389,0.96316,20104200.7653,20606053.8713,10768706.4219,11038638.4225,495472,0.97592
1703721600000,2023-12-28 00:00:00,MATIC/USDT,1.00857,1.04913,0.97354,0.98966,18320939.6398,18244723.1205,10143455.5174,10099999.5171,449263,1.00451
1703635200000,2023-12-27 00:00:00,MATIC/USDT,0.99103,1.05999,0.93975,1.00877,16535210.3945,16244406.7019,9343506.4625,9177754.5875,443592,1.01838
1703548800000,2023-12-26 00:00:00,MATIC/USDT,0.9005,1,0.84449,0.99269,18638706.3782,20892198.6706,10371435.5989,11627771.2391,478505,0.89364
1703462400000,2023-12-25 00:00:00,MATIC/USDT,0.835,0.90735,0.82668,0.90054,17021889.6829,19711154.4944,9408547.7949,10895515.3604,408546,0.86409
1703376000000,2023-12-24 00:00:00,MATIC/USDT,0.8476,0.86898,0.82163,0.835,19625318.8256,23312449.5297,10799350.3887,12827472.6426,498986,0.84196
1703289600000,2023-12-23 00:00:00,MATIC/USDT,0.86099,0.86769,0.81912,0.84789,17953331.0055,21455244.6951,9778885.4849,11686081.6572,455047,0.83684
1703203200000,2023-12-22 00:00:00,MATIC/USDT,0.80802,0.861,0.80357,0.861,16925005.144,20268919.0661,9429746.9185,11294617.0418,429346,0.83535
1703116800000,2023-12-21 00:00:00,MATIC/USDT,0.76529,0.80984,0.76005,0.80818,17316401.5534,22264785.8709,9482128.6117,12190109.1934,438948,0.7779
1703030400000,2023-12-20 00:00:00,MATIC/USDT,0.75794,0.78839,0.74407,0.7653,18482486.1198,24098372.1283,10043277.3806,13095245.5968,463667,0.76705
1702944000000,2023-12-19 00:00:00,MATIC/USDT,0.79144,0.81065,0.745,0.75721,19426472.9301,24994959.0481,10592741.3975,13626326.1708,491281,0.77768
1702857600000,2023-12-18 00:00:00,MATIC/USDT,0.80482,0.81321,0.7458,0.79149,18628754.3727,23920255.0329,10115501.2313,12991952.8978,457869,0.77906
1702771200000,2023-12-17 00:00:00,MATIC/USDT,0.82927,0.83999,0.80061,0.80515,19542903.0037,23736057.7623,10482470.0575,12731839.0028,493651,0.82338
1702684800000,2023-12-16 00:00:00,MATIC/USDT,0.82664,0.85524,0.82168,0.82914,19114067.5562,22782367.6663,10386618.3367,12378819.1653,471141,0.83903
1702598400000,2023-12-15 00:00:00,MATIC/USDT,0.87352,0.87419,0.82588,0.8266,18691308.9367,22037254.1981,9937188.4493,11718326.2864,470575,0.84827
1702512000000,2023-12-14 00:00:00,MATIC/USDT,0.87579,0.88942,0.84512,0.87355,15830653.8246,18231339.2825,8327084.6223,9590156.534,390195,0.86838
1702425600000,2023-12-13 00:00:00,MATIC/USDT,0.87334,0.88268,0.80933,0.8758,17369070.719,20475782.9599,9382486.5244,11063601.3476,449393,0.84856
1702339200000,2023-12-12 00:00:00,MATIC/USDT,0.8299,0.88812,0.82839,0.87291,18105723.0028,21247401.3763,9722598.7636,11408318.3381,441738,0.8523
1702252800000,2023-12-11 00:00:00,MATIC/USDT,0.91967,0.92,0.80201,0.82991,12825948.4227,15242588.8935,6901461.0038,8201982.6967,332500,0.84225
1702166400000,2023-12-10 00:00:00,MATIC/USDT,0.88188,0.92,0.87843,0.9197,14690675.5031,16322455.8088,7970191.1273,8855978.8541,352873,0.90011
1702080000000,2023-12-09 00:00:00,MATIC/USDT,0.89925,0.932,0.87647,0.88189,16425007.9976,18054614.7824,8837941.8689,9716131.6596,396142,0.90989
1701993600000,2023-12-08 00:00:00,MATIC/USDT,0.83661,0.9,0.83511,0.89904,7344267.5901,8563558.4946,3945151.6179,4598909.505,186458,0.85793
1701907200000,2023-12-07 00:00:00,MATIC/USDT,0.79542,0.83991,0.79229,0.8369,15253584.808,18630538.743,8245152.3342,10069812.5937,366504,0.81893
1701820800000,2023-12-06 00:00:00,MATIC/USDT,0.75431,0.82301,0.75026,0.79562,15948961.6217,20006026.9952,8624190.0588,10817716.1309,398610,0.79753
1701734400000,2023-12-05 00:00:00,MATIC/USDT,0.79067,0.80245,0.75052,0.75434,18331578.7801,23526531.9653,10060747.9424,12910877.205,475462,0.77927
1701648000000,2023-12-04 00:00:00,MATIC/USDT,0.80815,0.82238,0.7686,0.79106,18137144.5372,22854931.0323,9956454.0953,12547213.0526,485985,0.79389
1701561600000,2023-12-03 00:00:00,MATIC/USDT,0.80834,0.82279,0.79278,0.80773,16989993.6741,21068054.5264,9138394.7097,11332319.6583,442026,0.80646
