https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,NEAR/USDT,3.612,3.767,3.34,3.458,10534849.087,2958281.08141,5252398.813,1474895.24838,147426,3.562
1704931200000,2024-01-11 00:00:00,NEAR/USDT,3.605,3.835,3.511,3.616,13418481.252,3684468.03148,6834304.073,1876912.67437,189451,3.643
1704844800000,2024-01-10 00:00:00,NEAR/USDT,3.223,3.681,3.097,3.606,11287386.72,3450236.3165,5633949.824,1721963.06841,161111,3.275
1704758400000,2024-01-09 00:00:00,NEAR/USDT,3.626,3.658,3.053,3.223,8047069.444,2417487.13847,4156020.716,1246651.08321,116881,3.337
1704672000000,2024-01-08 00:00:00,NEAR/USDT,3.224,3.69,2.935,3.629,9418915.686,2829172.0026,4754971.2,1426625.8405,137285,3.344
1704585600000,2024-01-07 00:00:00,NEAR/USDT,3.481,3.566,3.16,3.22,9066120.03,2673750.72726,4638303.349,1368112.44446,126811,3.392
1704499200000,2024-01-06 00:00:00,NEAR/USDT,3.552,3.708,3.175,3.488,10080354.665,2961806.14276,5021612.388,1475614.01991,140300,3.406
1704412800000,2024-01-05 00:00:00,NEAR/USDT,3.904,3.94,3.457,3.553,10429690.481,2863859.12752,5236569.386,1437788.39281,145439,3.645
1704326400000,2024-01-04 00:00:00,NEAR/USDT,3.76,4.035,3.573,3.908,8998135.301,2398806.60979,4560075.494,1214707.51136,126114,3.754
1704240000000,2024-01-03 00:00:00,NEAR/USDT,3.913,4.077,3.184,3.765,8681315.754,2297400.12088,4288450.963,1135619.44598,120204,3.789
1704153600000,2024-01-02 00:00:00,NEAR/USDT,3.793,4.309,3.734,3.916,7954663.437,2003147.57044,4048156.237,1019318.81517,110775,3.974
1704067200000,2024-01-01 00:00:00,NEAR/USDT,3.658,3.846,3.579,3.797,10281912.396,2790933.56841,5334057.202,1448004.81341,143642,3.685
