https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,OP/USDT,3.9678,4.27,3.7423,3.9049,10000488.2104,2527807.1948,4966491.7202,1255967.4363,141395,3.9616
1704931200000,2024-01-11 00:00:00,OP/USDT,3.9324,4.1014,3.6394,3.97,13178312.6508,3413784.182,6619184.5603,1714570.4276,188441,3.8618
1704844800000,2024-01-10 00:00:00,OP/USDT,3.6344,4.077,3.5063,3.9306,10474592.9929,2818924.5485,5252023.3979,1413562.8135,149822,3.7213
1704758400000,2024-01-09 00:00:00,OP/USDT,3.4128,3.7042,3.0945,3.6373,11821918.0061,3562901.5607,5958739.2677,1796180.8945,170110,3.3222
1704672000000,2024-01-08 00:00:00,OP/USDT,3.1699,3.4826,2.9188,3.4133,10845334.1347,3406900.6017,5447345.965,1710326.1454,155868,3.1896
1704585600000,2024-01-07 00:00:00,OP/USDT,3.225,3.4627,3.1581,3.1706,9421756.5377,2815228.9603,4746172.4385,1418162.8422,131408,3.3478
1704499200000,2024-01-06 00:00:00,OP/USDT,3.4447,3.4477,3.1235,3.2257,10610202.3989,3246935.0635,5340730.3441,1634281.7929,148785,3.2689
1704412800000,2024-01-05 00:00:00,OP/USDT,3.7167,3.8145,3.2907,3.4445,10500354.6773,3022940.097,5320172.5547,1530847.2865,146734,3.4764
1704326400000,2024-01-04 00:00:00,OP/USDT,3.4791,3.9146,3.3565,3.7162,9826893.6674,2755518.1269,4992981.1291,1400716.8602,137510,3.5719
1704240000000,2024-01-03 00:00:00,OP/USDT,3.7209,4.014,3.0676,3.4789,9501682.3293,2572140.8761,4836864.5328,1309423.0303,131874,3.7028
1704153600000,2024-01-02 00:00:00,OP/USDT,3.978,4.042,3.6575,3.7213,8388064.7802,2184414.7163,4248751.8219,1106227.6743,117359,3.8423
1704067200000,2024-01-01 00:00:00,OP/USDT,3.7145,4.1302,3.5549,3.9814,10583885.4095,2822113.0788,5305592.3837,1415376.1337,147572,3.755
1703980800000,2023-12-31 00:00:00,OP/USDT,3.6029,3.9163,3.5987,3.7097,9193121.9678,2440186.9614,4578824.2165,1215367.1481,127177,3.7683
1703894400000,2023-12-30 00:00:00,OP/USDT,3.9252,3.929,3.5944,3.602,9828857.39,2647023.2825,5017704.8801,1351339.7772,142281,3.7146
1703808000000,2023-12-29 00:00:00,OP/USDT,3.5868,3.9566,3.4367,3.9337,10488530.8972,2879634.4676,5350896.0199,1468932.4765,151229,3.645
1703721600000,2023-12-28 00:00:00,OP/USDT,3.9582,4.1487,3.576,3.5853,10138677.6394,2678659.725,5241176.9372,1383939.9377,147005,3.789
1703635200000,2023-12-27 00:00:00,OP/USDT,3.4675,4.1642,3.2122,3.9637,10361072.7241,2860028.3602,5405337.4585,1490665.6963,149831,3.6565
1703548800000,2023-12-26 00:00:00,OP/USDT,3.3763,3.4968,3.036,3.4626,10976231.4278,3324619.1818,5630658.7887,1705522.8702,160949,3.3037
1703462400000,2023-12-25 00:00:00,OP/USDT,3.5715,3.7253,3.3543,3.3769,10550596.9191,3018678.5691,5437588.3259,1555897.4403,152383,3.4962
1703376000000,2023-12-24 00:00:00,OP/USDT,3.4517,3.8578,3.3163,3.5701,10536294.0407,3010946.3927,5384011.8895,1538578.3946,153227,3.5013
1703289600000,2023-12-23 00:00:00,OP/USDT,3.47,3.5324,3.1167,3.4484,10949562.0001,3351264.5432,5619857.6501,1720044.0225,160519,3.2692
1703203200000,2023-12-22 00:00:00,OP/USDT,2.5198,3.5402,2.4912,3.4785,12154664.2609,4263544.946,6230391.3494,2185349.6788,183313,2.8824
1703116800000,2023-12-21 00:00:00,OP/USDT,2.2472,2.5552,2.2035,2.5207,14652104.6487,6250274.4489,7524842.9348,3209007.7518,230193,2.3488
1703030400000,2023-12-20 00:00:00,OP/USDT,2.1079,2.2805,2.1053,2.2475,15085485.2591,6862572.1602,7743383.7925,3522393.2987,241998,2.1988
