https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,SHIB/USDT,0.000009971,0.000010181,0.00000892,0.000009345,18636744.35887088,1918357075060,9774913.12722777,1007019732594,502980,0.000009718
1704931200000,2024-01-11 00:00:00,SHIB/USDT,0.000009778,0.000010101,0.000008401,0.00000997,19109420.51857055,1974623832444,10079137.67448889,1042728253381,519070,0.000009683
1704844800000,2024-01-10 00:00:00,SHIB/USDT,0.000009129,0.00000991,0.000008,0.000009737,11803349.88214116,1309335074941,6167796.30753468,684572355706,315190,0.000009028
1704758400000,2024-01-09 00:00:00,SHIB/USDT,0.000009432,0.000009432,0.000008873,0.000009129,13558941.30012622,1464448146022,7189235.2794501,776465112471,334516,0.000009259
1704672000000,2024-01-08 00:00:00,SHIB/USDT,0.0000089,0.000009431,0.00000835,0.000009429,11865082.28753286,1318988364965,6208698.51185082,690200145761,289843,0.000009001
1704585600000,2024-01-07 00:00:00,SHIB/USDT,0.00000949,0.000009519,0.00000881,0.000008903,15909731.67892959,1708549177784,8337123.85074241,895351076736,385290,0.000009314
1704499200000,2024-01-06 00:00:00,SHIB/USDT,0.000009716,0.000009721,0.000009226,0.000009486,18845334.89772702,1981019886443,9928756.29985306,1043688171153,459309,0.000009513
1704412800000,2024-01-05 00:00:00,SHIB/USDT,0.000009786,0.00000982,0.000009297,0.000009711,18630504.47363619,1939886696198,9823145.25919114,1022833328144,454210,0.000009605
1704326400000,2024-01-04 00:00:00,SHIB/USDT,0.000009463,0.000009903,0.000008923,0.000009786,12771872.3161826,1349738426032,6744783.88776694,712796386074,314720,0.000009462
1704240000000,2024-01-03 00:00:00,SHIB/USDT,0.000010158,0.000010348,0.000008768,0.000009464,14516494.96328321,1491491780910,7562518.35367007,777297197653,366027,0.000009749
1704153600000,2024-01-02 00:00:00,SHIB/USDT,0.000010237,0.00001045,0.000009871,0.000010159,10413449.94484297,1018689597945,5454017.76736521,533525428643,275969,0.000010223
1704067200000,2024-01-01 00:00:00,SHIB/USDT,0.00000991,0.000010441,0.000009909,0.000010271,7681631.66165805,748924621355,4092939.10833605,399040199894,173296,0.000010257
1703980800000,2023-12-31 00:00:00,SHIB/USDT,0.000009241,0.000009964,0.000009,0.00000991,7679786.88425259,830072987253,4088922.83558549,441931764352,185738,0.000009261
1703894400000,2023-12-30 00:00:00,SHIB/USDT,0.000009114,0.000009835,0.0000085,0.000009242,7885345.52290528,844918407608,4221696.51892172,452360315061,199831,0.000009336
1703808000000,2023-12-29 00:00:00,SHIB/USDT,0.000009535,0.000009541,0.000009,0.000009117,13969699.53305575,1504223467179,7409063.82177944,797766861215,332236,0.00000929
1703721600000,2023-12-28 00:00:00,SHIB/USDT,0.000009766,0.000009979,0.00000865,0.000009536,11581816.98184338,1199824618356,6209297.9924173,643122005858,307884,0.000009654
1703635200000,2023-12-27 00:00:00,SHIB/USDT,0.000009797,0.000009815,0.00000949,0.000009774,8761783.85522935,898855638076,4928611.99842677,505619991321,197712,0.000009747
1703548800000,2023-12-26 00:00:00,SHIB/USDT,0.000010042,0.000010042,0.000009432,0.000009796,11751725.43905927,1181418354254,6382061.48816959,641603167118,272423,0.000009948
1703462400000,2023-12-25 00:00:00,SHIB/USDT,0.000010142,0.000010337,0.000009989,0.000010042,12298114.15541767,1214981660814,6648613.23749007,656842877833,291679,0.000010122
1703376000000,2023-12-24 00:00:00,SHIB/USDT,0.000010098,0.000010328,0.000009906,0.000010142,12442853.20414058,1230766400024,6755144.99319499,668172059464,288470,0.00001011
1703289600000,2023-12-23 00:00:00,SHIB/USDT,0.000010477,0.000010483,0.000009266,0.000010098,12399538.02238898,1221891147666,6703011.94863607,660521098269,298660,0.000010149
1703203200000,2023-12-22 00:00:00,SHIB/USDT,0.00001027,0.000010638,0.0000095,0.000010484,9587965.72885092,920771530053,5205439.0347083,499889083698,239462,0.000010413
1703116800000,2023-12-21 00:00:00,SHIB/USDT,0.000010099,0.00001027,0.000010035,0.00001027,11847018.95597582,1166070020249,6425852.61445505,632478321186,259462,0.00001016
1703030400000,2023-12-20 00:00:00,SHIB/USDT,0.000010027,0.000010348,0.000009871,0.000010099,9991341.50236682,989598962133,5396383.6702262,534500427531,233630,0.000010097
1702944000000,2023-12-19 00:00:00,SHIB/USDT,0.00001016,0.000010358,0.000009913,0.000010027,11114811.66435803,1099260571103,6059549.79034042,599316851262,250150,0.000010112
1702857600000,2023-12-18 00:00:00,SHIB/USDT,0.000010146,0.000010247,0.000009549,0.000010161,6371714.53814605,644888266689,3493900.90476145,353634003818,147827,0.000009882
1702771200000,2023-12-17 00:00:00,SHIB/USDT,0.000010361,0.00001038,0.000009862,0.000010155,7694459.9992752,756800129036,4218506.60701677,414916185686,189175,0.000010168
1702684800000,2023-12-16 00:00:00,SHIB/USDT,0.000009507,0.000010361,0.000009434,0.000010361,8250904.66399049,840864747896,4492124.57089951,457700883683,181656,0.000009815
1702598400000,2023-12-15 00:00:00,SHIB/USDT,0.00000981,0.000009821,0.000009498,0.000009513,9026950.91544628,930774624392,4895070.03415365,504712972190,193368,0.000009698
1702512000000,2023-12-14 00:00:00,SHIB/USDT,0.000009599,0.000009828,0.000009528,0.000009815,1010855.35664875,103969492475,544933.16095285,56049384298,22694,0.000009722
1702425600000,2023-12-13 00:00:00,SHIB/USDT,0.000009504,0.000009599,0.000009125,0.000009599,8020984.96940138,857621783651,4344188.45566676,464505962742,197435,0.000009353
1702339200000,2023-12-12 00:00:00,SHIB/USDT,0.000009348,0.000009577,0.000009201,0.000009505,13526532.29304485,1429965236851,7342797.69365419,776248775335,317431,0.000009459
1702252800000,2023-12-11 00:00:00,SHIB/USDT,0.000010057,0.000010139,0.000009036,0.000009348,8182394.57072897,863020490066,4394147.88806177,463548625086,184280,0.000009487
1702166400000,2023-12-10 00:00:00,SHIB/USDT,0.00000995,0.000010119,0.000009808,0.000010057,2610480.28319468,261901372717,1407679.68305457,141222869600,58613,0.000009967
1702080000000,2023-12-09 00:00:00,SHIB/USDT,0.00001012,0.000010242,0.000009855,0.000009945,9830350.07497236,972398569113,5368393.53618637,531034264418,215235,0.000010109
1701993600000,2023-12-08 00:00:00,SHIB/USDT,0.000009785,0.000010136,0.000009731,0.000010117,11343471.39846105,1145452958805,6172364.3638343,623276512979,278080,0.000009903
1701907200000,2023-12-07 00:00:00,SHIB/USDT,0.000009579,0.000009864,0.000009416,0.000009785,17031241.35611075,1763960202959,9306299.08573138,963861381228,412009,0.000009656
1701820800000,2023-12-06 00:00:00,SHIB/USDT,0.00000936,0.000010528,0.000009333,0.000009579,15274284.55315841,1566359454098,8275083.54049975,848511509833,387186,0.000009756
1701734400000,2023-12-05 00:00:00,SHIB/USDT,0.000009058,0.0000095,0.000008836,0.000009359,14954315.30620093,1650685629509,8191000.16365382,904113705027,354849,0.000009061
1701648000000,2023-12-04 00:00:00,SHIB/USDT,0.000008984,0.000009253,0.000008709,0.000009053,13867793.5934431,1552906638174,7565926.52144372,847218212975,337656,0.000008932
1701561600000,2023-12-03 00:00:00,SHIB/USDT,0.000008525,0.000009316,0.000008378,0.000008983,15283641.16327371,1784195511650,8267349.03498267,965118189661,404265,0.00000857
1701475200000,2023-12-02 00:00:00,SHIB/USDT,0.000008314,0.00000902,0.000008278,0.000008527,13782484.03921776,1647026946530,7456653.6877494,891085634554,342946,0.000008368
1701388800000,2023-12-01 00:00:00,SHIB/USDT,0.000008296,0.000008369,0.000008211,0.000008315,12672232.24862038,1528750375060,6860240.17524484,827601249684,310237,0.000008289
1701302400000,2023-11-30 00:00:00,SHIB/USDT,0.000008157,0.000008299,0.000008111,0.000008296,14754670.83902628,1803783494548,7939341.26190537,970586329940,380933,0.00000818
1701216000000,2023-11-29 00:00:00,SHIB/USDT,0.000008275,0.000008329,0.000008105,0.000008158,16897959.70182269,2055843534086,9182710.91622868,1117215254493,425005,0.000008219
1701129600000,2023-11-28 00:00:00,SHIB/USDT,0.00000819,0.000008277,0.000008034,0.000008266,17387756.02804059,2128451559394,9313299.83971981,1139984763447,433613,0.000008169
1701043200000,2023-11-27 00:00:00,SHIB/USDT,0.000008244,0.000008597,0.000008031,0.000008195,15537410.43629345,1885478234171,8350226.26796183,1013210777848,400811,0.000008242
1700956800000,2023-11-26 00:00:00,SHIB/USDT,0.00000829,0.000008291,0.000008061,0.000008245,10394255.0583002,1263090344458,5501801.17119479,668597219003,257563,0.000008229
1700870400000,2023-11-25 00:00:00,SHIB/USDT,0.000008141,0.000008291,0.000008113,0.00000829,12014260.42287851,1460514254667,6485841.82406509,788450894251,303451,0.000008226
1700784000000,2023-11-24 00:00:00,SHIB/USDT,0.000008111,0.000008229,0.000008087,0.000008144,14799020.09290414,1814744898473,7975270.50654655,977973620310,364058,0.000008154
1700697600000,2023-11-23 00:00:00,SHIB/USDT,0.000008093,0.000008183,0.000008016,0.00000811,16974940.73384179,2092759273061,9116086.44542256,1123826983999,428028,0.000008111
1700611200000,2023-11-22 00:00:00,SHIB/USDT,0.000007737,0.000008126,0.000007679,0.000008094,16523048.93228376,2064286640712,8912363.43216084,1113453099540,425532,0.000008004
1700524800000,2023-11-21 00:00:00,SHIB/USDT,0.000008432,0.000008504,0.000007628,0.000007743,17540609.61765174,2126572384241,9229085.82506077,1119045709326,448393,0.000008252
1700438400000,2023-11-20 00:00:00,SHIB/USDT,0.000008677,0.000008699,0.000008386,0.000008435,13963493.9201212,1624705687137,7427115.00541315,864134188526,360741,0.000008595
1700352000000,2023-11-19 00:00:00,SHIB/USDT,0.00000855,0.000008699,0.000008355,0.000008676,10081750.39292903,1185391301890,5366971.04477124,631033833733,247525,0.000008505
1700265600000,2023-11-18 00:00:00,SHIB/USDT,0.000008811,0.000008895,0.000008406,0.000008557,16921031.70403739,1966019541600,9076727.91309979,1054620042555,427474,0.000008607
1700179200000,2023-11-17 00:00:00,SHIB/USDT,0.000008492,0.000009146,0.000008413,0.000008811,18048549.52237945,2078500357750,9635035.71854917,1109565464970,467540,0.000008685
1700092800000,2023-11-16 00:00:00,SHIB/USDT,0.000008784,0.00000909,0.000008313,0.000008494,16960214.87256687,1942329325325,8975638.40040216,1027869021349,438082,0.000008734
