https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,SOL/USDT,100.331,101.286,86.75,92.225,9430100.47,97123.338774,5051961.61,52033.559136,126571,97.17
1704931200000,2024-01-11 00:00:00,SOL/USDT,102.051,107,98.568,100.291,11994234.72,118383.490337,6537264.79,64524.511849,165618,101.352
1704844800000,2024-01-10 00:00:00,SOL/USDT,99.286,104.917,92.515,102.077,9835531.32,100614.528478,5413042.05,55343.580637,131917,97.83
1704758400000,2024-01-09 00:00:00,SOL/USDT,97.858,104.419,95.403,99.259,9815974.43,98057.08977,5147429.19,51436.880374,133819,100.132
1704672000000,2024-01-08 00:00:00,SOL/USDT,89.456,99.842,86.483,97.917,9001344.09,96884.610209,4779725.13,51427.527191,120737,93.045
1704585600000,2024-01-07 00:00:00,SOL/USDT,93.847,96.822,88.574,89.475,7472616.05,79181.441495,3974017.55,42115.137129,99213,94.392
1704499200000,2024-01-06 00:00:00,SOL/USDT,99.994,100.491,93,93.878,7252009.6,75707.499601,3785724.64,39513.827815,96112,95.819
1704412800000,2024-01-05 00:00:00,SOL/USDT,104.899,105.385,96,100.007,8927635.13,89077.544963,4451523.45,44407.555022,120932,100.257
1704326400000,2024-01-04 00:00:00,SOL/USDT,98.729,107.689,97.214,104.924,8007131.69,78924.385556,4110060.31,40501.596509,109073,101.52
1704240000000,2024-01-03 00:00:00,SOL/USDT,106.528,110,91.607,98.713,8325539.9,80573.95127,4370252.34,42263.491468,113578,103.534
1704153600000,2024-01-02 00:00:00,SOL/USDT,109.449,116.826,106.099,106.614,6856892.54,61749.748794,3635092.83,32722.596348,93003,111.11
1704067200000,2024-01-01 00:00:00,SOL/USDT,101.766,109.624,101.647,109.624,8278146.66,78613.908939,4224027.17,40105.538371,111783,105.352
1703980800000,2023-12-31 00:00:00,SOL/USDT,101.844,108.935,99.642,101.772,7911233.13,76563.780979,4104140.25,39719.443828,100806,103.351
1703894400000,2023-12-30 00:00:00,SOL/USDT,106.081,106.927,100.693,101.818,8705004.3,84126.175338,4573244.11,44195.048616,124037,103.492
1703808000000,2023-12-29 00:00:00,SOL/USDT,101.75,109.59,99.997,106.085,9123279.19,86212.330268,4755419.45,44942.151741,126954,105.863
1703721600000,2023-12-28 00:00:00,SOL/USDT,107.481,109.323,97.58,101.834,9287586.99,90280.903384,4999104.08,48585.049242,126815,102.941
1703635200000,2023-12-27 00:00:00,SOL/USDT,111.999,115.153,105.189,107.509,8949636.03,81228.740064,4765095.05,43247.599231,122015,110.217
1703548800000,2023-12-26 00:00:00,SOL/USDT,120.842,121.093,103.742,111.999,9297846.72,82037.287067,4994747.13,44053.696729,126307,113.491
1703462400000,2023-12-25 00:00:00,SOL/USDT,112.226,126,108.124,120.84,9233356.96,80092.886834,4855751.45,42112.032483,126312,115.473
