https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,TRX/USDT,0.10618,0.10799,0.10545,0.10686,16034215.96385,149936975.091,8069178.31264,75453167.189,389144,0.10694
1704931200000,2024-01-11 00:00:00,TRX/USDT,0.10512,0.1072,0.10477,0.10621,19706068.12733,186204747.089,9974509.2624,94247775.262,488148,0.10583
1704844800000,2024-01-10 00:00:00,TRX/USDT,0.10286,0.10582,0.10285,0.10509,15007748.95275,144220517.907,7675923.15219,73763951.561,364418,0.10406
1704758400000,2024-01-09 00:00:00,TRX/USDT,0.10416,0.10449,0.1016,0.10292,15047544.19285,145874085.534,7504453.73405,72751334.426,367955,0.10316
1704672000000,2024-01-08 00:00:00,TRX/USDT,0.10285,0.10429,0.1012,0.10416,13300087.92817,129013704.303,6622638.15859,64236747.464,326072,0.10309
1704585600000,2024-01-07 00:00:00,TRX/USDT,0.10404,0.10451,0.1025,0.10287,15774667.43003,151975066.317,7905174.31296,76160259.101,386561,0.10379
1704499200000,2024-01-06 00:00:00,TRX/USDT,0.1044,0.1044,0.10183,0.10408,17057012.04764,164573989.881,8558208.39595,82572148.049,403193,0.10364
1704412800000,2024-01-05 00:00:00,TRX/USDT,0.10694,0.10714,0.10327,0.10441,16930069.50556,161417306.604,8441130.01915,80477668.522,420771,0.10489
1704326400000,2024-01-04 00:00:00,TRX/USDT,0.10677,0.10861,0.10637,0.10698,14660379.39983,136658467.163,7390573.39781,68890443.829,359265,0.10727
1704240000000,2024-01-03 00:00:00,TRX/USDT,0.10832,0.10995,0.1036,0.10677,15155586.50184,141467220.154,7572728.91619,70670861.755,372375,0.10717
1704153600000,2024-01-02 00:00:00,TRX/USDT,0.10761,0.11045,0.10729,0.10839,13379919.17807,122927195.265,6698957.81017,61541640.887,334167,0.10884
1704067200000,2024-01-01 00:00:00,TRX/USDT,0.10768,0.10835,0.10613,0.10761,15952053.07114,148769642.416,8060687.66867,75174022.559,393047,0.10722
1703980800000,2023-12-31 00:00:00,TRX/USDT,0.10596,0.10899,0.1057,0.10771,15004050.29404,140137029.441,7604958.98477,71020994.574,348911,0.10707
1703894400000,2023-12-30 00:00:00,TRX/USDT,0.1056,0.10718,0.10517,0.10597,15163323.4797,143054626.724,7667572.11271,72338921.875,376913,0.10599
1703808000000,2023-12-29 00:00:00,TRX/USDT,0.10541,0.10674,0.10474,0.1056,14039106.27756,132828233.169,7091418.50228,67092045.498,339555,0.10569
1703721600000,2023-12-28 00:00:00,TRX/USDT,0.10535,0.10644,0.10455,0.10548,13563128.19997,128507676.729,6869333.06132,65085821.948,340428,0.10554
1703635200000,2023-12-27 00:00:00,TRX/USDT,0.10304,0.1055,0.10249,0.10539,13811477.22244,132685887.098,7168806.15866,68871499.387,341311,0.10409
1703548800000,2023-12-26 00:00:00,TRX/USDT,0.10585,0.10645,0.10213,0.10305,14335137.16046,137290536.239,7272862.76632,69656531.135,371084,0.10442
1703462400000,2023-12-25 00:00:00,TRX/USDT,0.10618,0.10817,0.10554,0.10585,14379960.44878,134216434.839,7296838.78145,68103712.528,354873,0.10714
1703376000000,2023-12-24 00:00:00,TRX/USDT,0.10669,0.10744,0.10545,0.10615,14592893.59978,136982223.596,7400276.62619,69464969.27,362187,0.10653
1703289600000,2023-12-23 00:00:00,TRX/USDT,0.105,0.10694,0.10402,0.10669,13948519.13396,132260434.931,7068458.89747,67020824.717,337867,0.10546
