https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,UNI/USDT,6.846,6.9981,6.4724,6.6029,7914453.523,1161544.18,4088253.996,600022.04304,115316,6.8152
1704931200000,2024-01-11 00:00:00,UNI/USDT,6.7787,6.9999,6.5454,6.8508,10425951.546,1541156.56962,5397635.005,797934.39831,151237,6.7662
1704844800000,2024-01-10 00:00:00,UNI/USDT,6.1295,6.7861,6.0186,6.7793,8891093.38,1413753.2377,4561829.696,725177.95971,131177,6.295
1704758400000,2024-01-09 00:00:00,UNI/USDT,6.2616,6.2831,5.991,6.1311,9481047.616,1531324.11161,4933310.078,796803.90915,135464,6.1916
1704672000000,2024-01-08 00:00:00,UNI/USDT,6.1812,6.547,5.8176,6.2615,8450278.89,1382090.19072,4387154.015,717642.70486,124202,6.1161
1704585600000,2024-01-07 00:00:00,UNI/USDT,6.3094,6.4406,6.0894,6.1787,6923408.644,1098810.60947,3577707.011,567780.48081,98961,6.3019
1704499200000,2024-01-06 00:00:00,UNI/USDT,6.4856,6.6497,6.1292,6.3137,8296859.279,1287252.35562,4306200.663,668065.5987,120445,6.4458
1704412800000,2024-01-05 00:00:00,UNI/USDT,6.7027,6.76,6.2877,6.4928,9034860.954,1376246.5632,4634090.697,705938.93042,130254,6.5661
1704326400000,2024-01-04 00:00:00,UNI/USDT,6.5725,6.792,6.5,6.7078,8029994.688,1208714.20408,4073924.447,613266.57091,115623,6.6441
1704240000000,2024-01-03 00:00:00,UNI/USDT,7.1991,7.4224,6.0894,6.5667,7733568.682,1114432.72449,4015078.309,578507.25196,112053,6.959
1704153600000,2024-01-02 00:00:00,UNI/USDT,7.5712,7.7486,7.1641,7.1982,7056492.433,943695.4108,3686332.945,492866.40085,101753,7.4813
1704067200000,2024-01-01 00:00:00,UNI/USDT,7.2238,7.6379,7.1437,7.5765,9085507.798,1232605.70352,4696736.362,637188.2556,129330,7.3731
1703980800000,2023-12-31 00:00:00,UNI/USDT,7.3528,7.7025,7.1973,7.2224,7916315.68,1062139.74399,4084352.287,548115.60581,112298,7.4547
1703894400000,2023-12-30 00:00:00,UNI/USDT,7.5602,7.8094,7.2759,7.3484,8657685.963,1150779.46857,4508064.121,599211.78898,123659,7.5253
1703808000000,2023-12-29 00:00:00,UNI/USDT,7.8063,7.8699,7.3779,7.5577,8908727.108,1165652.4291,4678199.879,612134.15939,128033,7.6437
1703721600000,2023-12-28 00:00:00,UNI/USDT,7.2283,8.1903,7.2196,7.8079,8500607.201,1103728.15533,4519187.268,587057.93201,123221,7.7081
1703635200000,2023-12-27 00:00:00,UNI/USDT,7.3341,7.4142,6.9679,7.2262,8774304.869,1216596.9166,4750627.688,658692.67123,126389,7.2128
1703548800000,2023-12-26 00:00:00,UNI/USDT,6.9441,7.735,6.6174,7.3351,8382702.472,1184988.82042,4461517.872,630559.80434,120980,7.0866
1703462400000,2023-12-25 00:00:00,UNI/USDT,6.7891,7.0585,6.6371,6.9439,8856036.344,1298709.1236,4676740.13,685893.55406,127502,6.8206
1703376000000,2023-12-24 00:00:00,UNI/USDT,6.3356,7.0466,6.3147,6.7886,8612154.306,1283827.83998,4525699.329,674677.82337,124485,6.7135
1703289600000,2023-12-23 00:00:00,UNI/USDT,6.3826,6.4191,6.0949,6.3319,8697457.52,1399470.9541,4599092.481,739994.71638,124992,6.2153
1703203200000,2023-12-22 00:00:00,UNI/USDT,6.1537,6.4761,6.1154,6.3841,8439199.246,1338684.26349,4462171.958,707840.37879,122616,6.3052
1703116800000,2023-12-21 00:00:00,UNI/USDT,5.9184,6.1554,5.8503,6.1536,8716141.614,1459177.1663,4566342.275,764424.99218,126148,5.9742
1703030400000,2023-12-20 00:00:00,UNI/USDT,5.8224,6.1906,5.7791,5.9196,8527291.823,1435691.95022,4514689.454,760039.52852,122767,5.9403
1702944000000,2023-12-19 00:00:00,UNI/USDT,5.9325,6.0274,5.7359,5.8234,8672651.351,1463401.48701,4624232.058,780311.73998,124858,5.9272
