https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1705017600000,2024-01-12 00:00:00,XRP/USDT,0.6016,0.6035,0.5523,0.5698,16644495.2971,28209343.4176,8604149.0924,14579885.0387,419970,0.5902
1704931200000,2024-01-11 00:00:00,XRP/USDT,0.5937,0.62,0.5709,0.6018,19634965.7433,32746855.5312,10168017.8484,16956712.9016,469208,0.5997
1704844800000,2024-01-10 00:00:00,XRP/USDT,0.5546,0.6061,0.53,0.5942,17542686.5647,31317189.8711,9073616.785,16199673.1406,442640,0.5606
1704758400000,2024-01-09 00:00:00,XRP/USDT,0.5714,0.5719,0.548,0.5556,14886710.5729,26604388.5702,7643349.1762,13659589.3785,351629,0.5596
1704672000000,2024-01-08 00:00:00,XRP/USDT,0.5381,0.5755,0.525,0.5711,15634284.4696,28678489.5499,8129984.6664,14911236.6133,410305,0.5453
1704585600000,2024-01-07 00:00:00,XRP/USDT,0.5406,0.55,0.5346,0.5381,15394928.5456,28273432.4274,7868232.2153,14449921.9408,398662,0.5445
1704499200000,2024-01-06 00:00:00,XRP/USDT,0.5498,0.55,0.504,0.5407,16909414.2612,31022636.7629,8722059.996,16000446.2891,413509,0.545
1704412800000,2024-01-05 00:00:00,XRP/USDT,0.5531,0.5601,0.5297,0.5498,16218136.0156,29428358.3544,8470973.5251,15370305.257,397383,0.5511
1704326400000,2024-01-04 00:00:00,XRP/USDT,0.5532,0.56,0.537,0.5534,13236161.3979,24056577.3019,6906730.3949,12551479.181,318860,0.5502
1704240000000,2024-01-03 00:00:00,XRP/USDT,0.6073,0.62,0.5,0.5535,10454278.8037,17832973.4198,5360272.9578,9148101.8293,247759,0.5879
1704153600000,2024-01-02 00:00:00,XRP/USDT,0.6,0.6099,0.58,0.6073,14271067.2735,23572813.3937,7355274.2339,12149018.3904,380664,0.6054
1704067200000,2024-01-01 00:00:00,XRP/USDT,0.5911,0.605,0.5855,0.6002,18516939.0195,31064324.1023,9490081.7813,15919837.6404,452479,0.5961
1703980800000,2023-12-31 00:00:00,XRP/USDT,0.5883,0.6,0.5711,0.5912,13946827.1327,23593411.9536,7114919.2822,12036251.8765,331410,0.5911
1703894400000,2023-12-30 00:00:00,XRP/USDT,0.5901,0.5995,0.5711,0.5883,16217940.8343,27483325.4632,8312232.5927,14085715.4965,402771,0.5901
1703808000000,2023-12-29 00:00:00,XRP/USDT,0.5983,0.6025,0.5816,0.5902,15023090.7667,25266708.5464,7719997.6102,12983387.3158,353915,0.5946
1703721600000,2023-12-28 00:00:00,XRP/USDT,0.6068,0.6099,0.59,0.5981,12786472.8123,21270356.006,6639849.9303,11044930.1631,290125,0.6011
1703635200000,2023-12-27 00:00:00,XRP/USDT,0.6095,0.6106,0.5835,0.6068,12516447.8539,20800225.5584,6644771.1695,11042434.6641,307083,0.6017
1703548800000,2023-12-26 00:00:00,XRP/USDT,0.6094,0.6139,0.5921,0.6088,11980039.5935,19841165.6569,6264875.5457,10375349.544,275838,0.6038
1703462400000,2023-12-25 00:00:00,XRP/USDT,0.5891,0.6258,0.58,0.6095,14607852.1986,24490995.5337,7560032.2142,12672198.163,361264,0.5965
1703376000000,2023-12-24 00:00:00,XRP/USDT,0.5812,0.6015,0.5701,0.5892,10597183.221,18186902.5223,5507776.0969,9451680.9743,259060,0.5827
1703289600000,2023-12-23 00:00:00,XRP/USDT,0.6,0.6,0.55,0.5814,12455859.8588,21294150.7724,6406482.2613,10952143.1664,324867,0.5849
1703203200000,2023-12-22 00:00:00,XRP/USDT,0.594,0.6075,0.5825,0.5999,13254833.5526,22463504.5245,6809356.8391,11540256.563,315332,0.59
1703116800000,2023-12-21 00:00:00,XRP/USDT,0.5831,0.6079,0.5764,0.5938,14187505.4243,24015707.5662,7349630.3404,12439234.7718,348050,0.5908
1703030400000,2023-12-20 00:00:00,XRP/USDT,0.5812,0.5943,0.5706,0.5831,16280828.647,27861639.4322,8495131.0191,14537850.4214,412440,0.5843
1702944000000,2023-12-19 00:00:00,XRP/USDT,0.5816,0.6077,0.5701,0.5813,13064609.5516,22289809.7992,6794014.5173,11591270.9919,311533,0.5861
1702857600000,2023-12-18 00:00:00,XRP/USDT,0.5931,0.5958,0.5666,0.5816,16663112.303,28659439.6052,8630251.1835,14842327.6041,404277,0.5814
1702771200000,2023-12-17 00:00:00,XRP/USDT,0.5869,0.5969,0.58,0.5931,14565061.3363,24792096.0211,7539531.1665,12834217.2293,361531,0.5875
1702684800000,2023-12-16 00:00:00,XRP/USDT,0.5884,0.5963,0.582,0.587,15577442.1029,26373476.1847,8132937.9694,13769192.5888,367638,0.5906
1702598400000,2023-12-15 00:00:00,XRP/USDT,0.6032,0.612,0.581,0.5889,14189645.6066,23666315.7834,7478372.0062,12472972.5794,348073,0.5996
1702512000000,2023-12-14 00:00:00,XRP/USDT,0.6107,0.6128,0.5949,0.6034,10290688.3582,17009367.0424,5432649.4881,8979643.3727,238393,0.605
1702425600000,2023-12-13 00:00:00,XRP/USDT,0.5877,0.6107,0.5701,0.6106,11161960.3692,19139801.1475,5843348.0108,10020203.5643,277035,0.5832
1702339200000,2023-12-12 00:00:00,XRP/USDT,0.5881,0.608,0.5803,0.5877,14714473.8943,24758739.9727,7738304.5968,13020248.2231,352858,0.5943
1702252800000,2023-12-11 00:00:00,XRP/USDT,0.6415,0.6416,0.5808,0.5882,13482246.1162,22343067.2036,6920065.0096,11468065.0328,358922,0.6037
1702166400000,2023-12-10 00:00:00,XRP/USDT,0.634,0.6421,0.62,0.6416,10959239.4236,17284846.3655,5677927.7261,8955028.0354,271390,0.634
1702080000000,2023-12-09 00:00:00,XRP/USDT,0.6286,0.6765,0.6286,0.6338,10926519.7884,16939886.1139,5615160.55,8705977.401,263581,0.6452
1701993600000,2023-12-08 00:00:00,XRP/USDT,0.6049,0.6405,0.5983,0.6286,10757847.1061,17411450.9125,5661193.5861,9160469.1721,265924,0.6179
1701907200000,2023-12-07 00:00:00,XRP/USDT,0.6025,0.63,0.57,0.6049,13548536.1127,22458284.8849,6885516.3943,11413402.2203,354067,0.6034
1701820800000,2023-12-06 00:00:00,XRP/USDT,0.5871,0.6054,0.5271,0.6023,12266963.8392,20587303.0241,6364333.4382,10679617.1269,310068,0.5959
1701734400000,2023-12-05 00:00:00,XRP/USDT,0.5846,0.605,0.5783,0.5874,12875954.5972,21882685.6759,6662891.6142,11323802.376,325197,0.5884
1701648000000,2023-12-04 00:00:00,XRP/USDT,0.5955,0.609,0.5704,0.5846,14857462.8739,25035008.4362,7746265.7028,13049910.3282,395292,0.5935
1701561600000,2023-12-03 00:00:00,XRP/USDT,0.5976,0.6015,0.5856,0.5956,10996369.5358,18439163.3169,5609870.874,9406566.5655,267342,0.5963
1701475200000,2023-12-02 00:00:00,XRP/USDT,0.5949,0.599,0.5853,0.5968,11038588.7073,18589681.6322,5715698.0045,9625224.9121,287829,0.5938
1701388800000,2023-12-01 00:00:00,XRP/USDT,0.59,0.5992,0.5884,0.5949,9686253.6633,16327345.2296,5130187.3717,8648186.8944,231717,0.5932
