Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1601164800.0,2020-09-27,ETHUSD,358.16,367,355.07,357.64,21.72,7825.36
1601078400.0,2020-09-26,ETHUSD,359.77,367,355.12,358.16,44.24,15854.78
1600992000.0,2020-09-25,ETHUSD,354.52,367.1,346.01,359.77,47.74,16858.86
1600905600.0,2020-09-24,ETHUSD,338.52,358.54,333.2,354.52,53.97,18567.57
1600819200.0,2020-09-23,ETHUSD,358.81,358.81,333,338.52,80.99,28283.24
1600732800.0,2020-09-22,ETHUSD,356,358.81,352,358.81,63.34,22498.58
1600646400.0,2020-09-21,ETHUSD,380,386.23,350,356,169.95,61658.16
1600560000.0,2020-09-20,ETHUSD,389,392.22,377,380,71.3,27208.86
1600473600.0,2020-09-19,ETHUSD,388.46,393,384.95,389,40.04,15578.16
1600387200.0,2020-09-18,ETHUSD,393,396,381.76,388.46,59.67,23173.13
1600300800.0,2020-09-17,ETHUSD,371.58,398.99,371.58,393,191.83,74476.0
1600214400.0,2020-09-16,ETHUSD,376.44,378.68,367,371.58,135.63,50585.46
1600128000.0,2020-09-15,ETHUSD,387,390,374,376.44,60.82,23088.75
1600041600.0,2020-09-14,ETHUSD,376,392.5,373.93,387,85.94,32952.83
1599955200.0,2020-09-13,ETHUSD,395.66,395.66,367.63,376,102.27,39137.81
1599868800.0,2020-09-12,ETHUSD,382.56,395.66,377.36,395.66,49.16,18781.85
1599782400.0,2020-09-11,ETHUSD,374.45,384.75,370,382.56,96.11,36303.24
1599696000.0,2020-09-10,ETHUSD,363.79,385,362.1,374.45,117.71,44653.61
1599609600.0,2020-09-09,ETHUSD,350.32,369,344.75,363.79,99.7,35795.74
1599523200.0,2020-09-08,ETHUSD,365.15,366.5,341.66,350.32,127.77,45134.23
1599436800.0,2020-09-07,ETHUSD,371.33,371.33,341.53,365.15,157.05,55971.77
1599350400.0,2020-09-06,ETHUSD,351,374.88,333.03,371.33,240.37,85378.69
1599264000.0,2020-09-05,ETHUSD,403.9,409.54,332.14,351,440.81,164282.32
1599177600.0,2020-09-04,ETHUSD,404.42,417.93,392.86,403.9,261.0,105778.67
1599091200.0,2020-09-03,ETHUSD,445.82,457.99,402,404.42,244.68,104148.19
1599004800.0,2020-09-02,ETHUSD,473.82,478,434.95,445.82,325.47,147736.53
1598918400.0,2020-09-01,ETHUSD,439.19,485,435.33,473.82,354.41,162293.68
1598832000.0,2020-08-31,ETHUSD,429,439.19,422.24,439.19,103.41,44739.88
1598745600.0,2020-08-30,ETHUSD,410,430.9,405.87,429,109.79,46220.4
1598659200.0,2020-08-29,ETHUSD,401,411.91,399.01,410,60.77,24667.09
1598572800.0,2020-08-28,ETHUSD,391.52,403.5,391.52,401,32.43,12939.64
1598486400.0,2020-08-27,ETHUSD,395,405,387.2,391.52,143.99,56971.03
1598400000.0,2020-08-26,ETHUSD,390.69,398.31,388.22,395,48.73,19127.42
1598313600.0,2020-08-25,ETHUSD,411,413,383.31,390.69,103.46,40775.11
1598227200.0,2020-08-24,ETHUSD,399.43,412.57,396.05,411,88.14,35837.59
1598140800.0,2020-08-23,ETHUSD,400,401.49,393,399.43,75.19,29852.84
1598054400.0,2020-08-22,ETHUSD,395,401.49,390,400,101.84,40370.48
1597968000.0,2020-08-21,ETHUSD,420,421.53,394.17,395,135.9,54677.13
1597881600.0,2020-08-20,ETHUSD,410.07,420,406.63,420,42.84,17732.14
1597795200.0,2020-08-19,ETHUSD,426,428.02,400,410.07,102.76,42340.64
1597708800.0,2020-08-18,ETHUSD,429.99,435,418.26,426,111.8,47671.79
