Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1602460800.0,2020-10-12,LTCUSD,50.29,50.29,49.2,49.4,37.9,1893.04
1602374400.0,2020-10-11,LTCUSD,48.8,50.53,48.71,50.29,87.33,4354.19
1602288000.0,2020-10-10,LTCUSD,48.23,49.9,47.8,48.8,163.19,8039.02
1602201600.0,2020-10-09,LTCUSD,47.67,48.3,47,48.23,112.26,5371.46
1602115200.0,2020-10-08,LTCUSD,47.05,47.8,46.63,47.67,106.88,5049.77
1602028800.0,2020-10-07,LTCUSD,47.2,47.46,46.55,47.05,65.53,3073.2
1601942400.0,2020-10-06,LTCUSD,46.93,48.36,46.6,47.2,146.24,6903.69
1601856000.0,2020-10-05,LTCUSD,48,48.3,46.6,46.93,67.22,3176.75
1601769600.0,2020-10-04,LTCUSD,47.2,48,46.6,48,94.14,4447.02
1601683200.0,2020-10-03,LTCUSD,45.87,47.2,45.67,47.2,77.35,3592.99
1601596800.0,2020-10-02,LTCUSD,47.2,47.43,45.5,45.87,76.45,3538.79
1601510400.0,2020-10-01,LTCUSD,47.17,49,46.7,47.2,136.0,6483.57
1601424000.0,2020-09-30,LTCUSD,46.8,47.46,46.4,47.17,32.96,1551.1
1601337600.0,2020-09-29,LTCUSD,46.31,47.3,46.13,46.8,44.14,2058.18
1601251200.0,2020-09-28,LTCUSD,46.89,47.57,46.31,46.31,109.88,5179.97
1601164800.0,2020-09-27,LTCUSD,46.7,47.58,45.9,46.89,42.02,1969.45
1601078400.0,2020-09-26,LTCUSD,47.6,47.6,46.4,46.7,53.63,2522.0
1600992000.0,2020-09-25,LTCUSD,46.11,47.64,45.34,47.6,51.31,2389.66
1600905600.0,2020-09-24,LTCUSD,45.83,46.5,44.77,46.11,68.74,3126.95
1600819200.0,2020-09-23,LTCUSD,46.49,46.85,44.73,45.83,67.07,3089.6
1600732800.0,2020-09-22,LTCUSD,45.1,46.52,44.7,46.49,281.83,12805.28
1600646400.0,2020-09-21,LTCUSD,49.33,49.33,44.65,45.1,212.67,9788.93
1600560000.0,2020-09-20,LTCUSD,49.4,49.83,48,49.33,103.58,5039.7
1600473600.0,2020-09-19,LTCUSD,49.02,49.85,49.01,49.4,38.39,1905.29
1600387200.0,2020-09-18,LTCUSD,49.9,49.98,49,49.02,76.76,3791.43
1600300800.0,2020-09-17,LTCUSD,49.6,50.53,49,49.9,116.6,5794.77
1600214400.0,2020-09-16,LTCUSD,49.99,50.78,48.83,49.6,67.13,3327.3
1600128000.0,2020-09-15,LTCUSD,50,51.3,49.99,49.99,176.85,8881.62
1600041600.0,2020-09-14,LTCUSD,50,50.8,49.1,50,161.53,8037.0
1599955200.0,2020-09-13,LTCUSD,52,52,49.36,50,93.29,4728.41
1599868800.0,2020-09-12,LTCUSD,50.3,52.44,50.01,52,70.54,3592.12
1599782400.0,2020-09-11,LTCUSD,49.91,50.93,49.19,50.3,39.58,1983.16
1599696000.0,2020-09-10,LTCUSD,49.82,50.91,49.57,49.91,55.78,2802.37
1599609600.0,2020-09-09,LTCUSD,48.72,50.19,48.53,49.82,95.36,4728.3
1599523200.0,2020-09-08,LTCUSD,50.4,51,48.35,48.72,119.48,5928.25
1599436800.0,2020-09-07,LTCUSD,50.01,50.75,48.01,50.4,152.71,7559.76
1599350400.0,2020-09-06,LTCUSD,49.94,52.2,48.74,50.01,216.62,10891.56
1599264000.0,2020-09-05,LTCUSD,52.9,53.26,48.11,49.94,455.98,23101.41
1599177600.0,2020-09-04,LTCUSD,53,54.58,50.29,52.9,406.55,21083.54
1599091200.0,2020-09-03,LTCUSD,59.93,59.93,53,53,379.66,21242.12
1599004800.0,2020-09-02,LTCUSD,63.12,63.61,58.21,59.93,201.27,12200.22
1598918400.0,2020-09-01,LTCUSD,61.91,64.92,60.72,63.12,205.51,12959.77
1598832000.0,2020-08-31,LTCUSD,63.07,63.66,61.29,61.91,59.74,3715.3
1598745600.0,2020-08-30,LTCUSD,58.98,63.13,58.33,63.07,136.33,8344.78
1598659200.0,2020-08-29,LTCUSD,58.57,59.39,58.06,58.98,49.74,2925.91
1598572800.0,2020-08-28,LTCUSD,57.77,59.78,57.3,58.57,57.91,3388.07
1598486400.0,2020-08-27,LTCUSD,59.8,60.89,57,57.77,144.01,8481.81
1598400000.0,2020-08-26,LTCUSD,60.12,60.91,59.07,59.8,66.99,3997.45
1598313600.0,2020-08-25,LTCUSD,63.16,63.16,59,60.12,129.17,7845.52
1598227200.0,2020-08-24,LTCUSD,61.5,63.39,61.06,63.16,40.66,2554.26
1598140800.0,2020-08-23,LTCUSD,61.04,62.8,59.8,61.5,158.13,9588.02
1598054400.0,2020-08-22,LTCUSD,60.73,61.58,59.6,61.04,65.82,3993.03
1597968000.0,2020-08-21,LTCUSD,63.55,64.11,60.73,60.73,80.39,5002.04
1597881600.0,2020-08-20,LTCUSD,62.29,63.8,61.2,63.55,57.74,3651.15
1597795200.0,2020-08-19,LTCUSD,66,66.07,59,62.29,304.08,19077.14
1597708800.0,2020-08-18,LTCUSD,66.66,67.5,64.36,66,112.99,7481.8
1597622400.0,2020-08-17,LTCUSD,63.99,67.5,61.99,66.66,510.87,33668.89
1597536000.0,2020-08-16,LTCUSD,60.15,64,59.2,63.99,418.26,25797.58
1597449600.0,2020-08-15,LTCUSD,56.88,60.63,56.55,60.15,274.11,16268.47
1597363200.0,2020-08-14,LTCUSD,55.9,57.65,55.57,56.88,254.91,14382.87
1597276800.0,2020-08-13,LTCUSD,54.4,56.63,52.8,55.9,165.0,8990.22
1597190400.0,2020-08-12,LTCUSD,54.01,55.1,52.68,54.4,139.31,7559.69
1597104000.0,2020-08-11,LTCUSD,58.34,58.5,54,54.01,323.13,18163.95
1597017600.0,2020-08-10,LTCUSD,56.8,58.37,56.8,58.34,72.37,4176.18
1596931200.0,2020-08-09,LTCUSD,57.65,58.23,56.8,56.8,95.87,5499.56
1596844800.0,2020-08-08,LTCUSD,57.62,58.9,56.5,57.65,44.06,2548.33
1596758400.0,2020-08-07,LTCUSD,59.41,60.5,56.5,57.62,268.88,15815.25
1596672000.0,2020-08-06,LTCUSD,58.42,59.8,57.72,59.41,194.17,11407.09
1596585600.0,2020-08-05,LTCUSD,57.88,60,57.11,58.42,100.49,5900.94
1596499200.0,2020-08-04,LTCUSD,58.3,60.11,57.09,57.88,162.14,9416.99
1596412800.0,2020-08-03,LTCUSD,57.48,59.87,56.43,58.3,150.93,8752.57
1596326400.0,2020-08-02,LTCUSD,61.62,63.7,54.69,57.48,371.08,21356.13
1596240000.0,2020-08-01,LTCUSD,58.06,61.9,58,61.62,138.74,8338.67
1596153600.0,2020-07-31,LTCUSD,57.61,58.94,56.1,58.06,101.92,5893.68
1596067200.0,2020-07-30,LTCUSD,55.11,57.94,53.7,57.61,165.58,9261.11
1595980800.0,2020-07-29,LTCUSD,56.48,56.54,54.92,55.11,177.64,9860.57
1595894400.0,2020-07-28,LTCUSD,51.6,57,51.6,56.48,360.14,19635.5
1595808000.0,2020-07-27,LTCUSD,49.19,53.81,47.22,51.6,461.19,23111.69
1595721600.0,2020-07-26,LTCUSD,49.89,50.7,47.6,49.19,210.14,10287.86
1595635200.0,2020-07-25,LTCUSD,45.08,49.9,44.55,49.89,232.22,11085.77
1595548800.0,2020-07-24,LTCUSD,45.47,45.47,44.2,45.08,96.99,4334.16
